external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-31001,Mike Flood,abortion,4,"Flood authored and passed the Pain-Capable Unborn Child Protection Act — the nation's first 20-week abortion ban — as Speaker of the Nebraska Legislature, and has continued his pro-life record in Congress. He has stated he wants to codify contraception but not abortion into federal law, reflecting support for significant restrictions with limited exceptions rather than a total ban.",https://en.wikipedia.org/wiki/Mike_Flood_(politician),,,,
-31001,Mike Flood,climate-change,5,"Flood has a 2% lifetime LCV score (0% in 2025, 3% in 2023-2024) with zero pro-environment votes in 2025 across 33 scored opportunities. He voted against the Inflation Reduction Act in 2022 and has consistently opposed federal climate and clean energy legislation.",https://www.lcv.org/scorecard/mike-flood/,https://en.wikipedia.org/wiki/Mike_Flood_(politician),,,
-31001,Mike Flood,fossil-fuels,4,"Flood voted to block the Delaware River Basin fracking ban, block EPA cleaner car and truck standards, and block methane pollution fees per LCV 2023-2024 scorecards. He also brokered the Keystone XL pipeline reroute through Nebraska in 2011, demonstrating long-standing support for fossil fuel infrastructure and production.",https://www.lcv.org/scorecard/mike-flood/,https://en.wikipedia.org/wiki/Mike_Flood_(politician),,,
-31001,Mike Flood,taxes,4,"Flood expressed support for Elon Musk and the Department of Government Efficiency (DOGE) at a 2025 town hall, reflecting a fiscally conservative orientation toward cutting government spending and the federal bureaucracy. As chair of the Republican Main Street Caucus elected in July 2025, he aligns with center-right Republican economic positions favoring tax reductions and scaled-back government.",https://en.wikipedia.org/wiki/Mike_Flood_(politician),,,"I support Elon Musk and DOGE","I support Elon Musk and DOGE"
-31001,Mike Flood,immigration,4,"Flood visited the Texas border in January 2023 and criticized Biden's immigration policies, stating conservatives need to see the border crisis addressed before viewing immigration through a workforce lens. He supports restrictions on border crossings and opposes Biden-era immigration policies.",https://flatwaterfreepress.org/state-of-our-union-rep-mike-flood-condemns-polarization-defends-chinese-spy-balloon-ad,https://en.wikipedia.org/wiki/Mike_Flood_(politician),,"conservatives in Congress need to see the crisis at the Southern Border addressed before they can look at immigration through a workforce lens","conservatives need to see the crisis at the Southern Border addressed before looking at immigration through a workforce lens"
-31001,Mike Flood,deportation,4,"Flood voted yes on the Laken Riley Act (January 2025), which requires mandatory detention without bail for undocumented immigrants arrested for crimes including theft, burglary, and assault on law enforcement — all House Republicans voted yes. He also voted yes on the One Big Beautiful Bill Act allocating $170 billion for deportation infrastructure capacity.",https://en.wikipedia.org/wiki/Laken_Riley_Act,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-31001,Mike Flood,voting-rights,4,"Flood voted yes on the SAVE Act, which passed 220-208 with all House Republicans in favor. The bill requires documentary proof of U.S. citizenship — passport, birth certificate, or equivalent — to register to vote, and effectively restricts mail-in voter registration by requiring in-person presentation of documents.",https://democracydocket.com/news-item/house-passes-save-act/,https://en.wikipedia.org/wiki/Safeguard_American_Voter_Eligibility_Act,,,
-31001,Mike Flood,trans-athletes,4,"Flood voted yes on the One Big Beautiful Bill Act (May 2025, passed 215-214-1), which included the Protection of Women and Girls in Sports Act language requiring athletes in federally funded programs to compete in categories based on biological sex assigned at birth. Only Massie and Davidson voted against among Republicans.",https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-31001,Mike Flood,healthcare,4,"Flood voted yes on the One Big Beautiful Bill Act (May 2025), which cut Medicaid spending by approximately 12%, added work requirements for Medicaid recipients ages 19-64, and reversed aspects of Medicare's drug price negotiation program. The bill passed 215-214-1 with only Massie and Davidson voting against among Republicans.",https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Republican_Study_Committee,,,
-31001,Mike Flood,medicare/aid,4,"Flood voted yes on the One Big Beautiful Bill Act (May 2025), which included approximately 12% cuts to Medicaid spending, added work requirements (80 hrs/month) for Medicaid recipients ages 19-64, reduced the Medicaid provider tax from 6% to 3.5% by 2031, and reversed aspects of Medicare's drug price negotiation — moving toward reduced coverage rather than expansion.",https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
