external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-900001,Ned Lamont,healthcare,2,"Lamont has stated 'Health care is a fundamental right of every American' and supports universal coverage through a mix of public programs and regulated private insurance. His 2021 budget expanded health insurance coverage in Connecticut. He has not endorsed a single-payer system.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,"Health care is a fundamental right of every American","Health care is a fundamental right of every American"
-900001,Ned Lamont,abortion,2,"Lamont signed HB 5414 in May 2022 protecting abortion access and preventing Connecticut judges from issuing injunctions against anyone receiving or providing an abortion. In July 2023 he signed PA 23-128 shielding medical providers from out-of-state adverse actions for providing reproductive services. His record reflects keeping abortion legal and accessible with broad protections, consistent with value 2.",https://en.wikipedia.org/wiki/Ned_Lamont,https://www.ontheissues.org/Ned_Lamont.htm,,"Absolute support for women's right to reproductive freedom","Absolute support for women's right to reproductive freedom"
-900001,Ned Lamont,climate-change,3,"Lamont has called for a 'carbon free electric grid; transportation system to follow' (Feb 2022) and signed Connecticut's clean energy legislation. He opposes fossil fuel tax giveaways. His approach invests in clean energy and gradually reduces fossil fuel reliance rather than declaring a climate emergency or mandating a 2030 phase-out.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,"carbon free electric grid; transportation system to follow","carbon free electric grid; transportation system to follow"
-900001,Ned Lamont,fossil-fuels,2,"Lamont has consistently opposed fossil fuel subsidies and called for a carbon-free electric grid. He has championed Connecticut's clean energy transition and opposes oil industry tax giveaways. His record aligns with stopping new fossil fuel expansion, consistent with no longer issuing new permits.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,,
-900001,Ned Lamont,immigration,2,"Lamont stated 'Give illegal immigrants a path to earned citizenship' and emphasizes employer accountability. In September 2025 he directed schools to protect students from federal immigration raids, reflecting a stance of keeping legal immigration open while allowing most residents access to public services regardless of status.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,"Give illegal immigrants a path to earned citizenship","Give immigrants a path to earned citizenship"
-900001,Ned Lamont,deportation,2,"Lamont has directed schools to protect students from federal immigration raids (Sep 2025) and has supported pathways to citizenship for undocumented immigrants. His stance reflects deporting only those who commit serious violent crimes while protecting most long-term residents from removal.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,,
-900001,Ned Lamont,taxes,3,"Lamont eliminated the estate tax for 99% of CT citizens, proposed middle-class tax cuts, and said 'I don't want more taxes, I want more taxpayers' (Jan 2023). He has not proposed significant tax increases on the wealthy. His approach is to keep the current system mostly intact with targeted relief rather than dramatically raising or cutting taxes.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,"I don't want more taxes, I want more taxpayers","I don't want more taxes, I want more taxpayers"
-900001,Ned Lamont,same-sex-marriage,1,"Lamont has strongly supported same-sex marriage rights, stating 'On gay marriage: butt out and leave people alone' (Apr 2006) and arguing that limiting marriage legally blurs church-state separation. He has consistently backed full marriage equality and federal/state recognition for same-sex couples.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,"On gay marriage: butt out and leave people alone","On that issue: butt out and leave people alone"
-900001,Ned Lamont,voting-rights,2,"Lamont stated 'Easier absentee ballots, early voting should be permanent' (Jan 2021) and supports campaign spending caps and public financing. His record reflects expanding early voting access and making mail-in voting broadly available without requiring an excuse.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,"Easier absentee ballots, early voting should be permanent","Easier absentee ballots, early voting should be permanent"
-900001,Ned Lamont,housing,3,"Lamont's biennial budget doubled Connecticut's investment in housing (Feb 2024), and he supported development of a single housing voucher application system. He vetoed an omnibus affordable housing and transit-oriented development bill in June 2025, indicating he favors targeted subsidies and first-time buyer assistance over broader mandates.",https://www.ontheissues.org/Ned_Lamont.htm,https://en.wikipedia.org/wiki/Ned_Lamont,,"Our biennial budget doubles our investment in housing","The biennial budget doubles investment in housing"
