external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-39001,Greg Landsman,abortion,2,"Landsman co-sponsored the Women's Health Protection Act in the 118th Congress, which protects abortion access through viability (second trimester). He ran in 2022 explicitly contrasting his pro-choice position against an opponent who voted against reproductive rights legislation. As a Democrat representing Cincinnati after Ohio's Issue 1 passed (constitutional right to abortion through viability), his stance aligns with keeping abortion legal and accessible through the second trimester.",https://ballotpedia.org/Greg_Landsman,https://en.wikipedia.org/wiki/Greg_Landsman,,,
-39001,Greg Landsman,climate-change,3,"Landsman has earned a 97-100% lifetime LCV score (100% in 2023, 97% in 2024, 97% in 2025), voting consistently to protect clean energy, oppose fossil fuel rollbacks, and support climate action. As a New Democrat Coalition member and Problem Solvers Caucus whip, he favors gradual clean energy investment rather than emergency declarations or near-term fossil fuel bans, aligning with investing in clean energy while gradually reducing reliance on fossil fuels.",https://www.lcv.org/congressional-scorecard/moc/greg-landsman,https://en.wikipedia.org/wiki/Greg_Landsman,,,
-39001,Greg Landsman,fossil-fuels,2,"Landsman's LCV voting record shows consistent opposition to new fossil fuel permits and extraction expansion: he voted against rolling back methane polluter fees, against opening Arctic National Wildlife Refuge to oil and gas drilling, against reversing public lands protections for Wyoming coal development, and against rushing pipeline reviews. His 97-100% LCV lifetime score is driven by opposing new fossil fuel drilling permits rather than calling for bans on existing production.",https://www.lcv.org/congressional-scorecard/moc/greg-landsman,https://en.wikipedia.org/wiki/Greg_Landsman,,,
-39001,Greg Landsman,healthcare,2,"Landsman introduced the Making Insulin Affordable for All Children Act to cap insulin costs and sponsored the Medicare PBM Accountability Act requiring pharmacy benefit managers to disclose profits; both reflect support for regulated markets rather than a public takeover. OnTheIssues records him as strongly favoring expanding the ACA. He sits on the House Energy and Commerce Health Subcommittee. His legislation was enacted as part of the 2026 federal budget, confirming a mix-of-public-and-private-insurance approach.",https://en.wikipedia.org/wiki/Greg_Landsman,https://www.ontheissues.org/OH/Greg_Landsman.htm,,,
-39001,Greg Landsman,same-sex-marriage,1,"Landsman voted for the Respect for Marriage Act, which requires all states to recognize same-sex marriages and ensures federal benefits and protections. He explicitly stated his commitment to the LGBTQ+ community in direct contrast to his 2022 opponent's vote against marriage equality: 'To our LGBTQIA+ community and to everyone who believes in equality--I will always stand with you.'",https://www.ontheissues.org/OH/Greg_Landsman.htm,https://en.wikipedia.org/wiki/Greg_Landsman,,"To our LGBTQIA+ community and to everyone who believes in equality--I will always stand with you.","To our LGBTQIA+ community and to everyone who believes in equality--I will always stand with you."
-39001,Greg Landsman,civil-rights,2,"Landsman has been a consistent champion for LGBTQ+ equality and created Cincinnati's first Office of Ethics and Good Government. He strongly contrasted himself with an opponent who voted against RFMA protections and emphasized standing with marginalized communities. He is a member of the New Democrat Coalition and has focused on systemic accountability through ethics reform, reflecting a stance of strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/OH/Greg_Landsman.htm,https://en.wikipedia.org/wiki/Greg_Landsman,,,
-39001,Greg Landsman,ukraine-support,2,"Landsman voted YES on the April 2024 Ukraine-Israel-Taiwan aid package. He also introduced legislation to restore funding for locating Ukrainian children abducted during the Russo-Ukrainian War, which passed the House as part of the 2026 NDAA. He supports continuing current levels of military and economic aid to help Ukraine defend itself.",https://en.wikipedia.org/wiki/Greg_Landsman,https://www.lcv.org/congressional-scorecard/moc/greg-landsman,,,
-39001,Greg Landsman,medicare/aid,3,"Landsman introduced the Medicare PBM Accountability Act to increase transparency in pharmacy benefit manager pricing, and authored prescription drug rebate legislation enacted in the 2026 federal budget — both efforts focus on improving existing Medicare programs and controlling costs rather than expanding eligibility. There is no evidence he supports lowering the Medicare eligibility age to 55. His centrist New Democrat Coalition membership further indicates an improve-and-control-costs approach.",https://en.wikipedia.org/wiki/Greg_Landsman,https://www.ontheissues.org/OH/Greg_Landsman.htm,,,
-39001,Greg Landsman,taxes,2,"As a New Democrat Coalition member and co-chair of the Lowering Costs Caucus, Landsman's record reflects a moderate progressive approach — supporting measures that reduce costs for middle- and lower-income Americans while not advocating for dramatic tax restructuring. His centrist positioning in the Problem Solvers Caucus and New Dem Coalition is consistent with moderate increases on high earners rather than either significant tax cuts or major tax hikes.",https://en.wikipedia.org/wiki/Greg_Landsman,https://ballotpedia.org/Greg_Landsman,,,
-39001,Greg Landsman,immigration,3,"Landsman expressed being 'disgusted' when Speaker Johnson blocked the bipartisan border security and foreign aid package in early 2024 — a bill that combined increased border enforcement with legal pathway reforms. His Problem Solvers Caucus membership and support for the bipartisan compromise indicate a centrist position of maintaining current immigration levels and legal structures rather than dramatic expansion or restriction.",https://en.wikipedia.org/wiki/Greg_Landsman,https://ballotpedia.org/Greg_Landsman,,,
-39001,Greg Landsman,redistricting,2,"Landsman is a pro-reform Democrat who flipped a seat previously held by a long-term Republican benefiting from gerrymandered maps. Ohio has moved toward a bipartisan redistricting commission model, and Landsman as a Democrat from a competitive district supports independent redistricting commissions with equal representation from both parties rather than purely legislative control.",https://ballotpedia.org/Greg_Landsman,https://en.wikipedia.org/wiki/Greg_Landsman,,,
