external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-9002,Joe Courtney,abortion,2,"Courtney voted NO on the Pain-Capable Unborn Child Protection Act (20-week ban, 2015), voted NO on banning federal health coverage including abortion (2011), cosponsored the Women's Health Protection Act of 2023 to restore Roe nationwide, and is endorsed by NARAL. His record supports legality through at least the second trimester with broad protections, consistent with stance 2.",https://www.ontheissues.org/House/Joe_Courtney.htm,https://en.wikipedia.org/wiki/Joe_Courtney_(politician),,,
-9002,Joe Courtney,healthcare,2,"Courtney voted YES on expanding CHIP and Medicare preventive services, voted NAY on ACA repeal in 2015, supports Medicare drug price negotiation via the Inflation Reduction Act, and introduced H.R. 748 to protect employer-sponsored insurance. He supports a mix of public programs and regulated private insurance, but has not endorsed single-payer, placing him at stance 2.",https://www.ontheissues.org/House/Joe_Courtney.htm,https://en.wikipedia.org/wiki/Joe_Courtney_(politician),,,"Every American should have access to affordable health care","Every American should have access to affordable health care"
-9002,Joe Courtney,tariffs,3,"Courtney voted NO on the Peru Free Trade Agreement (2007), cosponsored the Currency Reform for Fair Trade Act targeting currency manipulators, and voted YES on USMCA (2019) with improved labor/environmental standards. He supports selective tariffs to protect American workers from unfair trade practices, matching stance 3.",https://www.ontheissues.org/House/Joe_Courtney_Free_Trade.htm,https://www.ontheissues.org/House/Joe_Courtney.htm,,,
-9002,Joe Courtney,taxes,2,"Courtney voted NO on the 2017 Tax Cuts and Jobs Act (corporate rate cut 35%→21%), supports a minimum 30% tax rate on earners over $1 million, opposes extending tax cuts that balloon deficits, and opposes offshore corporate tax loopholes. His record reflects modestly raising taxes on high earners, matching stance 2.",https://www.ontheissues.org/House/Joe_Courtney.htm,https://www.ontheissues.org/House/Joe_Courtney_Corporations.htm,,,
-9002,Joe Courtney,same-sex-marriage,1,"Courtney signed the Respect for Marriage Act (federal SSM recognition), supported the Employment Non-Discrimination Act for LGBTQ workers, voted YES on the Maloney Amendment extending federal contractor non-discrimination to gender identity, and backed the Uniting American Families Act to protect binational same-sex couples from deportation. His record reflects nationwide SSM support with full federal protections, matching stance 1.",https://www.ontheissues.org/House/Joe_Courtney_Civil_Rights.htm,https://www.ontheissues.org/House/Joe_Courtney.htm,,,
-9002,Joe Courtney,religious-freedom,2,"OnTheIssues documents Courtney stating 'Religious freedom means no religious registry' and opposing government preference for religious institutions. He opposes using religious freedom claims to override civil rights protections, matching stance 2 — protecting religious freedom while ensuring it doesn't override anti-discrimination laws.",https://www.ontheissues.org/House/Joe_Courtney.htm,,,"Religious freedom means no religious registry","Religious freedom means no religious registry"
-9002,Joe Courtney,ukraine-support,2,"Courtney voted YES on the April 2024 Ukraine aid package ($60.8 billion), has consistently supported Ukraine through his Armed Services Committee work, and opposed H.Con.Res. 21 to withdraw U.S. troops from Syria — reflecting ongoing support for U.S. engagement and allies' defense. His record aligns with continuing current military and economic aid to Ukraine, matching stance 2.",https://en.wikipedia.org/wiki/Joe_Courtney_(politician),https://www.ontheissues.org/House/Joe_Courtney_War_+_Peace.htm,,,
-9002,Joe Courtney,medicare/aid,3,"Courtney voted YES on Medicare expansion veto override, supports closing the Part D donut hole and Medicare drug price negotiation, but has not sponsored legislation to lower the Medicare eligibility age to 55 or expand Medicaid significantly. He focuses on improving and protecting current programs rather than expanding eligibility broadly, matching stance 3.",https://www.ontheissues.org/House/Joe_Courtney.htm,https://www.ontheissues.org/House/Joe_Courtney_Health_Care.htm,,,
-9002,Joe Courtney,fossil-fuels,2,"Courtney voted YES on banning offshore Gulf of Mexico oil drilling, holds a 97% LCV lifetime score (100% in 2025), and OnTheIssues documents his support for the Green New Deal's 10-year national mobilization and '50% clean and carbon free electricity by 2030.' His record of opposing new drilling permits and supporting comprehensive fossil fuel phase-down aligns with stance 2.",https://www.lcv.org/congressional-scorecard/moc/joe-courtney,https://www.ontheissues.org/House/Joe_Courtney.htm,,,
-9002,Joe Courtney,voting-rights,2,"Courtney cosponsored the For the People Act (automatic voter registration + federal holiday), the Voter Empowerment Act (automatic registration for 50 million), and the SIMPLE Voting Act (15 days early voting). He explicitly opposes voter ID requirements, stating they 'suppress the vote.' His record matches stance 2 — expanding early voting and making mail-in voting broadly available.",https://www.ontheissues.org/House/Joe_Courtney_Government_Reform.htm,https://www.ontheissues.org/House/Joe_Courtney.htm,,"No photo IDs to vote; they suppress the vote","No photo IDs to vote; they suppress the vote"
