full_name,politician_id,topic_key,topic_id,value,reasoning,source_url_1,source_url_2,source_url_3
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,abortion,af2fdfd6-02c4-49df-b09c-cf8536f4773f,5,"Whatley is a strong social conservative aligned with the NC GOP and Trump Republican orthodoxy. As NCGOP chair he promoted the party's anti-abortion platform and endorsed candidates opposing abortion access. No exceptions position is consistent with the state party platform he led.",https://michaelwhatley.com,https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,taxes,f7e5678d-dadd-4556-a2fc-446e24642ceb,4,"Whatley's campaign website explicitly states he supports 'tax cuts for the middle class as well as no taxes on tips, overtime, and Social Security,' mirroring Trump's 2024 tax agenda. This aligns with broad tax-reduction across income levels rather than a flat tax.",https://michaelwhatley.com,https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,fossil-fuels,a22215c3-6693-4bc2-b248-01aebba14570,5,"Whatley spent more than a decade as Executive Vice President of the Consumer Energy Alliance, a fossil fuel industry lobbying group, and worked as a Deputy Assistant Secretary at the DOE under George W. Bush promoting energy development. His career history signals strong support for expanded fossil fuel extraction and removal of environmental restrictions.",https://en.wikipedia.org/wiki/Michael_Whatley,https://www.consumerenergyalliance.org,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,climate-change,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,5,"The Consumer Energy Alliance, where Whatley served as EVP for over a decade, opposes policies that prioritize emissions reduction at the cost of economic growth and advocates for expanded fossil fuel use. Whatley has not publicly endorsed climate action and his entire professional background is rooted in the fossil fuel advocacy space.",https://en.wikipedia.org/wiki/Michael_Whatley,https://www.consumerenergyalliance.org,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,immigration,4e2c69ce-591e-4197-9cd5-7aceff79d390,5,"As RNC Chairman and NC GOP Chair, Whatley consistently promoted Trump's immigration restrictionist agenda including border wall funding, deportation, and an end to sanctuary cities. His RNC operation was built around election integrity and border security as defining Republican issues.",https://en.wikipedia.org/wiki/Michael_Whatley,https://michaelwhatley.com,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,deportation,44905f3b-e105-4f6c-afc7-5d223813dbac,5,"As RNC Chair under Trump, Whatley actively supported the administration's mass deportation agenda and promoted border enforcement as a central party priority. No statements distinguish between long-term residents and recent border crossers in his public record.",https://en.wikipedia.org/wiki/Michael_Whatley,https://michaelwhatley.com,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,voting-rights,d1792200-1d3b-4955-a0b7-0e6980d7a7b2,5,"Following the 2020 election, Whatley asserted there were 'voting irregularities' and 'election counting irregularities' and refused to blame Trump for January 6. As RNC co-chair and chair, he led the party's Election Integrity Committee and has been a central figure in efforts to restrict mail-in voting and push stricter ID requirements.",https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,same-sex-marriage,c5ab4eab-702f-49b8-9277-8ea53f3835c6,5,"Whatley is a conservative Christian (holds theology degree) who aligned with the NC GOP platform opposing same-sex marriage. The NCGOP under his chairmanship maintained the party's traditional marriage position and opposed LGBTQ+ protections.",https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,healthcare,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,5,"Whatley's campaign themes center on lower costs and market-based solutions. As a Trump-aligned Republican and former energy lobbyist, his record reflects alignment with the GOP position of repealing and replacing the ACA with private market alternatives rather than government-driven coverage expansion.",https://michaelwhatley.com,https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,tariffs,683c8084-2281-4920-a07c-18439b2dd413,4,"Whatley is a Trump loyalist who ran the RNC under Trump and developed the Trump Farm Plan supporting tariffs on unfair trading partners. His energy background favors protecting domestic production, consistent with using tariffs to counter unfair foreign trade practices.",https://en.wikipedia.org/wiki/Michael_Whatley,https://michaelwhatley.com,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,ukraine-support,24e9212c-b011-422a-865c-093e35050901,4,"Whatley is closely aligned with Trump's foreign policy positions, which have leaned toward reducing Ukraine aid and skepticism of continued military commitments. As RNC Chair under Trump he promoted the party's shift toward America-first skepticism of Ukraine support.",https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,religious-freedom,6b9ba6d9-1001-43f5-b073-4d37130696fd,5,"Whatley holds a master's degree in theology and is a conservative Christian whose political career is rooted in the NC GOP and Trump movement. He strongly supports broad religious liberty protections and religious organizations' autonomy, consistent with the Republican Study Committee and Heritage Foundation framework.",https://en.wikipedia.org/wiki/Michael_Whatley,https://michaelwhatley.com,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,trans-athletes,d1618b9c-0b9e-45af-b986-bb33d270b8e4,5,"As RNC Chair and a Trump-aligned social conservative, Whatley promoted the party platform opposing transgender athlete participation in women's sports. No statements carve out any exceptions.",https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,campaign-finance,92730f69-ae57-401c-8ad1-2d07834a895d,5,"Whatley served as RNC Chair and is closely aligned with Republican positions opposing campaign finance restrictions, including those on independent expenditures. His party role requires fundraising from large donors and PACs without disclosure restrictions.",https://en.wikipedia.org/wiki/Michael_Whatley,
Michael Whatley,867caca5-ab41-4e1b-b051-4a2cd95a335e,civil-rights,0bc588c6-39e1-4084-b5de-cac909b8b762,5,"Whatley leads the Trump GOP operation which opposes affirmative action, diversity programs, and race-based government initiatives. He has censured Republican senators who crossed party lines and promotes the NCGOP and RNC platform opposing equity mandates and federal civil rights expansions.",https://en.wikipedia.org/wiki/Michael_Whatley,
