external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-31002,Don Bacon,abortion,4,"Bacon cosponsored the Life at Conception Act and the Born-Alive Abortion Survivors Protection Act, and supports a federal 15-week ban with exceptions for the mother's life. He declared himself ""100% pro-life, endorsed by Nebraska Right to Life"" and supports defunding Planned Parenthood, placing him squarely in the restrict-to-serious-threat-to-mother territory rather than a full no-exceptions ban.",https://www.ontheissues.org/House/Don_Bacon_Abortion.htm,https://en.wikipedia.org/wiki/Don_Bacon,,"""I'm 100% pro-life, endorsed by Nebraska Right to Life""","I'm 100% pro-life, endorsed by Nebraska Right to Life"
-31002,Don Bacon,ukraine-support,2,"Bacon is a hawkish Ukraine supporter who advocated for sending F-16 fighter jets to Ukraine and publicly called Trump's conciliatory approach to Russia ""appeasement,"" describing it as ""a bad day for America's foreign policy"" and ""walking away"" from America's leadership position. His record is consistent with supporting continued military and economic aid at current or higher levels.",https://en.wikipedia.org/wiki/Don_Bacon,https://rollcall.com/members-of-congress/don-bacon/,,,
-31002,Don Bacon,same-sex-marriage,2,"Bacon voted for the Respect for Marriage Act in 2022, which codified federal recognition of same-sex marriages while containing religious liberty protections for organizations that decline to participate. This vote places him at value 2 — supporting nationwide same-sex marriage while protecting some organizations' right to decline.",https://en.wikipedia.org/wiki/Don_Bacon,https://www.ontheissues.org/House/Don_Bacon.htm,,,
-31002,Don Bacon,tariffs,2,"Wikipedia documents that Bacon opposed Trump's broad tariff package, introduced legislation to curtail presidential tariff powers requiring Congressional approval, and warned of recession risks from sweeping tariffs — consistent with a pro-trade stance that would reduce most tariffs rather than imposing high ones across the board.",https://en.wikipedia.org/wiki/Don_Bacon,,,,,
-31002,Don Bacon,taxes,4,"Bacon voted for the 2017 Tax Cuts and Jobs Act and has stated support for ""a simpler, flatter tax code"" and reducing domestic spending. He describes himself as a fiscal conservative who wants to ""reduce our domestic spending, and reform our entitlements,"" aligning with cutting taxes for everyone and scaling back public services.",https://www.ontheissues.org/House/Don_Bacon.htm,https://en.wikipedia.org/wiki/Don_Bacon,,"""We need a simpler, flatter tax code""","We need a simpler, flatter tax code"
-31002,Don Bacon,social-security,4,"Bacon supports gradually raising the full retirement age for Social Security eligibility for younger Americans (those under 40), which aligns with the value-4 stance of gradually raising the retirement age to save the program rather than expanding benefits or privatizing accounts.",https://en.wikipedia.org/wiki/Don_Bacon,,,,,
-31002,Don Bacon,healthcare,4,"Bacon voted for the American Health Care Act (AHCA) in 2017, which would have repealed major ACA provisions and significantly cut Medicaid. He favors market-based options, opposes single-payer healthcare, and has stated he wants ""more market-based options for healthcare,"" consistent with limiting government help to the poorest and leaving others to private markets.",https://en.wikipedia.org/wiki/Don_Bacon,https://www.ontheissues.org/House/Don_Bacon.htm,,"""More market-based options for healthcare""","More market-based options for healthcare"
-31002,Don Bacon,medicare/aid,3,"Bacon opposes Medicare for All and supports raising the Social Security retirement age, but has not advocated for privatizing Medicare or phasing out Medicaid. His position is consistent with improving and controlling costs of current programs without a fundamental restructuring, placing him at value 3.",https://en.wikipedia.org/wiki/Don_Bacon,https://www.ontheissues.org/House/Don_Bacon.htm,,,
-31002,Don Bacon,immigration,4,"Bacon supports a border wall, opposes amnesty, and requires undocumented immigrants to return to their country of origin before becoming eligible for citizenship. He voted against the NO BAN Act and opposes Syrian refugee resettlement without vetting. While he cosponsored a high-skilled visa bill and backed DACA protection legislatively, his primary stances favor making legal immigration harder and restricting public services to those with legal status.",https://www.ontheissues.org/House/Don_Bacon_Immigration.htm,https://en.wikipedia.org/wiki/Don_Bacon,,"""Secure our borders — it is a security disaster to have over 300,000 illegal immigrants crossing our border every year.""","Secure our borders — it is a security disaster to have over 300,000 illegal immigrants crossing our border every year."
-31002,Don Bacon,deportation,4,"Bacon opposes amnesty and supports requiring immigrants unlawfully present to return to their country of origin before being eligible for citizenship, stating ""we owe it to the 4.5 million people who are waiting to come to the United States legally to not give amnesty."" This reflects a deport-all-without-legal-status stance prioritized by criminal history.",https://www.ontheissues.org/House/Don_Bacon_Immigration.htm,https://en.wikipedia.org/wiki/Don_Bacon,,"""We owe it to the 4.5 million people who are waiting to come to the United States legally to not give amnesty.""","We owe it to the 4.5 million people who are waiting to come to the United States legally to not give amnesty."
