external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-37012,Alma S. Adams,abortion,1,Adams cosponsored the Women's Health Protection Act to ban anti-abortion restrictions and voted NAY on both the No Taxpayer Funding for Abortion Act (opposing restrictions on public funding) and the Pain-Capable Unborn Child Protection Act (20-week ban). She is endorsed by EMILY's List and has stated that women must control their own bodies without restriction.,https://www.ontheissues.org/NC/Alma_Adams.htm,https://www.ontheissues.org/NC/Alma_Adams_Abortion.htm,,A free woman must own and control her own body,A free woman must own and control her own body
-37012,Alma S. Adams,campaign-finance,2,"Adams cosponsored the Government By the People Act (H.R.20/S.366) supporting $50 voter vouchers and 6-to-1 federal matching for small donations, and cosponsored the Close the Floodgates Act (H.R.154) to oppose large-donor loopholes allowing $750,000+ yearly party donations. Her record reflects strict limits on large and corporate money with a public financing component.",https://www.ontheissues.org/NC/Alma_Adams_Government_Reform.htm,https://www.ontheissues.org/NC/Alma_Adams.htm,,,
-37012,Alma S. Adams,civil-rights,2,"Adams is a member of the Congressional Black Caucus, co-chairs the Black Maternal Health Caucus, and has consistently called for doing more on civil rights for minorities, women, and the LGBTQ community. She supports strengthening enforcement and addressing systemic discrimination, not merely maintaining the status quo.",https://www.ontheissues.org/NC/Alma_Adams.htm,https://en.wikipedia.org/wiki/Alma_Adams,,,
-37012,Alma S. Adams,climate-change,2,"Adams cosponsored H.Res.109 (the Green New Deal) in February 2019 calling for a 10-year national mobilization to achieve net-zero greenhouse gas emissions and 100% clean energy. She has a 99% lifetime LCV score and voted YES to ban offshore oil drilling in the Gulf of Mexico (H.R. 5538 amendment, July 2016).",https://www.ontheissues.org/NC/Alma_Adams_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/alma-adams,https://www.ontheissues.org/NC/Alma_Adams.htm,,
-37012,Alma S. Adams,deportation,2,"Adams opposes requiring undocumented immigrants to return home before obtaining citizenship, voted against the Gosar Anti-DACA Amendment (2016) that would have blocked undocumented immigrants from military service, and cosponsored the Fair Day in Court for Kids Act (H.R.4646, 2016) providing legal counsel to children facing removal. Her record reflects a position of deporting only those who commit serious crimes.",https://www.ontheissues.org/NC/Alma_Adams_Immigration.htm,https://www.ontheissues.org/NC/Alma_Adams.htm,,,
-37012,Alma S. Adams,fossil-fuels,2,"Adams cosponsored the Green New Deal (H.Res.109, 2019) which calls for ending dependence on fossil fuels, opposed the Keystone XL pipeline, and voted YES to ban offshore oil drilling in the Gulf of Mexico (H.R. 5538, July 2016). This record consistently opposes new fossil fuel infrastructure without endorsing an immediate ban on all existing extraction.",https://www.ontheissues.org/NC/Alma_Adams_Energy_+_Oil.htm,https://www.ontheissues.org/NC/Alma_Adams.htm,,,
-37012,Alma S. Adams,healthcare,2,"Adams opposed all ACA repeal efforts and stated 'ObamaCare has moved us further in the right direction' toward universal access to affordable, quality healthcare. She supports prohibiting denial of coverage for preexisting conditions and expanding access — consistent with a mixed public-private model — but has not documented support for a single-payer system.",https://www.ontheissues.org/NC/Alma_Adams_Health_Care.htm,https://www.ontheissues.org/NC/Alma_Adams.htm,,ObamaCare has moved us further in the right direction,ObamaCare has moved us further in the right direction
-37012,Alma S. Adams,immigration,2,"Adams supports DREAMer legalization, cosponsored the Fairness for High-Skilled Immigrants Act (H.R.1044, 2019) to increase visa caps, and backed legal representation for undocumented children. She opposes forced return of undocumented residents before citizenship eligibility, indicating support for keeping legal immigration open and not denying services based on status.",https://www.ontheissues.org/NC/Alma_Adams_Immigration.htm,https://www.ontheissues.org/NC/Alma_Adams.htm,,,
-37012,Alma S. Adams,medicare/aid,2,Adams pledged to be 'an outspoken advocate for protecting and funding Social Security and Medicare' and opposes allowing individuals to divert Social Security taxes into private retirement accounts. Her consistent support for expanding program access while opposing privatization aligns with lowering the eligibility age and expanding Medicaid rather than merely maintaining the status quo.,https://www.ontheissues.org/NC/Alma_Adams_Social_Security.htm,https://www.ontheissues.org/NC/Alma_Adams.htm,,Keeping our promise to our seniors in the form of Medicare and Social Security should be a top priority.,Keeping our promise to our seniors in the form of Medicare and Social Security should be a top priority.
-37012,Alma S. Adams,redistricting,1,"Adams voted YES on the For the People Act (H.R.1, 2019) which included provisions requiring independent, nonpartisan redistricting commissions, and her OnTheIssues profile specifically documents her support for independent nonpartisan redistricting commissions to replace partisan map-drawing.",https://www.ontheissues.org/NC/Alma_Adams_Government_Reform.htm,https://www.ontheissues.org/NC/Alma_Adams.htm,,,
