external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-1000001,Matt Meyer,abortion,2,"Meyer campaigned on enshrining reproductive care in Delaware's constitution, supporting legal abortion broadly. His record reflects keeping abortion legal and accessible through the second trimester with strong access protections, consistent with a progressive governor who explicitly ran on reproductive rights.",https://www.ontheissues.org/Matt_Meyer.htm,https://ballotpedia.org/Matt_Meyer_(Delaware),,,
-1000001,Matt Meyer,childcare,2,"Meyer pledged to expand affordable childcare access during his gubernatorial campaign, emphasizing working families. His platform reflects significantly expanding subsidies and provider support to make childcare affordable for low- and middle-income families.",https://www.ontheissues.org/Matt_Meyer.htm,https://ballotpedia.org/Matt_Meyer_(Delaware),,,
-1000001,Matt Meyer,civil-rights,2,"Meyer signed EO 22 (May 2026) on Supplier Diversity Initiatives and acknowledged race remains an issue in workplaces. His record as county executive and governor reflects strengthening civil rights enforcement and addressing systemic discrimination.",https://governor.delaware.gov/executive-orders/,https://www.ontheissues.org/Matt_Meyer.htm,,,
-1000001,Matt Meyer,climate-change,3,"Meyer supports bold renewable energy expansion and signed EO 16 (Jan 2026) directing agencies to align with climate preparedness tools. His TEDI tree-planting initiative and smart-growth framework reflect investing in clean energy while gradually reducing fossil fuel reliance rather than an emergency declaration.",https://governor.delaware.gov/executive-orders/executive-order-16/,https://governor.delaware.gov,https://www.ontheissues.org/Matt_Meyer.htm,,
-1000001,Matt Meyer,deportation,2,"Meyer launched a 'Know Your Rights' initiative regarding ICE interactions to protect immigrant communities, and supports a pathway to citizenship for undocumented immigrants. His gubernatorial posture of shielding residents from federal immigration enforcement aligns with deporting only those convicted of serious violent crimes.",https://governor.delaware.gov,https://www.ontheissues.org/Matt_Meyer.htm,,,
-1000001,Matt Meyer,fossil-fuels,3,"Meyer backs renewable energy expansion but has not called for banning new permits or restricting fossil fuel extraction. His EO 16 smart-growth framework addresses climate within a development-friendly context. This reflects maintaining current production levels with existing environmental regulations while investing in renewables.",https://www.ontheissues.org/Matt_Meyer.htm,https://governor.delaware.gov/executive-orders/executive-order-16/,,,
-1000001,Matt Meyer,healthcare,2,"Meyer announced Delaware's first four-year medical school partnership and campaigned on expanding mobile health units, healthcare access, and equity. He supports a mix of public programs and regulated private insurance — not single-payer — consistent with making everyone covered through public programs and regulated private insurance.",https://governor.delaware.gov,https://www.ontheissues.org/Matt_Meyer.htm,,,
-1000001,Matt Meyer,homelessness,2,"Meyer signed EO 8 (April 2025) establishing the Delaware Interagency Collaborative to End Homelessness and in 2026 expanded the Hope Center shelter model. His approach prioritizes shelter capacity, outreach, and service connections over enforcement.",https://governor.delaware.gov/executive-orders/,https://governor.delaware.gov,,,
-1000001,Matt Meyer,housing,3,"Meyer signed EO 16 (Jan 2026) expanding Downtown Development Districts from 12 to 15 and EO 18 streamlining permitting. These are targeted incentives and permitting reforms consistent with offering subsidies for affordable projects and easier building permits rather than large-scale public construction or rent caps.",https://governor.delaware.gov/executive-orders/executive-order-16/,https://governor.delaware.gov,,,
-1000001,Matt Meyer,immigration,2,"Meyer welcomes refugees, supports a pathway to citizenship, and launched a 'Know Your Rights' ICE initiative protecting immigrant communities. This reflects keeping legal immigration open and letting most residents — including undocumented — use public services.",https://www.ontheissues.org/Matt_Meyer.htm,https://governor.delaware.gov,,,
-1000001,Matt Meyer,same-sex-marriage,1,"Meyer signed EO 20 (March 2026) expanding the Delaware LGBTQ+ Commission and EO 11 protecting gender-affirming care broadly. He opposes intolerance and supports full LGBTQ+ rights. His record reflects requiring full recognition of same-sex marriages and equal federal protections.",https://governor.delaware.gov/executive-orders/,https://www.ontheissues.org/Matt_Meyer.htm,,,
-1000001,Matt Meyer,school-vouchers,1,"Meyer is a former public school math teacher who ran explicitly on fixing Delaware's underfunded education system. His campaign platform prioritized public school funding with no evidence of support for voucher programs.",https://www.ontheissues.org/Matt_Meyer.htm,https://ballotpedia.org/Matt_Meyer_(Delaware),,,
-1000001,Matt Meyer,taxes,2,"Meyer stated he supports adjusting tax scales so wealthy pay their fair share, while also noting increased reserves allow investment without broad tax increases. He cut property taxes as county executive while preserving services — a moderate approach of modestly raising taxes on higher earners.",https://www.ontheissues.org/Matt_Meyer.htm,,,Supports adjusting scales so wealthy pay fair share,Supports adjusting scales so wealthy pay fair share.
-1000001,Matt Meyer,trans-athletes,2,"Meyer signed EO 11 (June 2025) explicitly protecting gender-affirming care and transgender rights statewide, and EO 20 expanded the LGBTQ+ Commission. His full affirmation of transgender rights reflects support for transgender athletes competing consistent with their gender identity after basic documentation.",https://governor.delaware.gov/executive-orders/,https://www.ontheissues.org/Matt_Meyer.htm,,,
-1000001,Matt Meyer,voting-rights,2,"Meyer signed EO 19 (April 2026) establishing a Task Force on Free, Fair, and Secure Elections focused on protecting voters from intimidation and ensuring transparent administration. Combined with his progressive Democratic record, this reflects expanding early voting and mail-in voting access rather than restricting it.",https://governor.delaware.gov/executive-orders/,https://www.ontheissues.org/Matt_Meyer.htm,,,
