external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-40002,Josh Brecheen,abortion,4,"Brecheen's documented position (Nov 2022) is 'abortion disallowed except to save the life of the mother,' which restricts abortion to only serious threats to the mother's life with no stated rape/incest exception. This fits value 4 closely.",https://www.ontheissues.org/House/Josh_Brecheen.htm,https://en.wikipedia.org/wiki/Josh_Brecheen,,Abortion disallowed except to save the life of the mother.,Abortion disallowed except to save the life of the mother.
-40002,Josh Brecheen,healthcare,5,"Brecheen's documented position (Nov 2022) is 'no government-required vaccines; no government healthcare,' indicating full opposition to any government role in healthcare. This matches value 5: stay out of healthcare entirely and let private markets handle all coverage decisions.",https://www.ontheissues.org/House/Josh_Brecheen.htm,,,No government-required vaccines; no government healthcare.,"No government-required vaccines; no government healthcare."
-40002,Josh Brecheen,fossil-fuels,5,"Brecheen explicitly supports fracking and opposes environmental regulations (Nov 2022), and holds a lifetime LCV score of 0% with votes to roll back the methane polluter fee, block states' cleaner truck standards, and roll back Clean Air Act protections (2023–2025). This pattern of maximizing extraction with no environmental constraint fits value 5.",https://www.ontheissues.org/House/Josh_Brecheen.htm,https://www.lcv.org/congressional-scorecard/moc/josh-brecheen,,"Yes fracking; environmental regulations cost jobs.","Yes fracking; environmental regulations cost jobs."
-40002,Josh Brecheen,climate-change,5,"A lifetime LCV score of 0% with 33 anti-environment votes (2023–2025), including rolling back the Clean Air Act and methane rules, combined with his explicit rejection of environmental regulations in favor of economic activity, documents a stance of rejecting climate change policies and focusing on economic growth — value 5.",https://www.lcv.org/congressional-scorecard/moc/josh-brecheen,https://www.ontheissues.org/House/Josh_Brecheen.htm,,,
-40002,Josh Brecheen,immigration,5,"Brecheen's Nov 2022 platform calls for 'no to sanctuary cities; yes to border security' and he sponsors the 'Preserving A Sharia-Free America Act' calling for deportation of foreign nationals based on ideological grounds. His documented record supports stopping most immigration and blocking public services for those without legal status.",https://www.ontheissues.org/House/Josh_Brecheen.htm,https://en.wikipedia.org/wiki/Josh_Brecheen,,"No to sanctuary cities; yes to border security.","No to sanctuary cities; yes to border security."
-40002,Josh Brecheen,deportation,5,"Brecheen sponsors the 'Preserving A Sharia-Free America Act' which would deport foreign nationals for supporting sharia law — an aggressive deportation posture with no documented support for protecting long-term residents or limiting deportation to criminal offenders. This fits value 5: deport all undocumented people regardless of how long they've lived here or family ties.",https://en.wikipedia.org/wiki/Josh_Brecheen,https://www.ontheissues.org/House/Josh_Brecheen.htm,,,
-40002,Josh Brecheen,taxes,5,"Brecheen pledged to vote 'no' on any tax increases and explicitly supports a flat tax ('a flat tax provides proportional/just taxation,' Nov 2022). A flat tax structure combined with a no-tax-increase pledge aligns with value 5: drastically cut taxes and shrink government so people and businesses keep more of their money.",https://www.ontheissues.org/House/Josh_Brecheen.htm,https://en.wikipedia.org/wiki/Josh_Brecheen,,"A flat tax provides proportional/just taxation.","A flat tax provides proportional/just taxation."
-40002,Josh Brecheen,ukraine-support,5,"Brecheen voted against the $60 billion Ukraine military aid package in 2024, doing so even though the funding would have supported defense jobs in his own district. This documented 'no' vote aligns with value 5: end all aid to Ukraine immediately and stay completely out of the conflict.",https://en.wikipedia.org/wiki/Josh_Brecheen,,,
-40002,Josh Brecheen,voting-rights,4,"Brecheen's Nov 2022 platform called for 'require photo ID for state and federal voting' with no documented support for expanding voting access. This matches value 4: require photo ID for voting and regularly update voter rolls to remove inactive registrations.",https://www.ontheissues.org/House/Josh_Brecheen.htm,,,"Require photo ID for state and federal voting.","Require photo ID for state and federal voting."
-40002,Josh Brecheen,religious-freedom,5,"Brecheen's documented position is 'state should never infringe upon a freedom of religion' (Nov 2022). He introduced the 'Patriotism Not Pride Act' banning Pride flags in federal agencies and consistently opposes anti-discrimination measures that conflict with religious viewpoints. This aligns with value 5: strongly protect religious freedom and allow religious organizations complete autonomy.",https://www.ontheissues.org/House/Josh_Brecheen.htm,https://en.wikipedia.org/wiki/Josh_Brecheen,,"State should never infringe upon a freedom of religion.","State should never infringe upon a freedom of religion."
-40002,Josh Brecheen,trans-athletes,4,"Brecheen's documented position is 'gender identity isn't a protected class' (Nov 2022) and he introduced the Patriotism Not Pride Act opposing gender identity recognition in federal spaces. Value 4 (require transgender athletes to compete on teams matching biological sex at birth) is documented; value 5 (complete ban) would require a specific bill or statement, which was not found.",https://www.ontheissues.org/House/Josh_Brecheen.htm,https://en.wikipedia.org/wiki/Josh_Brecheen,,Gender identity isn't a protected class.,"Gender identity isn't a protected class."
-40002,Josh Brecheen,civil-rights,5,"Brecheen stated 'rioting in the streets is a threat; not racism' and 'gender identity isn't a protected class' (Nov 2022), documenting opposition to expanding civil rights protections on both race and gender identity grounds. This aligns with value 5: eliminate affirmative action and all race-based government programs.",https://www.ontheissues.org/House/Josh_Brecheen.htm,,,"Rioting in the streets is a threat; not racism.","Rioting in the streets is a threat; not racism."
