external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-28001,Trent Kelly,abortion,4,"Kelly co-sponsored the Life at Conception Act (extending 14th Amendment protections from fertilization), the Born-Alive Abortion Survivors Protection Act, and the No Taxpayer Funding for Abortion Act (which permits exceptions only for rape, incest, or threats to the mother's life). His record aligns with restricting abortion to cases of rape, incest, or serious threats to the mother's life rather than a total ban with criminal penalties for patients.",https://www.ontheissues.org/House/Trent_Kelly.htm,https://reproductivefreedomforall.org/politician/trent-kelly/,https://www.ontheissues.org/House/Trent_Kelly_Abortion.htm,,
-28001,Trent Kelly,civil-rights,5,"Kelly voted against an amendment to bar federal contractors from discriminating based on sexual orientation and gender identity (H.Amdt. 1128 to H.R. 5055). His record shows consistent opposition to LGBTQ anti-discrimination measures and no documented support for equity mandates or affirmative action programs, aligning with eliminating affirmative action and race-based government programs.",https://www.ontheissues.org/House/Trent_Kelly_Civil_Rights.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,
-28001,Trent Kelly,climate-change,5,"Kelly has a lifetime LCV score of 1% and a 2025 score of 0%, voting against every major environmental and climate protection measure tracked in recent sessions. He has opposed clean energy funding, voted to rescind international climate funding, supported rolling back methane pollution fees, and has called for reining in EPA regulatory authority, aligning with rejecting climate change policies in favor of economic growth.",https://www.lcv.org/congressional-scorecard/moc/trent-kelly,https://www.ontheissues.org/House/Trent_Kelly_Environment.htm,,"Congress, not unelected bureaucrats at the EPA or IRS, should approve new, major regulations.","Congress, not unelected bureaucrats at the EPA or IRS, should approve new, major regulations."
-28001,Trent Kelly,deportation,4,"Kelly voted to ban DACA/DAPA recipients from military service (Gosar Anti-DACA Amendment, Jun 2016) and consistently opposed pathways to legal status for undocumented immigrants. His record supports deporting people without legal status with priority based on criminal history, without documented advocacy for immediate mass deportation regardless of family ties.",https://www.ontheissues.org/House/Trent_Kelly_Immigration.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,,
-28001,Trent Kelly,fossil-fuels,4,"Kelly voted against prohibiting funding for offshore drilling in the Eastern Gulf of Mexico (H.R. 5538, FY2017 Interior Appropriations) and consistently supported expanding fossil fuel extraction. His LCV record shows he voted to roll back the methane polluter fee, opposed clean energy DOE programs, and supported removing public lands protections for oil and gas drilling, aligning with expanding fossil fuel drilling permits.",https://www.ontheissues.org/House/Trent_Kelly_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/trent-kelly,,,
-28001,Trent Kelly,immigration,4,"Kelly voted to ban DREAMers from military service and opposed DACA/DAPA pathways, reflecting a position of making legal immigration harder for undocumented residents and limiting public services to those with legal status. He co-sponsored the Fairness for High-Skilled Immigrants Act, indicating support for legal high-skilled immigration channels while restricting undocumented pathways.",https://www.ontheissues.org/House/Trent_Kelly_Immigration.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,,
-28001,Trent Kelly,redistricting,5,"Kelly voted against the For the People Act (H.R. 1, 2019), which included provisions establishing independent nonpartisan redistricting commissions. His opposition to federal redistricting reform reflects support for state legislatures maintaining control over drawing district boundaries without independent oversight.",https://www.ontheissues.org/House/Trent_Kelly_Government_Reform.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,,
-28001,Trent Kelly,religious-freedom,4,"Kelly co-sponsored the First Amendment Defense Act (FADA), which would protect individuals and organizations that believe marriage is between one man and one woman from federal penalties for acting on those beliefs. This positions him as supporting faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/House/Trent_Kelly_Civil_Rights.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,,
-28001,Trent Kelly,same-sex-marriage,4,"Kelly co-sponsored the First Amendment Defense Act (FADA) protecting those who hold the belief that marriage is between one man and one woman. He has not cast a documented vote to make same-sex marriage illegal or for a federal one-man-one-woman constitutional amendment; FADA is a religious-exemption law that implicitly treats same-sex marriage as a legal institution deserving of religious carve-outs — consistent with recognizing SSM while protecting religious objectors.",https://www.ontheissues.org/House/Trent_Kelly_Civil_Rights.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,"Respect faith-based opposition to same-sex marriage.","Respect faith-based opposition to same-sex marriage."
-28001,Trent Kelly,school-vouchers,4,"Kelly voted for the SOAR Act (H.R. 10) continuing DC school voucher scholarships, and for the A-PLUS amendment allowing states to consolidate federal education funds for any lawful educational purpose. He stated that ""vouchers break link of low-income and low-quality schools,"" reflecting support for expanding voucher eligibility to most families while maintaining baseline public school funding.",https://www.ontheissues.org/House/Trent_Kelly_Education.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,"""Vouchers break link of low-income and low-quality schools.""","Vouchers break link of low-income and low-quality schools."
-28001,Trent Kelly,ukraine-support,4,"Kelly voted against the $60 billion Ukraine military aid package in April 2024 despite reported defense industry presence in his district. This reflects a position of reducing aid to Ukraine and focusing American resources on domestic priorities rather than sustaining current aid levels.",https://en.wikipedia.org/wiki/Trent_Kelly,,,
-28001,Trent Kelly,voting-rights,4,"Kelly voted against the For the People Act (H.R. 1, 2019) which would have made Election Day a federal holiday and enabled same-day voter registration. He stated ""No holiday on election day; no same-day registration"" (Mar 2019), reflecting support for requiring photo ID and maintaining stricter voter roll management rather than expanding access.",https://www.ontheissues.org/House/Trent_Kelly_Government_Reform.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,"No holiday on election day; no same-day registration.","No holiday on election day; no same-day registration."
-28001,Trent Kelly,campaign-finance,4,"Kelly voted against the For the People Act (H.R. 1, 2019), which contained provisions expanding campaign finance disclosure rules and establishing federal matching funds for small donations. His opposition to these measures reflects a position of reducing restrictions on political donations and spending.",https://www.ontheissues.org/House/Trent_Kelly_Government_Reform.htm,https://www.ontheissues.org/House/Trent_Kelly.htm,,,
