external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-13002,Sanford D. Bishop Jr.,abortion,3,"Bishop has a mixed abortion record: he voted YES on banning partial-birth abortion (2000, 2003) and restricting interstate transport of minors for abortions (1999, 2005), but voted NO on blocking federal abortion coverage (2011) and NO on prohibiting family planning funding abroad (2001). He co-sponsored the Prevention First Act supporting contraception access. NARAL rates him 30% and NRLC 36%, placing him near a first-trimester/exceptions framework.",https://www.ontheissues.org/GA/Sanford_Bishop_Abortion.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,campaign-finance,2,"Bishop signed onto a Constitutional Amendment to overturn Citizens United, supporting the principle that only natural persons — not corporations — should have the ability to make political contributions and expenditures. This reflects a stance of strictly limiting corporate donations and dark money in elections.",https://www.ontheissues.org/GA/Sanford_Bishop_Corporations.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,civil-rights,2,"Bishop has an 86% NAACP rating and has repeatedly co-sponsored the Equal Rights Amendment (2001, 2007, 2021), the Paycheck Fairness Act, and the Housing Fairness Act. He voted NO on ending preferential treatment by race in college admissions (1998) and co-sponsored recognition of Freedom Riders' contributions to civil rights, reflecting a consistent record of strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/GA/Sanford_Bishop_Civil_Rights.htm,https://en.wikipedia.org/wiki/Sanford_Bishop,,,
-13002,Sanford D. Bishop Jr.,climate-change,3,"Bishop's LCV score is approximately 35%, reflecting a mixed environmental record. He voted YES on renewable energy incentives but also YES on opening the Continental Shelf to oil drilling and voted NO on Kyoto Protocol implementation. He supports a balance between fossil fuel production and renewable energy development, consistent with a gradual transition rather than aggressive decarbonization.",https://www.ontheissues.org/GA/Sanford_Bishop_Environment.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,deportation,4,"Bishop voted for the Laken Riley Act in January 2025 — which mandates detention and deportation of undocumented immigrants convicted of theft, burglary, or violent crimes — joining 46 House Democrats and all Republicans. He also voted YES on the Secure Fence Act supporting border fencing. His record shows broad enforcement support while maintaining some DREAMer pathways and opposing religion-based bans.",https://en.wikipedia.org/wiki/Sanford_Bishop,https://www.ontheissues.org/GA/Sanford_Bishop_Immigration.htm,,,
-13002,Sanford D. Bishop Jr.,fossil-fuels,3,"Bishop's LCV score of approximately 35% reflects a mixed energy record. He voted YES on renewable energy incentives and Cash for Clunkers funding, but also voted YES on opening the Continental Shelf to oil drilling and does not support a moratorium on new fossil fuel permits. His record supports maintaining current production levels with existing environmental regulations.",https://www.ontheissues.org/GA/Sanford_Bishop_Environment.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,healthcare,2,"Bishop is rated 89% by the American Public Health Association and has consistently supported expanding Medicare, Medicaid, and SCHIP coverage. He supported the ACA and opposed Republican repeal efforts. He backed drug price negotiation and rejected the Ryan Budget's Medicare cuts. His record reflects support for a mix of public programs and regulated private insurance rather than a single-payer system.",https://www.ontheissues.org/GA/Sanford_Bishop.htm,https://en.wikipedia.org/wiki/Sanford_Bishop,,"GOP can't beat ObamaCare, so they pretend it's a disaster.","The opposition party can't beat this healthcare law, so they pretend it's a disaster."
-13002,Sanford D. Bishop Jr.,housing,3,Bishop voted for Section 8 housing vouchers and supports earned income tax credit increases as targeted poverty assistance tools. He co-sponsored the Housing Fairness Act investigating mortgage discrimination. His record reflects support for targeted subsidies and assistance programs rather than a guarantee of housing as a right or broad rent regulation.,https://www.ontheissues.org/GA/Sanford_Bishop.htm,https://www.ontheissues.org/GA/Sanford_Bishop_Civil_Rights.htm,,,
-13002,Sanford D. Bishop Jr.,immigration,3,"Bishop's immigration record is genuinely mixed: he voted YES on the Secure Fence Act and the Laken Riley Act (enhanced enforcement) but also co-sponsored the Fairness for High-Skilled Immigrants Act and supported DREAMer pathways via military service. Rated 0% by FAIR (enforcement group) and 42% by USBC, his record reflects maintaining current immigration levels while supporting selective enforcement at the border.",https://www.ontheissues.org/GA/Sanford_Bishop_Immigration.htm,https://en.wikipedia.org/wiki/Sanford_Bishop,,,
-13002,Sanford D. Bishop Jr.,medicare/aid,3,"Bishop scored 90% from the Alliance for Retired Americans and 93% from the ARA specifically on Social Security, reflecting strong support for the current program structure. As a Blue Dog Democrat he signed onto the coalition framework reserving Medicare/Social Security trust fund surpluses for debt reduction and program strengthening — focused on improving and stabilizing current programs rather than dramatic expansion.",https://www.ontheissues.org/GA/Sanford_Bishop_Social_Security.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,religious-freedom,4,"Bishop co-sponsored Representative Istook's Religious Freedom Amendment in 1997, which would protect religious expression on public property including schools — a stance Wikipedia notes was controversial within his own party. He also co-sponsored multiple school prayer constitutional amendment resolutions and voted YES on allowing courts to decide on 'God' in the Pledge. This reflects a position favoring faith-based exemptions and public religious expression.",https://en.wikipedia.org/wiki/Sanford_Bishop,https://www.ontheissues.org/GA/Sanford_Bishop_Education.htm,,,
-13002,Sanford D. Bishop Jr.,same-sex-marriage,4,"Bishop voted YES on constitutional amendments defining marriage as between one man and one woman (2004, 2006) and voted YES on banning gay adoptions in Washington DC (1999). He voted YES on an amendment opposing gender identity as a protected class in federal contractor hiring (2016). The HRC rates him 38%, reflecting a record that recognizes anti-discrimination in employment but opposes marriage equality — consistent with a civil unions position.",https://www.ontheissues.org/GA/Sanford_Bishop_Civil_Rights.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,school-vouchers,1,"Bishop is rated 100% by the NEA and has consistently opposed private school vouchers across multiple decades: voted NO on DC opportunity scholarship voucher program (2011), NO on the SOAR Act reauthorization (2015), NO on vouchers for private and parochial schools (1997), and NO on allowing vouchers in DC schools (1998). He supports fully funding public schools over diverting money to private institutions.",https://www.ontheissues.org/GA/Sanford_Bishop_Education.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,social-security,3,"Bishop voted to strengthen the Social Security Lockbox (protecting trust fund surpluses) and scored 93% from the ARA, reflecting strong opposition to privatization. As a Blue Dog Democrat he supported taking Social Security trust fund surpluses off-budget while dedicating half to debt reduction — a fiscally conservative approach focused on stability and modest adjustments rather than significant benefit expansion or privatization.",https://www.ontheissues.org/GA/Sanford_Bishop_Social_Security.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,Changing Social Security disproportionately affects women.
-13002,Sanford D. Bishop Jr.,tariffs,3,"Bishop opposed CAFTA, Singapore, Chile, and fast-track trade authority, while voting YES on the Peru FTA and USMCA (2019). He co-sponsored the Currency Reform for Fair Trade Act imposing tariffs against countries manipulating currency values and signed the TRADE Act requiring reviews of trade agreements for labor and human rights violations. His CATO score of 28% reflects selective protectionism focused on worker protections rather than across-the-board tariffs.",https://www.ontheissues.org/GA/Sanford_Bishop_Free_Trade.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,taxes,2,"Bishop voted against the Tax Cuts and Jobs Act (2017), which reduced corporate taxes from 35% to 21%, citing concerns it would balloon the deficit by $1.5 trillion. He opposed making Bush tax cuts permanent and retaining capital gains reductions for the wealthy. He supported closing offshore business tax loopholes. His NTU score of 22% reflects consistent opposition to tax cuts for upper-income earners and corporations.",https://www.ontheissues.org/GA/Sanford_Bishop_Corporations.htm,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,ukraine-support,2,"Bishop voted with President Biden 100% of the time in 2022 (per FiveThirtyEight), which included major Ukraine supplemental aid packages. As a senior House Appropriations Committee member, he has been in the institutional mainstream supporting continued military and economic aid to Ukraine. He has not called for reduced aid or withdrawal from the conflict.",https://en.wikipedia.org/wiki/Sanford_Bishop,https://www.ontheissues.org/GA/Sanford_Bishop.htm,,,
-13002,Sanford D. Bishop Jr.,voting-rights,2,"Bishop opposed photo ID requirements stating they suppress the vote, and supports automatic voter registration, same-day registration, and election-day holidays to expand access. His record consistently favors expanding early voting and making mail-in voting more broadly accessible without requiring an excuse.",https://www.ontheissues.org/GA/Sanford_Bishop.htm,https://en.wikipedia.org/wiki/Sanford_Bishop,,,they suppress the vote
-13001,Earl L. Carter,abortion,4,"Carter supports states determining abortion law after Dobbs, has sponsored legislation protecting infants who survive abortions, and backs a 20-week ban with exceptions for maternal life. He states life begins at conception but has not called for a complete federal ban with criminal penalties for patients or providers.",https://www.ontheissues.org/GA/Buddy_Carter.htm,https://en.wikipedia.org/wiki/Buddy_Carter,,I believe in the dignity of human life including unborn,I believe in the dignity of human life including unborn
-13001,Earl L. Carter,civil-rights,5,"Carter has supported transgender military bans, opposed race-based affirmative action programs, and earned ratings consistent with eliminating federal equity mandates. His record aligns with eliminating affirmative action and race-based government programs rather than merely limiting enforcement to clear discrimination cases.",https://en.wikipedia.org/wiki/Buddy_Carter,https://www.ontheissues.org/GA/Buddy_Carter.htm,,,
