full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Chrissy Houlahan,-42006,abortion,2,"Houlahan is documented as pro-choice per the 2018 PVS survey, supporting legal and accessible abortion. Her record aligns with keeping abortion legal and accessible through the second trimester rather than publicly funded at all stages (stance 1) or first-trimester-only restrictions (stance 3), matching stance 2.",https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,https://en.wikipedia.org/wiki/Chrissy_Houlahan,,,
Chrissy Houlahan,-42006,campaign-finance,2,"Houlahan stated she wants to 'get big money out of our campaigns, plus more disclosure' and voted for the For the People Act, which limits corporate dark money and establishes public matching for small-dollar donations. Her record reflects strictly limiting corporate donations and dark money groups (stance 2) rather than a complete ban on private money (stance 1).",https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,https://www.ontheissues.org/pa/Chrissy_Houlahan_Government_Reform.htm,,"Get big money out of our campaigns, plus more disclosure.","Get big money out of our campaigns, plus more disclosure."
Chrissy Houlahan,-42006,civil-rights,2,"Houlahan co-sponsored the Equal Rights Amendment ratification bill, voted YES on the Equity and Inclusion Enforcement Act allowing private lawsuits for race discrimination in federally funded education programs, and was inspired by the 2017 Women's March to run for Congress. Her record reflects strengthening civil rights enforcement and addressing systemic discrimination (stance 2).",https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,https://en.wikipedia.org/wiki/Chrissy_Houlahan,,,
Chrissy Houlahan,-42006,climate-change,3,"Houlahan holds a 97% lifetime LCV score and voted for the Inflation Reduction Act (2022), a major clean energy investment bill. As a Problem Solvers Caucus member she takes a pragmatic approach — investing in renewables while not mandating a complete fossil fuel phase-out by 2030, matching stance 3 (invest in clean energy while gradually reducing reliance on fossil fuels).",https://www.lcv.org/congressional-scorecard/moc/chrissy-houlahan,https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,https://en.wikipedia.org/wiki/Chrissy_Houlahan,,
Chrissy Houlahan,-42006,deportation,2,"Houlahan co-sponsored the Dream and Promise Act protecting DACA recipients from deportation, stating 'Dreamers were brought here and know no other home.' She has consistently advocated for pathways to citizenship rather than mass deportation, aligning with deporting only immigrants who commit serious violent crimes (stance 2).",https://www.ontheissues.org/pa/Chrissy_Houlahan_Immigration.htm,https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,,"Dreamers were brought here and know no other home. Many contribute as teachers, medical professionals, business owners, and taxpayers.","Dreamers were brought here and know no other home. Many contribute as teachers, medical professionals, business owners, and taxpayers."
Chrissy Houlahan,-42006,fossil-fuels,2,"Houlahan earned a 97% lifetime LCV score and voted against 'Rolling Back the Methane Polluter Fee' and against 'Opening Public Lands to Polluting Mining Companies' in 2025, consistent with opposing new fossil fuel extraction permits. Her record aligns with stopping new permits for fossil fuel drilling (stance 2) rather than an immediate ban on all existing extraction (stance 1).",https://www.lcv.org/congressional-scorecard/moc/chrissy-houlahan,https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,,,
Chrissy Houlahan,-42006,healthcare,2,"Houlahan backs expanding coverage through the ACA and a public option rather than a single-payer system, stating her priority is to 'increase access to quality, affordable healthcare.' Per a 2018 PVS survey she opposes ACA repeal. This aligns with ensuring affordable coverage through a mix of public programs and regulated private insurance (stance 2).",https://www.ontheissues.org/pa/Chrissy_Houlahan_Health_Care.htm,https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,,,
Chrissy Houlahan,-42006,immigration,2,"Houlahan supports pathways to citizenship for DREAMers, co-sponsored the NO BAN Act prohibiting religion-based immigration restrictions, and backed increasing both family-based and employment-based visa caps. Her record reflects keeping legal immigration open while providing access to public services regardless of status, matching stance 2.",https://www.ontheissues.org/pa/Chrissy_Houlahan_Immigration.htm,https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,https://en.wikipedia.org/wiki/Chrissy_Houlahan,,
Chrissy Houlahan,-42006,medicare/aid,3,"Houlahan consistently opposes ACA repeal (which would gut Medicaid expansion) and her healthcare platform centers on protecting existing coverage systems for seniors and low-income residents. As a Problem Solvers Caucus member she favors improvements within existing program structures rather than expansion or privatization, aligning with improving current programs while controlling costs (stance 3).",https://www.ontheissues.org/pa/Chrissy_Houlahan_Health_Care.htm,https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,,,
Chrissy Houlahan,-42006,redistricting,2,"Houlahan co-sponsored the For the People Act, which 'requires states to establish independent redistricting commissions to carry out congressional redistricting,' removing partisan gerrymandering from the process. This aligns with independent redistricting commissions with equal representation from both parties (stance 2) rather than citizens-only commissions (stance 1).",https://www.ontheissues.org/pa/Chrissy_Houlahan_Government_Reform.htm,https://www.ontheissues.org/pa/Chrissy_Houlahan.htm,,,
