external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-1500001,Josh Green,abortion,1,"Green signed legislation in March 2023 expanding abortion access statewide, shielding providers from out-of-state prosecution, allowing minors to obtain abortions without parental consent in certain cases, and repealing hospital requirements for procedures. As a physician he has been a consistent advocate for full reproductive healthcare access.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,No residency requirement for abortions; clinics acceptable,No residency requirement for abortions; clinics acceptable
-1500001,Josh Green,healthcare,2,"Green, an emergency room physician, signed 22 healthcare bills in June 2024 expanding mental health crisis intervention and workforce retention. He signed Senate Bill 1035 (2024) exempting Medicare, Medicaid, and Tricare services from Hawaii's General Excise Tax and has established a $30M loan program to retain healthcare professionals. He supports affordable coverage through a mix of public programs and regulated private insurance rather than a fully public single-payer system.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,,
-1500001,Josh Green,climate-change,2,"Green signed a Climate Impact Fee on visitors to the islands (2024), has aggressively pushed investment in hydrogen and green energy, pressed the Navy to shut its contaminated fuel facility, and has publicly stated that Hawaii's high energy costs stem from oil dependence. He has consistently called for a rapid transition to renewable energy and signed multiple clean energy bills.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,"High energy costs stem from burning oil for electricity","High energy costs stem from burning oil for electricity"
-1500001,Josh Green,fossil-fuels,2,"Green has consistently linked Hawaii's energy problems to oil dependence and has pushed to transition away from fossil fuels, pressing the Navy to drain fuel tanks and shut its Red Hill facility. His climate bills and clean energy investments indicate a stance of stopping new fossil fuel expansion, though no explicit ban-all-drilling legislation has been documented.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,,
-1500001,Josh Green,housing,2,"Green declared a housing emergency in July 2023, issuing a proclamation to streamline construction of 50,000 affordable units by suspending land use regulations. He has stated 'housing must be considered a human right,' adopted a 'housing is healthcare' framework, established a state-subsidized loan program for first-time buyers, and has pushed public funding for affordable housing development.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,"Housing must be considered a human right","Housing must be considered a human right"
-1500001,Josh Green,homelessness,2,"Green has consistently framed homelessness as a health crisis requiring services rather than criminalization, calling for 'access to treatment for homeless addicts and mentally ill' and adopting a 'housing is healthcare' approach that prioritizes stable housing and mental health services. As Lieutenant Governor he was tasked with Hawaii's homelessness response focusing on mental illness and addiction.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,,
-1500001,Josh Green,medicare/aid,2,"Green signed Senate Bill 1035 in June 2024 exempting Medicare, Medicaid, and Tricare from Hawaii's General Excise Tax, reducing costs for recipients and providers. He has consistently supported expanding and strengthening both programs, and his broader healthcare agenda aligns with significantly expanding Medicaid coverage.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,,
-1500001,Josh Green,taxes,3,"Green signed income tax cuts benefiting all brackets (10-71% reductions for working families) and inflation indexing of the tax code, while simultaneously supporting increases on luxury housing units and eliminating food taxes. This mixed approach — cutting income taxes while adjusting targeted rates — reflects a maintenance-plus-adjustment stance rather than major hikes or cuts.",https://www.ontheissues.org/Josh_Green.htm,,,"Every income bracket paying less state income tax","Every income bracket paying less state income tax"
-1500001,Josh Green,childcare,3,"Green proposed up to a $10,000 child care tax credit for working families (announced January 2023) and has called for making childcare accessible and affordable for students. This represents a targeted tax credit approach rather than universal public childcare or major subsidy expansion.",https://www.ontheissues.org/Josh_Green.htm,,,Up to $10000 child care tax credit for working families,Up to $10000 child care tax credit for working families
-1500001,Josh Green,same-sex-marriage,1,"As a Hawaii legislator Green supported civil unions for same-sex couples when marriage was not yet legally available (2010), and as governor he has been a vocal LGBTQ+ ally. Hawaii was among the first states to legalize same-sex marriage and Green has fully supported federal recognition and equal benefits.",https://en.wikipedia.org/wiki/Josh_Green_(politician),https://www.ontheissues.org/Josh_Green.htm,,,
-1500001,Josh Green,civil-rights,2,"Green has taken a restorative justice approach to criminal reform, stating he wants to 'shift toward a restorative approach rather than strictly punitive' (January 2023), and has been responsive to civil rights concerns including personally turning over antisemitic signs to the state attorney general. His legislative record shows support for strengthening civil rights and addressing systemic inequities.",https://www.ontheissues.org/Josh_Green.htm,,,"Shift toward restorative approach rather than strictly punitive","Shift toward restorative approach rather than strictly punitive"
-1500001,Josh Green,school-vouchers,1,"OnTheIssues documents that Green strongly opposes school voucher programs. He has supported fully funding public schools and has proposed universal public Pre-K and free community college, reflecting a strong pro-public-education stance that rejects diversion of public funds to private institutions.",https://www.ontheissues.org/Josh_Green.htm,,,Develop and fund universal public Pre-K program,Develop and fund universal public Pre-K program
-1500001,Josh Green,immigration,3,"OnTheIssues records Green working to 'establish parameters for local police assisting immigration' (March 2025), suggesting he is seeking a middle path that neither fully cooperates with nor fully refuses federal immigration enforcement — keeping current parameters without proactive enforcement.",https://www.ontheissues.org/Josh_Green.htm,,,Establish parameters for local police assisting immigration,Establish parameters for local police assisting immigration
