full_name,topic_key,source_url,snippet,snippet_index
Scott D. Sandall,abortion,https://www.stgeorgeutah.com/news/archive/2020/02/28/apc-lgl20-utah-abortion-ban-proposal-gets-early-nod-from-senate-committee-that-includes-southern-utah-lawmaker/,"A Utah Senate committee advanced legislation that would ban most abortions, designated as SB 174 in the 2020 legislative session. The Health and Human Services Committee voted 4-2 in favor of the proposal. Republican Senator Scott Sandall expressed his reasoning for backing the measure, stating: ""My opinion, my sense, my belief is the fetus has as much right to life as the mother would have for her choice."" The bill would classify abortion as a felony punishable by up to 15 years imprisonment, with exceptions for rape, incest, or serious maternal health threats. The measure includes a ""trigger clause,"" meaning it would activate only if the U.S. Supreme Court overturns Roe v. Wade.",0
Scott D. Sandall,abortion,https://progressreport.betterutah.org/bills/2020/sb-174/,"S.B. 174, Abortion Prohibition Amendments, would ban all elective abortions in the state of Utah other than rare circumstances involving rape, incest, the possible death of the mother's life, or a lethal birth defect (as diagnosed by two physicians). The measure to ban most abortions contains a so-called ""trigger clause,"" which means it wouldn't go into effect unless the U.S. Supreme Court overturns Roe v. Wade. Utah's trigger law, SB174, was signed into law in 2020.",0
Scott D. Sandall,trans-athletes,https://www.fox13now.com/news/local-news/utah-legislature-overrides-veto-of-transgender-sports-bill,"The House voted 56-18, while the Senate voted 21-8 for House Bill 11 on Friday, overturning the governor's veto of the bill. The bill bans transgender children from participating in school sports consistent with their gender identity. The override vote occurred after passionate debate, with supporters arguing the bill ""preserves the integrity of women's sports"" and opponents characterizing it as ""political theatre."" The ACLU subsequently announced plans to sue over the legislation.",0
Scott D. Sandall,trans-athletes,https://en.wikipedia.org/wiki/Utah_House_Bill_11,"Utah House Bill 11 was a 2022 Utah law that banned transgender girls and women from participating in female sports. The Senate voted 21-8 and the House voted 56-18 in favor of overturning the veto, meeting the constitutional requirement. The legislature voted to override the governor's veto of House Bill 11, a bill that bans transgender students from participating in school sports consistent with their gender identity.",0
Scott D. Sandall,voting-rights,https://www.standard.net/news/2025/mar/05/utah-bill-to-require-voter-id-changes-again/,"Starting in 2026, require voters with a valid state ID to include the last four digits of their state ID when returning a ballot through the mail or in a drop box. The new version of HB300 would require voters to opt in to receiving a ballot by mail — but not until Jan. 1, 2028. The Senate Business and Labor Committee approved HB300 on a 5-3 vote Monday evening.",0
Scott D. Sandall,voting-rights,https://boltsmag.org/utah-legislation-ending-universal-vote-by-mail/,"HB 300 would end universal vote-by-mail in Utah by requiring voters to ""proactively request a mail ballot"" rather than receiving one automatically. Voters must reapply every eight years or be removed if they ""miss two consecutive general elections."" Starting in 2026, mail voters must ""write on it the last four digits of a government-issued driver's license."" The bill ""immediately ends Utah's grace period for mail ballots,"" requiring ballots to be received by 8 p.m. Election Day. The bill passed legislature March 6 on mostly party lines.",0
Scott D. Sandall,civil-rights,https://www.fox13now.com/news/local-news/transgender-bathroom-dei-replacement-bills-clear-final-senate-votes,"The DEI replacement bill HB261 passed 23-6 along party lines. The legislation prohibits ""diversity statements"" in government job applications and trainings. Its most significant provision replaces DEI offices at Utah colleges and universities with ""Student Success Centers"" and bans use of the term ""Diversity, Equity and Inclusion."" Senate sponsor Keith Grover, R-Provo, explained that while some aspects involve renaming, the bill also applies services to all students considered at risk.",0
Scott D. Sandall,civil-rights,https://www.standard.net/news/government/2024/jan/20/dei-overhaul-passes-the-utah-house-amid-questions-of-consequences-beyond-higher-ed/,"The Utah House on Friday passed a bill to overhaul diversity, equity and inclusion programs in Utah schools, local government and other public entities. The bill now heads to the Senate for consideration. HB261 prohibits ""diversity statements"" in job applications and trainings in government jobs that are ""ideological"" and place one race, gender or nationality above another, and its most controversial provision replaces DEI offices on Utah college and university campuses with all-encompassing ""Student Success Centers"" and prohibits the use of the term ""Diversity, Equity and Inclusion."" The 58-14 party line vote came despite questions from Democrats.",0
Scott D. Sandall,redistricting,https://www.kuer.org/politics-government/2021-11-06/salt-lake-county-split-into-four-congressional-districts-in-legislative-committees-proposed-maps,"Sen. Scott Sandall, R-Tremonton, co-chair of the Utah Legislative Redistricting Committee, provided this statement about the proposed maps: ""After listening to Utahns and touring the state, Rep. [Paul] Ray and I created maps that we believe incorporate the interests of all Utahns. The congressional map we propose has all four delegates representing both urban and rural parts of the state."" Sandall's committee released a redistricting proposal that divided Salt Lake County into four congressional districts, departing from the previous three-district arrangement. The independent redistricting commission's maps had received higher partisan fairness grades.",0
Scott D. Sandall,redistricting,https://www.fox13now.com/news/local-news/independent-redistricting-commission-presents-maps-to-the-utah-legislature,"Senator Scott Sandall, the Republican co-chair of the legislature's redistricting committee, raised concerns about one of the congressional maps presented by the Independent Redistricting Commission. Sandall objected to a congressional map that had been designed by a member of the public rather than by the commission itself. He stated: ""This map was drawn on a tool that included political bias."" After the meeting, Sandall clarified his position to reporters, saying: ""It's not a pure process that some have indicated it is. There's bias in every map line you draw.""",0
Scott D. Sandall,redistricting,https://www.news4jax.com/news/politics/2021/11/12/utah-redistricting-maps-underscore-independent-panel-hurdles/,"Defending the Legislature's approach, Sandall stated: ""Your voice is embodied in those that you elect on a local basis"" and explained that elected legislators, rather than appointed panel members, are better suited to represent constituents in the redistricting process. The Republican-controlled Utah Legislature approved new congressional maps that largely ignored the work of an independent redistricting commission approved by voters. Lawmakers drew and approved their own maps in the span of less than a week.",0
Scott D. Sandall,school-vouchers,https://www.kuer.org/education/2023-01-26/utah-lawmakers-send-a-teacher-pay-bump-and-school-vouchers-to-the-governor,"The Utah Senate approved HB215 with a vote of 20-8 to send it to the governor's desk. Republican Sens. Derrin Owens and David Hinkins joined all six Democrats in voting against the bill. The Utah Fits All Scholarship program provides up to $8,000 to eligible Utah K-12 students for education expenses including private school tuition and fees, homeschooling, tutoring services, testing fees, materials, and other expenses.",0
Scott D. Sandall,school-vouchers,https://www.upr.org/utah-news/2023-01-31/cache-valley-educators-march-against-scholarship-bill-passes-senate-in-20-8-vote,"The bill passed the Utah Senate in a 20-8 vote that rendered the legislation veto- and referendum-proof. The Utah Fits All Scholarship Program came to be through HB215 during the 2023 General Legislative Session, signed into law by Governor Spencer Cox on January 28th, 2023. The program provides up to $8,000 to eligible Utah K-12 students for education expenses including private school tuition and fees, homeschooling, tutoring services, and testing fees.",0
Scott D. Sandall,data-centers,https://grist.org/business/ai-utah-data-center-boom-fossil-fuels-gas/,"Republican state senator Scott Sandall, sponsor of Senate Bill 132, which was passed by the Utah Legislature. This legislation permits private companies requiring 100 megawatts or more to construct their own generating facilities operating independently from the public electrical grid. ""It kind of un-handcuffs Rocky Mountain Power to provide these loads for data centers, for AI, for large manufacturers,"" Sandall said, ""those that are coming in, and quite frankly, changing the curve of power demand.""",0
Scott D. Sandall,data-centers,https://kiowacountypress.net/content/changes-are-coming-utah-power-companys-contracts-ai-centers-not-its-rate-structure,"Sen. Scott Sandall, R-Tremonton, sponsored SB132, which ""established an alternative process to provide electric power to customers with large loads so existing ratepayers wouldn't have to bear the cost of the additional demands."" On ratepayer protection, Sandall stated: ""We were able to create language where I believe that we did give the protection to the consumer. At the same time, we gave the possibility to find new generation sources without laying the cost back onto our traditional consumer."" Sandall reflected on the negotiations: ""We married the two together through a lot of long hours and negotiation, and I think we're in a spot where both sides didn't get everything they wanted, but I think they feel comfortable moving forward.""",0
Scott D. Sandall,homelessness,https://www.heraldextra.com/news/local/2023/mar/01/utah-senate-approves-homeless-shelter-bill-after-county-official-opposition/,"The Utah Senate approved House Bill 499 on Wednesday with a voice vote. The House had previously passed it on Tuesday by a vote of 71-1. Senator Jacob Anderegg, R-Lehi, sponsored the bill in the Senate. The legislation requires counties to establish winter response task forces and meet minimum bed counts for homeless services. The bill requires cities with camping bans on the books to enforce them with few exceptions, in order for them to receive mitigation funding. The bill now proceeds to Governor Spencer Cox for his signature.",0
Scott D. Sandall,homelessness,https://ksltv.com/local-news/bill-mandating-counties-to-provide-homeless-shelters-enforce-camping-laws-passes-utah-house/529049/,"House Bill 499 would adjust plans instituted in 2022, focused on Salt Lake City, and expand them across the Wasatch Front, including Utah County. The goal of the bill is to provide shelter for people experiencing homelessness and make resources more readily available, along with enforcing existing laws. ""We want to get people out of the streets, where assaults, sexual abuse, drug use runs rampant,"" Rep. Steve Eliason, R-Sandy, the bill's sponsor, said in a committee hearing. The bill requires cities with camping bans on the books to enforce them, in order for them to receive mitigation funding. The bill passed the House on a 71-to-1 vote.",0
Scott D. Sandall,taxes,https://www.standard.net/news/government/2024/feb/29/utah-legislature-approves-167-million-income-tax-cut-largely-benefitting-high-earners/,"The Republican-controlled Utah Legislature approved SB69, reducing the state income tax rate from 4.65% to 4.55%, representing a $167 million reduction. The measure passed the House on a 63-11 vote, with three Democrats supporting it. Earlier, the Senate approved it 23-6. Senator Chris Wilson, the bill's sponsor, stated: ""If we want a strong economy we do not want to tax productivity.""",0
Scott D. Sandall,taxes,https://www.heraldextra.com/news/local/2024/feb/29/utah-legislature-approves-167-million-income-tax-cut-largely-benefitting-high-earners/,"SB69 won approval from the Senate on a 23-6 vote. SB69's sponsor Sen. Chris Wilson, R-Logan, carried it smoothly through the legislative process. Sen. Wilson argued that the tax reduction would benefit Utah residents financially, stating: ""If we want a strong economy we do not want to tax productivity. Taxing productivity stifles the economy."" This represents the fourth consecutive year of tax cuts in Utah, lowering the income tax rate from 4.65% to 4.55% and reducing state revenue by $167 million.",0
