full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Danny K. Davis,-17007,abortion,1,"Davis holds a 100% rating from NARAL and a 0% rating from the National Right to Life Committee, voted NO on partial-birth abortion bans and other restrictions, and explicitly supports federal funding for abortion services. This aligns with stance 1: ensuring abortion is legal, accessible, and publicly funded at all stages.",https://www.ontheissues.org/IL/Danny_Davis.htm,https://en.wikipedia.org/wiki/Danny_K._Davis,,"Access safe, legal abortion without restrictions","Access safe, legal abortion without restrictions"
Danny K. Davis,-17007,campaign-finance,2,"Davis supports strict limits on corporate money in politics, mandatory disclosure of political donations, and a voter voucher system for small-dollar donations. He has consistently supported campaign finance reform legislation. This aligns with stance 2: strictly limiting corporate donations and dark money groups.",https://www.ontheissues.org/IL/Danny_Davis.htm,,,,
Danny K. Davis,-17007,childcare,2,"As a member of the Congressional Progressive Caucus, Davis has supported substantially expanding childcare subsidies and parental leave. He advocated for paid parental leave and expanded domestic violence victim services. This aligns with stance 2: significantly expanding subsidies and provider grants to make childcare affordable for low- and middle-income families.",https://www.ontheissues.org/IL/Danny_Davis.htm,,,,
Danny K. Davis,-17007,civil-rights,1,"Davis holds a 94% NAACP rating and has been a lifelong civil rights champion, supporting the Equal Rights Amendment, reparations-adjacent civil rights legislation, and systemic equity measures. He co-chairs the Caucus on Re-Entry and advocates affirmative action. This aligns with stance 1: mandate racial equity requirements in all institutions and provide reparations.",https://www.ontheissues.org/IL/Danny_Davis.htm,https://en.wikipedia.org/wiki/Danny_K._Davis,,Constitutional Amendment for equal rights by gender,Constitutional Amendment for equal rights by gender
Danny K. Davis,-17007,climate-change,2,"Davis holds a 94% lifetime LCV score and a 100% LCV score in 2025, has supported the Green New Deal and a rapid transition to renewable energy, and has opposed fossil fuel subsidies. This aligns with stance 2: rapidly transition to renewable energy and phase out fossil fuels by 2030.",https://www.lcv.org/congressional-scorecard/moc/danny-k-davis,https://www.ontheissues.org/IL/Danny_Davis.htm,,Green New Deal: 10-year national mobilization,Green New Deal: 10-year national mobilization
Danny K. Davis,-17007,deportation,1,"Davis holds a 0% rating from both FAIR and USBC (immigration enforcement advocacy groups), co-sponsored legislation providing government-funded counsel to immigrants in removal proceedings, and opposes enforcement-first immigration policies. This aligns with stance 1: stop deportations entirely and protect undocumented residents from removal.",https://www.ontheissues.org/IL/Danny_Davis.htm,,,,
Danny K. Davis,-17007,fossil-fuels,2,"Davis has a 94% lifetime LCV score and 100% in 2025, has opposed offshore oil drilling and fossil fuel subsidies, and supported renewable energy transitions. This record aligns with stance 2: stop issuing new permits for fossil fuel drilling.",https://www.lcv.org/congressional-scorecard/moc/danny-k-davis,https://www.ontheissues.org/IL/Danny_Davis.htm,,,
Danny K. Davis,-17007,healthcare,1,"Davis explicitly supports single-payer health care (noted on Wikipedia and OnTheIssues), holds a 100% APHA rating, and has stated that healthcare should be a right rather than a privilege. This aligns with stance 1: make healthcare free and available to everyone, paid for and run by the public sector.",https://www.ontheissues.org/IL/Danny_Davis.htm,https://en.wikipedia.org/wiki/Danny_K._Davis,,"Make health care a right, not a privilege","Make health care a right, not a privilege"
Danny K. Davis,-17007,housing,2,"Davis has supported affordable housing investment, rent assistance programs, and public funding for housing as part of his broader progressive platform. As a Ways and Means member representing Chicago's West Side, he has consistently backed federal housing intervention. This aligns with stance 2: use rent caps, require new developments to include affordable units, and publicly fund new housing.",https://www.ontheissues.org/IL/Danny_Davis.htm,https://en.wikipedia.org/wiki/Danny_K._Davis,,,
Danny K. Davis,-17007,immigration,1,"Davis holds 0% from FAIR and USBC, voted against border fence construction, signed onto the American Dream Act for DREAMers, co-sponsored expanded visa caps, and backed the NO BAN Act prohibiting religion-based immigration discrimination. This aligns with stance 1: make it easier to come here legally and let all immigrants use public services.",https://www.ontheissues.org/IL/Danny_Davis.htm,,,Let illegal alien children attend school,Let illegal alien children attend school
