full_name,politician_id,topic_key,value,reasoning
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,abortion,1,"Campaign platform explicitly states women should make their own healthcare decisions, supports repealing the Hyde Amendment, and that abortion rights should be 'permanently enshrined into law.' He opposes Republican attacks on Planned Parenthood and life-saving healthcare for women. — best matches stance 1 (ensure abortion is legal, accessible, and publicly funded at all stages)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,same-sex-marriage,1,"Campaign platform advocates for the Equality Act to 'explicitly ban discrimination based on sexual orientation and gender identity,' meaning full federal protections for same-sex marriages. No carve-outs or state-level discretion articulated. — best matches stance 1 (require all states to recognize same-sex marriages and provide full federal benefits and protections)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,religious-freedom,2,"Introduced SB136 framing protection of churches from ICE as a religious freedom issue ('preventing nasty law enforcement actions from happening in churches'); supports the Equality Act which explicitly bars religious exemptions from employment/housing discrimination. — best matches stance 2 (protect religious freedom while ensuring it doesn't override anti-discrimination protections in employment and housing)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,trans-athletes,1,"Voted No on SB16 (2023, gender-affirming care ban), read trans intern's statement on floor; voted No on HB257 (2024 bathroom bill) calling it 'more like a creepy men in bathrooms issue'; campaign supports transgender healthcare access and Equality Act protections. Has introduced legislation to end the gender-affirming care ban. Consistent support for transgender rights with no restrictions on sports participation articulated. — best matches stance 1 (allow all transgender athletes to compete on teams matching their gender identity without any restrictions)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,medicare/aid,1,"Sponsored SB300 in the 2026 General Session — the 'Utah Cares Health Financing Program,' a state single-payer bill enrolling all eligible individuals starting 2028. Campaign platform calls for 'Medicare For All.' — best matches stance 1 (expand Medicare to cover everyone regardless of age)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,fossil-fuels,2,"Introduced SB249 (Public Utility Expenditures Amendments) and abandoned Carbon Fee and Carbon Emission Reduction bills; called Utah's climate liability shield law the 'absolutely wrong direction'; opposed federal money keeping coal plants open as 'not economically sensible, and certainly not environmentally sensible.' Backs Green New Deal and transition away from fossil fuels. — best matches stance 2 (stop issuing new permits for fossil fuel drilling)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,voting-rights,2,"Voted No on HB300 (2025) which phased out automatic mail-in balloting and added voter ID requirements, stating it was 'feeding' into 'conspiracy thinking.' Campaign platform supports expanding early voting and mail-in voting options. — best matches stance 2 (expand early voting and make mail-in voting available to all voters without requiring an excuse)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,social-security,2,"Campaign platform calls for 'raising the cap on the Social Security Tax, protecting benefits from being garnished due to student loan debt, and expanding benefits so they keep pace with the cost of living.' — best matches stance 2 (increase Social Security benefits modestly while raising taxes on higher earners to strengthen the program)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,climate-change,2,"Backed the Green New Deal; sponsored geothermal energy bills (SB257 2024) and Great Salt Lake restoration (SB196 2024); said Utah should follow states like New York and Vermont on climate; called for 'transition away from fossil fuels'; opposes major new emissions facilities. — best matches stance 2 (rapidly transition to renewable energy and phase out fossil fuels by 2030)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,civil-rights,2,"Criticized HB261 (anti-DEI bill, 2024); supports the Equality Act to explicitly ban discrimination based on sexual orientation and gender identity; advocates for strengthening civil rights enforcement and addressing systemic discrimination. — best matches stance 2 (strengthen civil rights enforcement and address systemic discrimination)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,campaign-finance,2,"Campaign platform states he 'refuse[s] to take corporate PAC money' and will 'fight to end the secret flow of corporate money in our elections.' Also supports banning members of Congress from trading stocks. — best matches stance 2 (strictly limit corporate donations and dark money groups)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,redistricting,1,"Supports the independent redistricting commission; voted against SB1011 (Oct 2025 special session), which replaced the independent commission's map with a legislature-drawn version. States he 'stands fully behind the work of the Utah Independent Redistricting Commission.' — best matches stance 1 (independent citizens' commissions with no elected officials involved at any level)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,school-vouchers,1,"Voted against HB215 (Utah Fits All Scholarship, 2023) as one of 8 No votes (all 6 Democrats opposed it); campaign platform explicitly opposes public funds going to private schools. — best matches stance 1 (fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,data-centers,1,"Stated 'We need a moratorium' on data center construction, citing energy and emissions concerns; introduced SB0153 (Public Utility Expenditures Amendments) to protect ratepayers; said a proposed Box Elder County data center 'would like double or more the state's total emissions.' — best matches stance 1 (imposing a moratorium on new data center construction until energy infrastructure can support demand without raising costs for residential ratepayers)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,homelessness,2,"Campaign platform supports the Housing First model and calls homelessness 'a policy failure'; introduced a bill requiring statewide housing needs analysis to plan for low-income individuals; stated 'Utah needs a clear, honest plan for how many homes we need.' — best matches stance 2 (decriminalizing public sleeping while investing in shelter capacity, outreach workers, and voluntary service connections)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,childcare,1,"Campaign platform advocates for 'universal childcare'; sponsored family leave legislation (SB0277 in 2024, SB0072 in 2025) to create paid family leave requirements. — best matches stance 1 (establishing publicly funded universal childcare so that all families have access regardless of income)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,ai-regulation,4,"Campaign platform calls for 'stronger regulation of Big Tech and frontier AI labs to ensure transparency, accountability, and public safety.' Supports a moratorium on data center/AI expansion; wants to 'end AI-driven price-fixing algorithms.' — best matches stance 4 (require safety testing and ban high-risk AI uses in areas like hiring, healthcare, and policing)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,immigration,1,"Introduced SB136 ('ICE Out' bill, 2026) to bar ICE from churches, hospitals, libraries and courthouses; publicly called for abolishing ICE ('the end goal must be to abolish ICE'); campaign supports a 'humane, realistic pathway to citizenship for undocumented immigrants' and dismantling ICE. — best matches stance 1 (make it easier for immigrants to come here legally, and let all immigrants — including undocumented residents — fully use public services)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,deportation,2,"SB136 would bar state resources from assisting ICE enforcement; has publicly said goal is to abolish ICE; uses language of protecting immigrant communities from 'federal law enforcement running roughshod.' Campaign platform implies only serious violent offenders should face removal. — best matches stance 2 (only deport people convicted of serious violent crimes)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,healthcare,1,"Sponsored SB300 (2026) — 'Single Payer Health Insurance Amendments' — a state-operated universal health financing program. Campaign advocates for 'Medicare For All.' — best matches stance 1 (make healthcare free and available to everyone, paid for and run by the public sector)."
Nate Blouin,a02441f2-b338-45b1-bdf8-208b6bcc21b0,taxes,1,"Introduced SB244 (2025) to impose a 1% surtax on income over $1 million (raising top rate from 4.55% to 5.55%) to fund a refundable earned income tax credit; stated desire to 'raise revenues from folks who are doing quite well'; campaign calls for doubling tax rates on high earners and making the wealthy 'pay their fair share.' — best matches stance 1 (significantly raise taxes on wealthy people and large companies to fund more public services)."
