full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Nick LaLota,,abortion,3,"LaLota allows abortion in the first trimester and in cases of rape, incest, or threats to maternal health, but opposes second and third trimester abortions. He views abortion as a state issue under the 10th Amendment and opposes federal funding for abortion services.",https://www.ontheissues.org/NY/Nick_LaLota.htm,https://politicsny.com/2022/10/14/meet-the-candidates-general-election-nick-lalota-congressional-district-1/,,I oppose second and third trimester abortions,I oppose second and third trimester abortions
Nick LaLota,,climate-change,4,"LaLota's LCV lifetime environmental score is 13%, with a 12% score in both 2024 and 2025. He consistently votes against clean energy incentives, renewable energy mandates, and climate regulations, indicating a market-driven approach to energy transition rather than government-mandated policy.",https://www.lcv.org/moc/nick-lalota/,,,,
Nick LaLota,,fossil-fuels,4,"LaLota advocated in 2022 for legislation to make it easier to drill on federal land as part of his American energy independence agenda. His LCV scores (12-14% lifetime) reflect consistent votes expanding fossil fuel production and blocking clean energy regulations, including opposing a Delaware River Basin fracking ban.",https://www.lcv.org/moc/nick-lalota/,https://politicsny.com/2022/10/14/meet-the-candidates-general-election-nick-lalota-congressional-district-1/,,,
Nick LaLota,,same-sex-marriage,2,"LaLota publicly supports same-sex marriage and opposed efforts to repeal the Respect for Marriage Act (2026). He stated that government cannot discriminate based on sexual orientation in the marriage context, aligning with nationwide recognition while acknowledging some organizations' right to decline participation.",https://en.wikipedia.org/wiki/Nick_LaLota,,,"If government is going to be in the marriage business, it cannot discriminate based upon any of the protected classes, including sexual orientation.","If government is going to be in the marriage business, it cannot discriminate based upon any of the protected classes, including sexual orientation."
Nick LaLota,,voting-rights,4,"LaLota supports photo ID requirements for voting and limits on absentee ballots as documented in March 2023 campaign materials. This aligns with requiring photo ID for voting and regularly updating voter rolls, stopping short of eliminating mail-in voting entirely.",https://www.ontheissues.org/NY/Nick_LaLota.htm,,,,
Nick LaLota,,taxes,4,"LaLota voted for the One Big Beautiful Bill (signed July 4, 2025), which extended tax cuts and raised the SALT deduction cap from $10,000 to $40,000. He campaigned as a leading advocate for SALT relief, calling it 'a hard-earned win for Long Island families,' reflecting a clear preference for cutting taxes across income levels rather than raising them.",https://www.longislandpress.com/2025/07/08/salt-deduction-grows/,,,"""Just the SALT provision alone means that a Long Island family earning $250,000 and paying $18,000 in property taxes will get $5,000 more back when they file their 2025 taxes– real relief I fought tooth and nail to deliver.""","""Just the SALT provision alone means that a family earning $250,000 and paying $18,000 in property taxes will get $5,000 more back when they file their 2025 taxes– real relief I fought tooth and nail to deliver."""
Nick LaLota,,immigration,4,"LaLota has stated 'The porous border is the root of many public safety issues' and cosponsored the 2025 DIGNIDAD Act, which pairs a pathway to legal status for undocumented immigrants with stricter border enforcement and mandatory work/restitution requirements. His overall posture prioritizes enforcement and restricts public services for those without legal status.",https://en.wikipedia.org/wiki/Nick_LaLota,https://www.ontheissues.org/NY/Nick_LaLota.htm,,"""The porous border is the root of many public safety issues.""","""The porous border is the root of many public safety issues."""
Nick LaLota,,deportation,3,"LaLota cosponsored the 2025 DIGNIDAD Act, which proposes legal status for up to 12 million undocumented immigrants paired with mandatory work/restitution requirements and stricter border enforcement, rather than mass deportation. This approach focuses enforcement on recent border crossers while providing a pathway for long-term residents.",https://en.wikipedia.org/wiki/Nick_LaLota,,,,
Nick LaLota,,medicare/aid,4,"LaLota voted for the February 2025 budget resolution (H.Con.Res.14) which instructed the House Energy and Commerce Committee to cut $880 billion over 10 years — a committee whose jurisdiction is 93% Medicaid. His claim that the resolution 'protects Social Security, Medicare, and Medicaid' was rated False by PolitiFact, as the resolution contained no protective language for these programs.",https://www.politifact.com/factchecks/list/?speaker=nick-lalota,https://www.politifact.com/personalities/nick-lalota/,,"""On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""","""On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere."""
Nick LaLota,,social-security,3,"LaLota publicly claimed his February 2025 budget vote protected Social Security; PolitiFact rated that claim False because the resolution contained no protective guardrails. He has not proposed privatizing Social Security or dramatically expanding it, suggesting a position of maintaining current programs with fiscal adjustments.",https://www.politifact.com/personalities/nick-lalota/,https://www.politifact.com/factchecks/list/?speaker=nick-lalota,,,
Andrew Garbarino,,abortion,4,"Garbarino voted against allowing late-term abortions in 2019 (NY State Assembly). As a House Republican he has not cosponsored any bill to ban all abortions, and has not called for criminal penalties on patients or providers, placing him at restricting abortion to serious cases rather than a full ban.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,climate-change,4,"Garbarino's LCV lifetime score is 15% and his 2025 score is 9%, voting pro-environment only 3 times out of 32 votes in 2025. He consistently opposes climate legislation and environmental regulations but has not explicitly called for rejecting climate science entirely, fitting the 'let market forces drive' position rather than outright rejection.",https://www.lcv.org/congressional-scorecard/members-of-congress/?state=NY&chamber=house,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,deportation,4,"Garbarino opposes a pathway to citizenship for undocumented immigrants, voted against the NO BAN Act (supporting presidential authority to bar entry from non-cooperating countries), and has emphasized stopping MS-13 gang members from crossing the southern border. He supported the Farm Workforce Modernization Act which provided legal status for agricultural workers, suggesting he prioritizes enforcement for those with criminal records rather than uniform immediate deportation of all.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://www.ontheissues.org/NY/Andrew_Garbarino_Immigration.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,
Andrew Garbarino,,fossil-fuels,4,"Garbarino's LCV lifetime score of 15% and 2025 score of 9% reflect consistent opposition to environmental protection legislation, including clean energy standards and methane regulations. This pattern indicates he favors expanding fossil fuel drilling permits over restricting production, though he has not publicly called for removing all environmental restrictions.",https://www.lcv.org/congressional-scorecard/members-of-congress/?state=NY&chamber=house,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,healthcare,4,"Garbarino supports controlling prescription drug costs and allowing family caretakers of seniors to be paid by Medicaid (Oct 2020), indicating support for targeted assistance for low-income and elderly patients. He opposed the $1.9 trillion COVID relief bill and has not supported universal coverage or a public option, placing him in the 'help only the poorest' position while leaving everyone else to employers and private insurance.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,immigration,4,"Garbarino opposes a pathway to citizenship for undocumented immigrants, voted against the NO BAN Act (upholding presidential authority to restrict entry from non-cooperating countries), and emphasizes border security. He supported the Farm Workforce Modernization Act providing legal status to agricultural workers, suggesting limited exceptions for needed workers while broadly favoring reduced immigration and limiting public services to those with legal status.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://www.ontheissues.org/NY/Andrew_Garbarino_Immigration.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,
Andrew Garbarino,,medicare/aid,3,"Garbarino supports allowing family caretakers of seniors to be paid by Medicaid and supports controlling prescription drug costs, indicating support for improving and preserving current Medicare and Medicaid programs while managing costs. He has not called for expanding Medicare to cover all ages or for privatizing either program.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,religious-freedom,4,"Garbarino cosponsored the Fairness for All Act (2021), a Republican alternative to the Equality Act that would protect LGBTQ+ civil rights while simultaneously providing broad religious liberty protections and exemptions for faith-based organizations. This indicates he prioritizes protecting religious freedom and allowing faith-based exemptions from laws that conflict with sincere religious beliefs.",https://en.wikipedia.org/wiki/Andrew_Garbarino,https://www.ontheissues.org/NY/Andrew_Garbarino.htm,,,
Andrew Garbarino,,same-sex-marriage,2,"Garbarino voted YES on the Respect for Marriage Act (2022), one of 46 Republicans to do so. The Act federally protects same-sex marriage while explicitly allowing religious organizations to decline participation. His co-sponsorship of the Fairness for All Act (2021) further confirms he supports same-sex marriage rights alongside protections for religious organizations.",https://en.wikipedia.org/wiki/Andrew_Garbarino,https://www.ontheissues.org/NY/Andrew_Garbarino.htm,,,
Andrew Garbarino,,social-security,3,"Garbarino has called for being 'honest about fiscal dilemmas facing the fund,' indicating awareness of long-term sustainability concerns without endorsing privatization or dramatic benefit cuts. As a Problem Solvers Caucus member he has favored bipartisan incremental approaches, consistent with making small adjustments to keep Social Security stable rather than major structural changes.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
