full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Eleanor Holmes Norton,abortion,1,"Norton has a long record of advocating for unrestricted abortion access. OnTheIssues documents her positions: 'Ban anti-abortion limitations on abortion services' (Nov 2013), 'Access safe, legal abortion without restrictions' (Jan 2015), 'Protect the reproductive rights of women' (Jan 1993), 'Ensure access to and funding for contraception' (Feb 2007). She was endorsed by EMILY's List of pro-choice women and cosponsored banning anti-abortion limitations. Her documented record of supporting publicly funded abortion access with no restrictions matches value 1: 'ensure abortion is legal, accessible, and publicly funded at all stages of pregnancy.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,https://ballotpedia.org/Eleanor_Holmes_Norton,
Eleanor Holmes Norton,campaign-finance,1,"Norton's documented positions support comprehensive public financing reform. OnTheIssues records: 'Require full disclosure of independent campaign expenditures' (Feb 2012), 'Public financing of federal campaigns by voter vouchers' (Jan 2015), 'Establish My Voice Voucher small campaign contributions' (Feb 2014), 'Corporate political spending is not free speech' (Mar 2013), 'Matching fund for small donors, with debate requirements' (Jan 2013). Her advocacy for public financing of campaigns through voter vouchers and strict limits on corporate political spending matches value 1: 'ban all private money in politics and publicly fund campaigns.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,https://ballotpedia.org/Eleanor_Holmes_Norton,
Eleanor Holmes Norton,childcare,3,"Norton's documented positions show support for targeted childcare assistance. OnTheIssues records 'Tax incentives for child care; eliminate marriage penalty' (Jul 1999) and 'Supported funding child care, child health, & child housing' (Jul 1999). She advocated for tax incentives as the mechanism for childcare support, rather than universal publicly funded childcare. This targeted, means-tested approach matches value 3: 'Offering targeted tax credits and subsidies for families below a set income threshold while supporting providers through training and facility grants.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,,
Eleanor Holmes Norton,civil-rights,2,"Norton has one of the longest and most consistent civil rights records in Congress. OnTheIssues documents: First woman to chair the Equal Employment Opportunity Commission, cosponsored the Equal Rights Amendment removal of deadline, 'Ending racial profiling is part of fight for justice' (Jan 2001), 'Reinforce anti-discrimination and equal-pay requirements' (Jan 2008), 'Sponsored Combating International Islamophobia Act' (Dec 2021), 'Honor the 100th anniversary of the NAACP' (Jan 2009), 'Stronger enforcement against gender-based pay discrimination' (Jan 2013). Her sustained work to strengthen civil rights laws and address systemic discrimination matches value 2: 'strengthen civil rights enforcement and address systemic discrimination.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,https://ballotpedia.org/Eleanor_Holmes_Norton,
Eleanor Holmes Norton,climate-change,2,"Norton explicitly cosponsored the Green New Deal and advocates for aggressive clean energy targets. OnTheIssues records: '50% clean and carbon free electricity by 2030' (Mar 2016), 'Green New Deal: 10-year national mobilization' (Feb 2019), 'Extend through 2016 the renewable energy tax credit' (Nov 2011), 'Preserve Alaska's ANWR instead of drilling it' (Feb 2001). Her support for the Green New Deal (10-year national mobilization) and 50% carbon-free electricity by 2030 is consistent with value 2: 'rapidly transition to renewable energy and phase out fossil fuels by 2030.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,https://ballotpedia.org/Eleanor_Holmes_Norton,
Eleanor Holmes Norton,deportation,2,"Norton's immigration record shows a strong protective stance toward those facing deportation. OnTheIssues documents: 'Protect LGBT families from illegal immigrant deportation' (Sep 2011), 'Provide lawyers and evidence for children being deported' (Feb 2016), 'Sponsored bill to disallow religion-based immigration ban' (Apr 2021). She has consistently advocated for protecting vulnerable populations from deportation and ensuring due process rights for those facing removal. Her record of defending people from deportation except in serious cases matches value 2: 'Only deport people convicted of serious violent crimes.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,,
Eleanor Holmes Norton,fossil-fuels,2,"Norton has consistently opposed new fossil fuel extraction. OnTheIssues records: 'Preserve Alaska's ANWR instead of drilling it' (Feb 2001). Her opposition to drilling in protected areas and her support for the Green New Deal and renewable energy transition align with stopping new fossil fuel permits. This matches value 2: 'stop issuing new permits for fossil fuel drilling.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,,
Eleanor Holmes Norton,healthcare,1,"Norton has consistently advocated for government-provided universal healthcare. OnTheIssues records: 'Make health care a right, not a privilege' (Nov 1999), 'MEDS Plan: Cover senior Rx under Medicare' (Jan 2001), 'Expand the National Health Service Corps' (Mar 2009), 'More funding for Rx benefits, community health, CHIPs' (Jan 2001), 'Increase funding for occupational & physical therapy' (Apr 2011). Her framing of healthcare as a right that government must ensure for all citizens, combined with support for Medicare expansion and National Health Service Corps expansion, matches value 1: 'Make healthcare free and available to everyone, paid for and run by the public sector.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,https://ballotpedia.org/Eleanor_Holmes_Norton,
Eleanor Holmes Norton,immigration,1,"Norton has an extensive record supporting expanded immigration and immigrant rights. OnTheIssues documents: 'Allow more visas for STEM college graduates' (Sep 2012), 'Protect LGBT families from illegal immigrant deportation' (Sep 2011), 'Provide lawyers and evidence for children being deported' (Feb 2016), 'Sponsored bill to disallow religion-based immigration ban' (Apr 2021). Her record of defending immigrants' rights to legal services, protection from deportation, and access to public services regardless of status matches value 1: 'Make it easier for immigrants to come here legally, and let all immigrants — including undocumented residents — fully use public services.'",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,,
Eleanor Holmes Norton,medicare/aid,2,"Norton's record shows advocacy for expanding Medicare and Medicaid. OnTheIssues documents: 'MEDS Plan: Cover senior Rx under Medicare' (Jan 2001), 'More funding for Rx benefits, community health, CHIPs' (Jan 2001), sponsored merging Alzheimer's diagnosis and care under Medicare (Apr 2013). She has advocated for expanding Medicare coverage to include prescription drugs and expanding Medicaid programs, aligning with value 2: 'lower Medicare age to 55 and expand Medicaid significantly.' While she hasn't specifically called for Medicare for All, her sustained advocacy for Medicare expansion positions her at value 2.",https://www.ontheissues.org/House/Eleanor_Holmes_Norton.htm,,
