external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-47008,David Kustoff,abortion,5,"OnTheIssues documents Kustoff stating 'Life begins at conception' with no exceptions for any circumstances, and he has backed including pre-born human beings in 14th Amendment protections and sponsored legislation protecting infant survivors of abortion. This absolute no-exceptions framing aligns with stance 5 (complete ban with criminal penalties for providers).",https://www.ontheissues.org/House/David_Kustoff.htm,https://en.wikipedia.org/wiki/David_Kustoff,,Life begins at conception,Life begins at conception
-47008,David Kustoff,same-sex-marriage,5,"Wikipedia documents Kustoff voted against the Respect for Marriage Act in December 2022, which required states to recognize same-sex marriages. OnTheIssues also records his stated position that 'Marriage is between a man and a woman,' consistent with stance 5.",https://en.wikipedia.org/wiki/David_Kustoff,https://www.ontheissues.org/House/David_Kustoff.htm,,"Marriage is between a man and a woman.","Marriage is between a man and a woman."
-47008,David Kustoff,healthcare,4,"OnTheIssues records Kustoff as seeking to dismantle the ACA and supporting Congressional repeal of ObamaCare. He voted for the American Health Care Act (AHCA) in 2017, which would have rolled back Medicaid expansion and ended the individual mandate while retaining some assistance programs for the poorest. This aligns with stance 4 (only help the poorest, leave everyone else to employers and private insurance).",https://www.ontheissues.org/House/David_Kustoff.htm,https://en.wikipedia.org/wiki/David_Kustoff,,"our current health care system is failing Tennesseans","our current health care system is failing Tennesseans"
-47008,David Kustoff,climate-change,5,"The League of Conservation Voters records Kustoff's lifetime environmental score at 4% and a 0% score in both 2023 and 2025, meaning he voted against virtually every tracked environmental and climate protection measure. The LCV notes he voted against clean energy research, cost-saving efficiency standards, and federal environmental authority. This pattern of rejecting all climate action aligns with stance 5.",https://www.lcv.org/congressional-scorecard/moc/david-kustoff,https://en.wikipedia.org/wiki/David_Kustoff,,,
-47008,David Kustoff,fossil-fuels,4,"The LCV's 0–4% lifetime score documents consistent opposition to restrictions on fossil fuel production, including votes against methane pollution controls, water efficiency standards, and endangered species protections tied to drilling. This consistent anti-regulation voting record supports stance 4 (expand fossil fuel drilling permits), though no specific drilling expansion bill sponsorship was located.",https://www.lcv.org/congressional-scorecard/moc/david-kustoff,https://www.ontheissues.org/House/David_Kustoff.htm,,,
-47008,David Kustoff,immigration,4,"OnTheIssues records Kustoff's positions as 'Secure the border & enforce laws already on the books,' supporting border wall construction, opposing Syrian refugee resettlement, and supporting bans from non-cooperating countries — all consistent with stance 4 (make it harder to immigrate legally and limit public services to people with legal status).",https://www.ontheissues.org/House/David_Kustoff.htm,https://en.wikipedia.org/wiki/David_Kustoff,,"Secure the border & enforce laws already on the books","Secure the border & enforce laws already on the books"
-47008,David Kustoff,deportation,4,"OnTheIssues documents Kustoff supporting enforcement of existing immigration laws and border security measures. His positions align with removing people without legal status — particularly those with criminal records — consistent with stance 4 (deport everyone without legal status, starting with those who have criminal records).",https://www.ontheissues.org/House/David_Kustoff.htm,,,,
-47008,David Kustoff,taxes,4,"OnTheIssues records Kustoff as opposing tax-and-spend policies and supporting lowering corporate taxes from 35% to 21% and reducing corporate tax rates generally. He also backed the $900B COVID relief package but opposed the larger $1.9T ARPA bill. This pattern of broad tax cuts while scaling back government spending aligns with stance 4 (cut taxes for everyone and scale back public services to match).",https://www.ontheissues.org/House/David_Kustoff.htm,,,,
-47008,David Kustoff,medicare/aid,4,"Kustoff voted for the AHCA in 2017, which would have significantly reduced Medicaid coverage and introduced market-based reforms to Medicare. He serves on the House Ways and Means Health subcommittee and has consistently supported ACA repeal, which included Medicaid expansion rollbacks. This aligns with stance 4 (partially privatize Medicare and reduce Medicaid coverage).",https://en.wikipedia.org/wiki/David_Kustoff,https://www.ontheissues.org/House/David_Kustoff.htm,,,
-47008,David Kustoff,civil-rights,5,"OnTheIssues records Kustoff as opposing the Equality Act (which would have extended Civil Rights Act protections to sexual orientation and gender identity), voting against private lawsuits for school race discrimination, and opposing race-based programs. This consistent pattern of limiting civil rights enforcement and opposing race-based programs aligns with stance 5 (eliminate affirmative action and all race-based government programs).",https://www.ontheissues.org/House/David_Kustoff.htm,https://en.wikipedia.org/wiki/David_Kustoff,,,
-47008,David Kustoff,religious-freedom,4,"OnTheIssues records Kustoff as supporting 'religious liberty and Judeo-Christian framework' and supporting protections for religious organizations. His vote against the Equality Act — which critics said would override religious exemptions — further reflects this stance. This aligns with stance 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs).",https://www.ontheissues.org/House/David_Kustoff.htm,https://en.wikipedia.org/wiki/David_Kustoff,,,
-47008,David Kustoff,voting-rights,4,"OnTheIssues records Kustoff as opposing expanded voter registration and voter access. He signed an amicus brief in December 2020 supporting Texas v. Pennsylvania, contesting the 2020 presidential election results in four states. This positions him at stance 4 (require photo ID for voting and regularly update voter rolls to remove inactive registrations).",https://www.ontheissues.org/House/David_Kustoff.htm,https://en.wikipedia.org/wiki/David_Kustoff,,,
-47008,David Kustoff,tariffs,3,"OnTheIssues records Kustoff as favoring free trade and specifically notes his support for USMCA implementation. USMCA maintains selective tariffs to protect certain North American industries while generally reducing barriers, consistent with stance 3 (use tariffs selectively to protect key American industries and jobs).",https://www.ontheissues.org/House/David_Kustoff.htm,,,,
