external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-400201,Brandon Wade,immigration,2,"Policies page calls for streamlining naturalization, expanding immigration judges, and letting applicants work while cases are pending, alongside increased border agents and surveillance investment -- a reform-oriented approach that keeps legal immigration open rather than restricting it.",https://brandon4congress.com/policies/,https://brandon4congress.com/ok-cd2-issues/,,"The United States immigration system is in need of significant reform.","The United States immigration system is in need of significant reform."
-400201,Brandon Wade,abortion,2,"Policies page calls to ""codify Roe v. Wade"" into federal law and prevent state restrictions on emergency medical treatment, matching the Roe standard of legal abortion through roughly the second trimester with exceptions after viability.",https://brandon4congress.com/policies/,,,"Women's rights must be protected and restored.","Women's rights must be protected and restored."
-400201,Brandon Wade,school-vouchers,1,"Education plank calls for directing ""federal and state funds to public schools (not private institutions)"" and holding officials accountable, opposing diversion of public money to private schools.",https://brandon4congress.com/policies/,,,"A strong system of public education is essential to the future of our children.","A strong system of public education is essential to the future of our children."
-400201,Brandon Wade,social-security,1,"Policies page calls for ""eliminating the payroll tax cap,"" increasing monthly benefits, and exploring lower retirement ages, matching expanded benefits funded by removing the income cap.",https://brandon4congress.com/policies/,,,"Social Security and Medicare are earned benefits that working Americans have paid into their entire lives.","Social Security and Medicare are earned benefits that working Americans have paid into their entire lives."
-400201,Brandon Wade,medicare/aid,2,"Same plank pledges to protect ""Medicare from cuts or benefit reductions"" while his healthcare plank explicitly explores ""Medicare for All"" as an option, consistent with significant Medicaid/Medicare expansion short of a firm universal commitment.",https://brandon4congress.com/policies/,,,"Social Security and Medicare are earned benefits that working Americans have paid into their entire lives.",
-400201,Brandon Wade,healthcare,2,"Healthcare plank says coverage ""must decouple from employment"" and explores ""Medicare for All, regulated insurance with capped premiums, or hybrid models through bipartisan collaboration,"" consistent with a mix of public programs and regulated private insurance rather than a firm single-payer commitment.",https://brandon4congress.com/policies/,,,"Access to affordable healthcare is a fundamental right, not a privilege.","Access to affordable healthcare is a fundamental right, not a privilege."
-400201,Brandon Wade,taxes,2,"Economy plank proposes raising the corporate tax rate from 21% to as high as 28% and imposing higher taxes on companies that outsource jobs, a moderate corporate tax increase rather than a broad wealth-tax or tax-cut platform.",https://brandon4congress.com/policies/,,,"A strong economy must be built from the working class up.","A strong economy must be built from the working class up."
-400201,Brandon Wade,tariffs,2,"Economy plank proposes ""replacing tariffs with accountability measures"" such as taxing companies that outsource jobs, favoring reducing reliance on tariffs in favor of other enforcement tools.",https://brandon4congress.com/policies/,,,,
-400201,Brandon Wade,civil-rights,2,"Equality plank commits to ""defending LGBTQ+ rights (healthcare, marriage, military service)"" and ""standing against discrimination based on race, sex, religion, or nationality,"" consistent with strengthening civil rights enforcement.",https://brandon4congress.com/policies/,,,"Equality under the law is the foundation of our democracy.","Equality under the law is the foundation of our democracy."
-400201,Brandon Wade,same-sex-marriage,1,"Same equality plank explicitly lists defending marriage rights among LGBTQ+ protections without proposing new religious-exemption carve-outs, consistent with full federal recognition and protection.",https://brandon4congress.com/policies/,,,,
