external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-20004,Ron Estes,abortion,5,"Estes identifies as 'proudly pro-life', sponsored legislation protecting infant survivors of abortion, and backed defunding Planned Parenthood. His stated campaign position was to 'lead the fight to protect the unborn', reflecting near-total opposition to abortion access.",https://en.wikipedia.org/wiki/Ron_Estes,https://www.ontheissues.org/House/Ron_Estes.htm,,"Lead the fight to protect the unborn.","Lead the fight to protect the unborn."
-20004,Ron Estes,healthcare,4,"Estes stated 'ObamaCare must be repealed' and opposed the ACA across multiple votes, favoring private-market coverage. He supports keeping Medicare and Medicaid for the poorest but opposes any expansion of government-run coverage, aligning with providing care only to those who cannot afford it while leaving everyone else to employers and private insurance.",https://en.wikipedia.org/wiki/Ron_Estes,https://www.ontheissues.org/House/Ron_Estes.htm,,"""ObamaCare must be repealed.""","ObamaCare must be repealed."
-20004,Ron Estes,taxes,5,"Estes voted for the 2017 Tax Cuts and Jobs Act and advocates for a simplified and flatter tax code. He opposes wealth-based tax increases and supports reducing both corporate rates (from 35% to 21%) and personal income tax rates, reflecting a position of drastically cutting taxes and shrinking government.",https://en.wikipedia.org/wiki/Ron_Estes,https://www.ontheissues.org/House/Ron_Estes.htm,,,
-20004,Ron Estes,immigration,4,"Estes prioritizes Southern border security, supports the border wall, and opposes citizenship pathways for undocumented immigrants. He supports increasing high-skill and family visas but restricts public services to those with legal status, aligning with making legal immigration harder and limiting services for those without legal status.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,deportation,4,"Estes opposes citizenship pathways for undocumented immigrants and prioritizes border enforcement and removal. His positions support removing those without legal status starting with criminal records, stopping short of immediate mass removal regardless of family ties.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,fossil-fuels,4,"Estes opposes greenhouse gas regulation and EPA regulatory overreach in energy policy. He supports expanding fossil fuel production by reducing regulatory barriers, consistent with expanding drilling permits.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,climate-change,5,"Estes opposes greenhouse gas regulation and EPA regulatory overreach on carbon emissions. He voted against climate-related policies and renewable energy assistance programs, reflecting a position that rejects climate change policies in favor of economic growth.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,civil-rights,4,"Estes voted against expanding the Equal Rights Amendment deadline and opposes expanding federal civil rights enforcement beyond clear cases of documented discrimination. He backs limiting new civil rights protections and civil society accountability measures.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,religious-freedom,5,"Estes voted against legislation requiring private schools to be subject to anti-discrimination lawsuits and consistently opposes government interference in religious organizations' hiring and operational decisions. His social conservatism pattern aligns with maximum religious autonomy for organizations.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,school-vouchers,5,"Estes opposes government control of education and voted against legislation that would subject private and religious schools to discrimination lawsuits. His positions reflect support for education funding following the student to any school of choice, consistent with universal school vouchers.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,voting-rights,4,"Estes joined 126 House Republicans in signing an amicus brief supporting the Texas v. Pennsylvania lawsuit challenging the 2020 election results, and opposes same-day voter registration. He supports photo ID requirements and regular voter roll maintenance.",https://en.wikipedia.org/wiki/Ron_Estes,https://www.ontheissues.org/House/Ron_Estes.htm,,,
-20004,Ron Estes,tariffs,3,"Estes supported USMCA implementation (Dec 2019), indicating he favors managed trade agreements over unilateral high tariffs or pure free trade. No evidence of support for broad tariffs on all imports; his trade position reflects selective protection aligned with North American industry.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
-20004,Ron Estes,campaign-finance,4,"Estes voted against corporate transparency measures and opposes expanding government regulation of political spending and disclosure. His positions align with reducing restrictions on political donations and spending.",https://www.ontheissues.org/House/Ron_Estes.htm,,,,
