external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-510601,Beth Macy,healthcare,2,"Macy's priorities page explicitly states she will 'fight for universal healthcare coverage including Medicare for All' and frames healthcare as 'a human right.' She supports protecting ACA subsidies and Medicaid expansion, and opposes cuts that would drop 350,000 Virginians from Medicaid. The framing — protecting both ACA and Medicare for All as options — aligns with a mix of public programs and regulated private insurance rather than a single-payer-only mandate.",https://bethmacyforcongress.com/priorities,https://cardinalnews.org/2025/11/18/beth-macy-makes-her-run-for-congress-official/,https://bethmacy.substack.com/p/dressing-shacky-and-making-the-tent,"I will fight for universal healthcare coverage including Medicare for All","I will fight for universal healthcare coverage including Medicare for All"
-510601,Beth Macy,medicare/aid,2,"Macy's campaign platform centers on protecting Medicaid expansion and ACA subsidies. Her priorities page warns that 350,000 Virginians will lose Medicaid under the 'Big Ugly Bill.' She opposes all efforts to privatize Medicare and supports Medicaid as essential for rural health and addiction treatment. This aligns with lowering Medicare eligibility and significantly expanding Medicaid.",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/the-art-of-the-no-show,https://bethmacy.substack.com/p/they-say-god-can-fix-everything,,
-510601,Beth Macy,social-security,2,"Macy's priorities page states 'Congress should raise the cap on Social Security taxes so the wealthy pay their fair share' and calls for stopping 'ongoing attempts to privatize' Social Security. This aligns with modestly increasing benefits while raising taxes on higher earners.",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/dressing-shacky-and-making-the-tent,,"Congress should raise the cap on Social Security taxes so the wealthy pay their fair share","Congress should raise the cap on Social Security taxes so the wealthy pay their fair share"
-510601,Beth Macy,taxes,2,"Macy's platform calls for 'fairly taxing capital gains' as the 'primary vehicle for increasing wealth,' and repeatedly frames her campaign around making 'billionaires pay their fair share.' She criticizes extending 'tax cuts to his billionaire friends.' This is a moderate tax-the-wealthy position — raise taxes on high earners and capital gains — without proposing dramatically higher rates across all income levels.",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/ladies-weve-got-shit-to-do,,,,
-510601,Beth Macy,immigration,2,"Macy's priorities page calls for 'restore/preserve legal pathways for permanent legal status and/or citizenship,' emphasizes immigrants' essential role in the workforce, and opposes deportations of law-abiding immigrants. She supports most residents — including undocumented — being able to participate in the economy and access services, which aligns with keeping legal immigration open and letting most residents use services.",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/dressing-shacky-and-making-the-tent,https://bethmacy.substack.com/p/theyre-persecuting-people-of-color,"America must restore/preserve legal pathways for permanent legal status and/or citizenship","America must restore/preserve legal pathways for permanent legal status and/or citizenship"
-510601,Beth Macy,deportation,2,"Macy explicitly opposes deportation of law-abiding immigrants, stating 'there are 11 million undocumented immigrants in the United States, the large majority of whom are law-abiding.' She calls current enforcement 'cruelly kidnapping people' and says 'we need to dismantle' ICE's current practice of 'lawlessly ripping people out of their homes.' She supports only deporting serious criminals implicitly.",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/theyre-persecuting-people-of-color,https://bethmacy.substack.com/p/dressing-shacky-and-making-the-tent,"We need to dismantle it. We should get rid of masked agents lawlessly ripping people out of their homes and create legal pathways for citizenship.","We need to dismantle it. We should get rid of masked agents lawlessly ripping people out of their homes and create legal pathways for citizenship."
-510601,Beth Macy,housing,3,"Macy's platform calls for 'incentives for zoning reform' to increase affordable housing, opposing 'illegal cuts to Continuum of Care program funding,' and supporting federal housing grants. This is targeted assistance — subsidies, zoning incentives, protecting existing programs — not rent caps or large-scale public construction, which aligns with value=3 (targeted help like subsidies and easier permits).",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/the-matter-isnt-finished,,"Congress should create incentives for state and local governments to enact reforms that pave the way for more affordable housing, including zoning reform.","Congress should create incentives for state and local governments to enact reforms that pave the way for more affordable housing, including zoning reform."
-510601,Beth Macy,tariffs,2,"Macy's campaign priorities page explicitly calls to 'end tariffs, which are really a tax on purchased items' and to 'end Trump's ruinous trade wars so that farmers can sell.' While she does not advocate for completely eliminating all tariffs on principle, her stated position is to reduce/end the current tariff regime and protect free trade, aligning with value=2.",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/dressing-shacky-and-making-the-tent,,"Congress should end tariffs, which are really a tax on purchased items","Congress should end tariffs, which are really a tax on purchased items"
-510601,Beth Macy,campaign-finance,2,"Macy explicitly rejects all corporate PAC donations and funds her campaign through small-dollar grassroots giving. Her priorities page endorses a 'bipartisan Stock Trading Ban' as supported by 90 percent of Americans. This aligns with strictly limiting corporate donations and dark money groups.",https://bethmacyforcongress.com/priorities,https://cardinalnews.org/2025/11/18/beth-macy-makes-her-run-for-congress-official/,,,,
-510601,Beth Macy,childcare,2,"Macy's platform explicitly criticizes the refusal to 'fund universal childcare' alongside overseas military spending: 'How do we justify continuing to send taxpayer dollars to fund a war overseas when we're cutting ACA subsidies and refusing to fund universal childcare?' She also notes 40,000 immigrant childcare workers have been deported, highlighting the sector's critical importance. This indicates strong support for expanded childcare subsidies.",https://bethmacyforcongress.com/priorities,https://bethmacy.substack.com/p/dressing-shacky-and-making-the-tent,,"How do we justify continuing to send taxpayer dollars to fund a war overseas when we're cutting ACA subsidies and refusing to fund universal childcare?","How do we justify continuing to send taxpayer dollars to fund a war overseas when we're cutting ACA subsidies and refusing to fund universal childcare?"
