cd,geo_id,full_name,party_from_field,decision,assign_external_id,is_incumbent,severity,election,source
1,4701,"Diana Harshbarger",R,REUSE,-47001,true,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
1,4701,"Kristi Burke",D,NEW,-470101,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
1,4701,"Hernan H. Garcia",D,NEW,-470102,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
1,4701,"David S. Kerr, Jr.",D,NEW,-470103,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
1,4701,"Joshua Ray Ashburn",IND,NEW,-470104,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
1,4701,"Richard G. Baker",IND,NEW,-470105,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
1,4701,"Chris Campbell",IND,NEW,-470106,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
1,4701,"Billy Cody",IND,NEW,-470107,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
1,4701,"Tyler Brice Mitchell McClain",IND,NEW,-470108,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
2,4702,"Tim Burchett",R,REUSE,-47002,true,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
2,4702,"Michaela Barnett",D,NEW,-470201,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
2,4702,"Bruce Fine",IND,NEW,-470202,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
2,4702,"Adam Heimerman",IND,NEW,-470203,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
3,4703,"Charles J. ""Chuck"" Fleischmann",R,REUSE,-47003,true,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
3,4703,"Anna Golladay",D,NEW,-470301,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
