full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Mario Diaz-Balart,,healthcare,4,"Voted to repeal the ACA (2017 American Health Care Act), opposed SCHIP eligibility expansions (2007, 2008), and voted against Medicare drug price negotiation (2007). Rated 0% by the American Public Health Association. His record shows support for targeted assistance to the poorest while leaving broader coverage to private insurance.",https://www.ontheissues.org/FL/Mario_Diaz-Balart_Health_Care.htm,https://en.wikipedia.org/wiki/Mario_Diaz-Balart,https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,,
Mario Diaz-Balart,,abortion,4,"Rated 0% by NARAL and 100% by National Right to Life Committee. Voted for 20-week federal abortion ban with an exception only for maternal life (2015), and sponsored legislation to protect infant survivors of abortion (2019). His positions align with restricting abortion to cases of life endangerment and similar narrow exceptions.",https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,https://en.wikipedia.org/wiki/Mario_Diaz-Balart,,,,
Mario Diaz-Balart,,tariffs,3,"Consistent supporter of bilateral and multilateral free trade agreements (CAFTA 2005, Peru 2007, Singapore/Chile 2003, USMCA 2019), reflecting selective use of trade frameworks to protect American commercial interests rather than either pure free trade or broad protectionism. Rated 75% by USA*Engage for trade engagement. Does not advocate blanket high tariffs or full elimination of all trade rules.",https://www.ontheissues.org/FL/Mario_Diaz-Balart_Free_Trade.htm,https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,,"Implement USMCA for improved North American trade","Implement USMCA for improved North American trade"
Mario Diaz-Balart,,taxes,4,"Signed the Taxpayer Protection Pledge opposing any new taxes; voted for the 2017 Tax Cuts and Jobs Act reducing corporate rates from 35% to 21%; voted for estate tax repeal (2013, 2015). Rated 0% by Citizens for Tax Justice. His record consistently favors across-the-board tax cuts but stops short of a drastic flat-tax restructuring.",https://www.ontheissues.org/FL/Mario_Diaz-Balart_Tax_Reform.htm,https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,,,,
Mario Diaz-Balart,,same-sex-marriage,4,"Voted NO on the constitutional amendment defining marriage as one man-one woman (2006), and holds a 63% HRC rating, indicating he opposes a federal ban. However, Wikipedia and OnTheIssues note he opposes same-sex marriage as a policy matter and voted against the 2021 Equality Act citing concerns about religious liberty, placing him closer to recognizing civil unions while reserving the marriage label.",https://www.ontheissues.org/FL/Mario_Diaz-Balart_Civil_Rights.htm,https://en.wikipedia.org/wiki/Mario_Diaz-Balart,https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,,
Mario Diaz-Balart,,religious-freedom,4,"Rated 100% by the Christian Coalition. Voted against the 2021 Equality Act citing concerns about religious freedom protections, after previously supporting the 2019 version. Co-sponsored legislation protecting Pledge of Allegiance. His record shows consistent support for faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,https://en.wikipedia.org/wiki/Mario_Diaz-Balart,,,
Mario Diaz-Balart,,medicare/aid,4,"Voted YES on the Ryan Budget (2011), which restructured Medicare into a choice/premium-support model — a form of partial privatization. Voted NO on Medicare drug price negotiation. Rated 0% by the Alliance for Retired Americans (2003) and 13% (2014), indicating consistent support for market-based Medicare reform over preserving the current fee-for-service structure.",https://www.ontheissues.org/FL/Mario_Diaz-Balart_Health_Care.htm,https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,https://en.wikipedia.org/wiki/Mario_Diaz-Balart,,
Mario Diaz-Balart,,fossil-fuels,4,"Supported offshore drilling in OCS and Eastern Gulf, co-sponsored legislation blocking expanded Clean Water Act jurisdiction, and voted YES on barring EPA from regulating greenhouse gases. Rated 10% by the League of Conservation Voters. He favors expanding fossil fuel permits and removing regulatory constraints, though he has not explicitly called for removing all environmental restrictions.",https://www.ontheissues.org/FL/Mario_Diaz-Balart_Environment.htm,https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,,"Drill for oil & gas in offshore OCS & Eastern Gulf","Drill for oil & gas in offshore OCS & Eastern Gulf"
Mario Diaz-Balart,,voting-rights,4,"Voted YES on requiring government-issued photo ID for federal elections (2006); voted NO on the For the People Act (2019, 2021), which would have expanded automatic voter registration, same-day registration, early voting, and a federal voting holiday. Opposed DC statehood and DC House voting representation. His record supports photo ID and regular voter roll maintenance.",https://www.ontheissues.org/FL/Mario_Diaz-Balart_Government_Reform.htm,https://www.ontheissues.org/FL/Mario_Diaz-Balart.htm,,,,
Mario Diaz-Balart,,deportation,3,"Cosponsored the DIGNIDAD Act (2026) providing pathways to legal status for up to 12 million undocumented immigrants alongside stricter border enforcement — placing him in the camp of prioritizing deportation of recent arrivals while offering relief to long-term residents. He also supported DREAM Act military service pathways (2016) and the McCain-Kennedy comprehensive reform bill. His record is not mass-deportation; it focuses on recent crossers and criminals first.",https://en.wikipedia.org/wiki/Mario_Diaz-Balart,https://www.ontheissues.org/FL/Mario_Diaz-Balart_Immigration.htm,,"nothing would divert my focus to stop the deportation of these innocent people","nothing would divert my focus to stop the deportation of these innocent people"
