external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-3900004,Frank LaRose,abortion,4,"LaRose sponsored 2017 Ohio legislation banning abortion after a fetal Down syndrome diagnosis and led the August 2023 Issue 1 campaign explicitly to block a pro-abortion constitutional amendment, privately acknowledging it was ""100% about keeping a radical pro-abortion amendment out of our constitution."" Endorsed by Ohio Right to Life for his 2024 Senate run. No evidence of supporting a complete ban with criminal penalties against patients.",https://en.wikipedia.org/wiki/Frank_LaRose,https://www.ontheissues.org/Senate/Frank_LaRose.htm,,"""100% about keeping a radical pro-abortion amendment out of our constitution.""","At a political dinner, stated the ballot measure was ""100% about keeping a radical pro-abortion amendment out of our constitution."""
-3900004,Frank LaRose,campaign-finance,3,"LaRose authored legislation requiring electronic campaign finance filing for local candidates, signed into law in 2019 as a transparency and disclosure measure. This reflects support for disclosure requirements without banning private money or eliminating contribution limits.",https://en.wikipedia.org/wiki/Frank_LaRose,https://ballotpedia.org/Frank_LaRose,,,
-3900004,Frank LaRose,civil-rights,5,"LaRose stated ""Disagree with Critical Race Theory (CRT)"" (Mar 2024) and opposed taxpayer funding for gender transition services. His 2024 Senate campaign platform opposed race-based and equity-mandate programs. He introduced an LGBTQ non-discrimination bill in 2016 as state senator, but his 2024 campaign positions align with eliminating affirmative action and race-based programs.",https://www.ontheissues.org/Senate/Frank_LaRose.htm,https://en.wikipedia.org/wiki/Frank_LaRose,,"""Disagree with Critical Race Theory (CRT).""","""Disagree with Critical Race Theory (CRT)."""
-3900004,Frank LaRose,climate-change,5,"LaRose stated ""No ESG: don't invest based on environment"" (Mar 2024) and argued that ""wind and solar are not economically viable without subsidies."" He campaigned on opposing green energy prioritization and ending restrictions on oil/gas leasing and pipeline construction, reflecting rejection of climate-driven energy policy.",https://www.ontheissues.org/Senate/Frank_LaRose.htm,,,"""Wind and solar are not economically viable without subsidies.""","""Wind and solar are not economically viable without subsidies."""
-3900004,Frank LaRose,deportation,4,"As Ohio SoS LaRose referred 1,000+ alleged non-citizen voter registrations to the DOJ (2025) and endorsed proof-of-citizenship requirements. His 2024 Senate campaign described the southern border as an ""invasion,"" signaling support for aggressive enforcement against all undocumented people. No specific statement found endorsing immediate mass deportation regardless of family ties, supporting value=4 over 5.",https://www.ontheissues.org/Senate/Frank_LaRose.htm,https://en.wikipedia.org/wiki/Frank_LaRose,,,
-3900004,Frank LaRose,fossil-fuels,5,"LaRose called for ending ""restrictions on oil/gas leasing, pipeline construction"" (Jul 2023) and argued that renewable energy is ""not economically viable without subsidies."" His 2024 Senate campaign platform opposed ESG investment criteria and supported maximizing domestic fossil fuel extraction.",https://www.ontheissues.org/Senate/Frank_LaRose.htm,,,"End restrictions on oil/gas leasing, pipeline construction.","End restrictions on oil/gas leasing, pipeline construction."
-3900004,Frank LaRose,healthcare,4,"LaRose stated ""No vaccine requirements; don't expand beyond Medicare"" (Mar 2024), reflecting opposition to expanded government health coverage. He did not advocate for full privatization or eliminating Medicare/Medicaid, but opposed any expansion of government's role, aligning with providing only limited assistance to those who cannot afford care.",https://www.ontheissues.org/Senate/Frank_LaRose.htm,,,"""No vaccine requirements; don't expand beyond Medicare.""","""No vaccine requirements; don't expand beyond Medicare."""
-3900004,Frank LaRose,immigration,5,"LaRose described the southern border as ""an invasion"" (Mar 2024) and as SoS referred 1,000+ alleged non-citizen registrations to the DOJ and endorsed proof-of-citizenship voting requirements. His campaign opposed pathways to citizenship and emphasized enforcement, aligning with stopping most legal immigration and blocking public services for those without legal status.",https://www.ontheissues.org/Senate/Frank_LaRose.htm,https://en.wikipedia.org/wiki/Frank_LaRose,,"""I saw firsthand the invasion at our southern border.""","""I saw firsthand the invasion at our southern border."""
-3900004,Frank LaRose,misinformation,4,"As Ohio SoS in 2020 LaRose publicly criticized election fearmongering, calling it ""irresponsible to fearmonger about elections administration. Doesn't matter who you are."" His framing placed responsibility on individual speakers, not on platforms or government content regulation — consistent with protecting free speech online and opposing government-mandated content moderation.",https://www.ideastream.org/news/government-politics/2020-02-10/frank-larose-warns-against-spreading-election-misinformation,,,"""It is irresponsible to fearmonger about elections administration. Doesn't matter who you are.""","""It is irresponsible to fearmonger about elections administration. Doesn't matter who you are."""
-3900004,Frank LaRose,redistricting,4,"As an Ohio state senator in 2017 LaRose pushed redistricting reform. However as Secretary of State he defended Ohio's congressional districts against gerrymandering challenges (2019) and authored ballot summary language for a redistricting reform measure that critics called ""deceitful"" (2024), effectively using his office to undermine an independent-commission reform effort. His actions as SoS indicate support for legislature-controlled redistricting with court oversight.",https://en.wikipedia.org/wiki/Frank_LaRose,https://ballotpedia.org/Frank_LaRose,,,
