external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-9003,Rosa DeLauro,abortion,1,"DeLauro has a 100% NARAL rating and actively opposed the Hyde Amendment as chair of the Labor-HHS Appropriations Subcommittee, arguing it discriminates against low-income women. She voted against the Child Interstate Abortion Notification Act (2006) and opposed the Stupak-Pitts Amendment that would have restricted abortion funding in the ACA, placing her squarely in favor of legal, accessible, and publicly funded abortion access.",https://www.ontheissues.org/House/Rosa_DeLauro.htm,https://en.wikipedia.org/wiki/Rosa_DeLauro,,"""Access safe, legal abortion without restrictions""","Access safe, legal abortion without restrictions"
-9003,Rosa DeLauro,healthcare,2,"DeLauro co-sponsored the Public Option Deficit Reduction Act to establish a public insurance option through healthcare exchanges and backed a Medicare buy-in option for individuals aged 55+, emphasizing 'health care as a right, not a privilege.' Her record shows support for expanding coverage through a mix of public programs and regulated private insurance rather than full single-payer.",https://www.ontheissues.org/House/Rosa_DeLauro_Health_Care.htm,https://www.ontheissues.org/House/Rosa_DeLauro.htm,,"Make health care a right, not a privilege","Make health care a right, not a privilege"
-9003,Rosa DeLauro,tariffs,3,"DeLauro has voted against most major free trade agreements (CAFTA, Peru FTA, China PNTR) citing worker-rights and labor standards concerns, while supporting currency-manipulation tariffs against countries like China. She voted for the USMCA in 2019. Her record reflects selective tariff use to protect American workers rather than blanket protectionism or free trade.",https://www.ontheissues.org/House/Rosa_DeLauro_Free_Trade.htm,https://www.ontheissues.org/House/Rosa_DeLauro.htm,,"""Impose tariffs against countries which manipulate currency""","Impose tariffs against countries which manipulate currency"
-9003,Rosa DeLauro,taxes,1,"DeLauro received a 100% rating from Citizens for Tax Justice for progressive taxation positions. She has consistently opposed Bush-era tax cuts, opposed reductions in capital gains taxes and estate taxes, and supports significantly raising taxes on wealthy individuals and large corporations to fund public services.",https://www.ontheissues.org/House/Rosa_DeLauro.htm,https://www.ontheissues.org/House/Rosa_DeLauro_Corporations.htm,,,
-9003,Rosa DeLauro,same-sex-marriage,1,"DeLauro voted NO on constitutional amendments banning same-sex marriage in 2004 and 2006, and signed the Respect for Marriage Act requiring federal recognition of same-sex marriages. She has a 100% rating from the Human Rights Campaign and supports full federal benefits and protections for same-sex couples in all states.",https://www.ontheissues.org/House/Rosa_DeLauro_Civil_Rights.htm,https://www.ontheissues.org/House/Rosa_DeLauro.htm,,,
-9003,Rosa DeLauro,medicare/aid,2,"DeLauro supports lowering the Medicare eligibility age to 55 (Medicare buy-in) and has consistently backed Medicaid expansion and SCHIP extension. She opposes privatization of Medicare and voted against the Ryan Budget that would have replaced Medicare with vouchers. Her record aligns with significantly expanding both programs rather than full universal coverage.",https://www.ontheissues.org/House/Rosa_DeLauro_Health_Care.htm,https://www.ontheissues.org/House/Rosa_DeLauro.htm,,,
-9003,Rosa DeLauro,fossil-fuels,2,"DeLauro has a 95% LCV lifetime score and supports the Green New Deal calling for '50% clean and carbon free electricity by 2030.' She has voted against offshore drilling and oil subsidies. Her support for stopping new fossil fuel permits while pursuing rapid clean energy transition places her at value=2.",https://www.ontheissues.org/House/Rosa_DeLauro_Environment.htm,https://www.ontheissues.org/House/Rosa_DeLauro.htm,,"""50% clean and carbon free electricity by 2030""","50% clean and carbon free electricity by 2030"
-9003,Rosa DeLauro,voting-rights,1,"DeLauro co-sponsored the Voter Empowerment Act supporting automatic voter registration, voted YES on the For the People Act expanding voter registration and access, and voted against requiring photo ID to vote. She supports same-day registration and has consistently backed the most expansive voter access positions.",https://www.ontheissues.org/House/Rosa_DeLauro_Government_Reform.htm,https://www.ontheissues.org/House/Rosa_DeLauro.htm,,"""Automatic voter registration for all citizens""","Automatic voter registration for all citizens"
-9003,Rosa DeLauro,deportation,2,"DeLauro has a 0% rating from FAIR indicating an open-border stance on enforcement, voted against the border fence, opposed hospital reporting requirements for undocumented patients, and co-sponsored the Fair Day in Court for Kids Act providing legal counsel to children in deportation proceedings. She declined to support abolishing ICE but expressed opposition to broad deportation policies, aligning with deportation only for serious violent offenders.",https://www.ontheissues.org/House/Rosa_DeLauro_Immigration.htm,https://en.wikipedia.org/wiki/Rosa_DeLauro,,,
-9003,Rosa DeLauro,social-security,2,"DeLauro signed the Social Security Protectors Pledge opposing privatization, scaling back benefits, or raising the retirement age. She co-sponsored legislation opposing the Chained CPI benefit cut and received 100% from the Alliance for Retired Americans. Her record is primarily protective of the existing structure with modest benefit defense rather than explicitly calling for expanded benefits and removing the income cap.",https://www.ontheissues.org/House/Rosa_DeLauro_Social_Security.htm,https://www.ontheissues.org/House/Rosa_DeLauro.htm,,"""Reject privatization; don't raise the retirement age""","Reject privatization; don't raise the retirement age"
