external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-510201,Elaine Luria,abortion,1,Luria stated she would publicly fund abortions (Jul 2018) and holds a consistent pro-choice stance. She voted against any restrictions on abortion access throughout her congressional tenure and supports abortion being legal and accessible at all stages.,https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,healthcare,2,"Luria consistently supported the ACA and opposed repeal efforts, calling for strengthening the law to ensure affordable coverage through a mix of public programs and regulated private insurance. She does not support a single-payer system but has championed expanding access through existing structures.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,climate-change,3,"Luria earned a 97% lifetime LCV score, supporting the Inflation Reduction Act's clean energy investments and opposing offshore drilling. Her record shows consistent support for investing in clean energy and reducing fossil fuel dependence, though not a declaration of climate emergency or full fossil fuel phase-out by 2030.",https://www.lcv.org/scorecard/elaine-luria/,https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,
-510201,Elaine Luria,fossil-fuels,2,"Luria led the fight against offshore drilling off Virginia's coast and opposed new fossil fuel extraction permits, while supporting renewable energy investment. Her LCV score of 97% lifetime reflects consistent opposition to expanding fossil fuel drilling without supporting an immediate total ban.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://www.lcv.org/scorecard/elaine-luria/,,,
-510201,Elaine Luria,taxes,2,"Luria supported reversing the 2017 Trump tax cuts and favors increasing taxes to balance the budget, with a focus on higher earners. She voted for COVID relief spending and economic stimulus, aligning with a position of moderately raising taxes on wealthy individuals and corporations.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,immigration,3,"Luria sponsored legislation to increase high-skill and family-based visa caps and opposed religion-based immigration bans, but was also among 60 House Democrats in 2019 who expressed support for some form of physical barrier on the border. This moderate position aligns with maintaining current immigration levels while streamlining legal processes.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://en.wikipedia.org/wiki/Elaine_Luria,,,
-510201,Elaine Luria,deportation,3,"Luria's record shows a moderate immigration position — supporting visa cap increases and opposing religion-based bans, while also being open to some border enforcement measures. She did not sponsor sanctuary or anti-deportation legislation, indicating a focus on recent border crossers rather than mass deportation of long-term residents.",https://en.wikipedia.org/wiki/Elaine_Luria,https://www.ontheissues.org/VA/Elaine_Luria.htm,,,
-510201,Elaine Luria,same-sex-marriage,1,"Luria strongly supported full civil rights protections for the LGBTQ community and as a House Democrat voted for the Respect for Marriage Act (HR 8404) in July 2022, which passed 267-157 with all Democrats voting yes. This requires all states to recognize same-sex marriages and provides full federal benefits.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,https://en.wikipedia.org/wiki/Elaine_Luria,,
-510201,Elaine Luria,civil-rights,2,"Luria sponsored the Equal Rights Amendment ratification bill (Mar 2021), championed full civil rights protections for the LGBTQ community, voted yes on private lawsuits for school race discrimination, and co-sponsored stricter police accountability rules. Her record reflects a commitment to strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,voting-rights,2,"Luria sponsored legislation to expand voter registration and access (Feb 2021), advocated for an Election Day holiday, co-sponsored DC statehood legislation, and voted to certify the 2020 election. She co-led the 8th January 6 public hearing, reflecting strong support for expanding voting access including mail-in voting.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://en.wikipedia.org/wiki/Elaine_Luria,,,
-510201,Elaine Luria,redistricting,2,"Luria supported the For the People Act (HR 1), which included provisions to create independent redistricting commissions, and co-sponsored DC statehood and election reform legislation. Her overall election reform record aligns with independent redistricting commissions with balanced party representation.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,campaign-finance,2,"Luria favored regulating corporate campaign donations (Aug 2018) and initially pledged to reject corporate PAC money in 2018, though she later reversed course in 2020. Her stated position and early pledge align with strictly limiting corporate donations and dark money groups.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://en.wikipedia.org/wiki/Elaine_Luria,,,
-510201,Elaine Luria,social-security,2,Luria called for strengthening Medicare and Social Security (May 2020) and voted for the American Rescue Plan and other Democratic economic priorities. Her position aligns with modestly increasing Social Security benefits while raising taxes on higher earners to strengthen the program.,https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,medicare/aid,2,"Luria called for strengthening Medicare and Social Security, voted against ACA repeal, and supported expanded healthcare coverage. She supported lowering costs and expanding Medicaid eligibility as part of Build Back Better. Her record aligns with lowering the Medicare age and significantly expanding Medicaid.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,ukraine-support,2,"Luria is a 20-year Navy veteran and vice chair of the House Armed Services Committee who consistently supported Ukraine aid packages throughout her tenure. She voted for Ukraine supplemental aid legislation in 2022, aligning with continuing current levels of military and economic aid to help Ukraine defend itself.",https://en.wikipedia.org/wiki/Elaine_Luria,https://ballotpedia.org/Elaine_Luria,,,
-510201,Elaine Luria,school-vouchers,1,"Luria explicitly opposed vouchers for private schools (Jul 2018) and instead championed universal pre-K and public school modernization, viewing public education funding as a priority. This aligns with the stance of fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,Oppose vouchers for private schools,Oppose vouchers for private schools
-510201,Elaine Luria,childcare,2,"Luria supported universal pre-K as part of her education platform and voted for the American Rescue Plan, which included significant childcare subsidies. Her support for expanding childcare access through substantial federal investment aligns with significantly expanding subsidies and provider grants for low- and middle-income families.",https://www.ontheissues.org/VA/Elaine_Luria.htm,https://ballotpedia.org/Elaine_Luria,,,
