full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
"Joshua G. Cole","abortion",2,"Individually confirmed Yes vote on HJ1 (64-34, Jan 2026), the constitutional amendment securing a right to reproductive freedom through fetal viability with exceptions after; his 2026 platform frames the issue as keeping medical decisions between patients and providers, not a broader publicly-funded-at-all-stages position.","https://www.vpap.org/legislators/285632-joshua-cole/list-votes/close-votes/?session=39","https://jgcole.org/priorities/",,"Joshua will always defend a woman's right to make her own healthcare decisions … This is about ensuring healthcare decisions stay between patients and their providers—not politicians in Richmond.","[He] will always defend a woman's right to make her own healthcare decisions … This is about ensuring healthcare decisions stay between patients and their providers—not politicians in Richmond.","This is his own campaign platform language framing abortion as a patient-provider decision, which matches the ""legal and accessible with rare exceptions"" chair rather than a full-funding or restriction position. Edited: cut a mid-sentence record clause about ""delivering on his promise"" by passing HJ1; replaced his first name with [He] to remove self-identification."
"Joshua G. Cole","healthcare",2,"His 2026 platform states health care is a human right and Virginians should have affordable access, and lists specific measures (removing Medicaid work requirements, capping insulin costs, banning balance billing) rather than a call for a single-payer public system, matching a regulated public/private mix.","https://jgcole.org/priorities/",,,"Josh believes that health care is a human right and that Virginians should have access to quality health care they can afford.","[He] believes that health care is a human right and that Virginians should have access to quality health care they can afford.","Direct platform quote showing his healthcare framing is affordability/access-focused rather than full government-run coverage. Edited: replaced his first name with [He] to remove self-identification; ""Virginians"" kept as a bare state-demographic term."
"Joshua G. Cole","voting-rights",1,"Cole's campaign materials state he ""led legislation bringing automatic voter registration to Virginia,"" and he cast individually confirmed Yes votes on HJ2 (voter qualifications amendment) and multiple 2026 election-access bills (HB28, HB82, HB111, HB215, HB964).","https://jgcole.org/about-josh/","https://www.vpap.org/legislators/285632-joshua-cole/list-votes/close-votes/?session=39",,,,
"Joshua G. Cole","taxes",2,"A 2017 campaign statement (archived via Ballotpedia) criticized corporate tax breaks and called to reform the tax code so working families are prioritized over corporate interests; no more recent tax-specific statement was located, so this is dated but uncontradicted evidence of a modest tax-the-wealthy lean.","https://ballotpedia.org/Joshua_Cole_(Virginia)",,,,,
"Joshua G. Cole","redistricting",4,"Individually confirmed Yes votes on both HJ4 (62-33-1, Jan 2026) and its first-reference companion HB1384, the amendments giving the General Assembly limited mid-decade authority to redraw congressional districts; the amendment retains voter-referendum ratification and court review, placing this closer to legislature-with-court-oversight than unchecked one-party control.","https://www.vpap.org/legislators/285632-joshua-cole/list-votes/close-votes/?session=39",,,,,
"Joshua G. Cole","local-immigration",2,"Individually confirmed Yes vote on HB1441 (2026), which requires Virginia law-enforcement agreements with ICE to include protections (advance notice, no operations at schools/courthouses/polling places, judicial-warrant requirement for home entry) while still permitting cooperation via judicial warrants and detainer-based transfers of incarcerated felons.","https://www.vpap.org/legislators/285632-joshua-cole/list-votes/close-votes/?session=39","https://www.keepinglawsimple.org/states/virginia/bills/2026/HB1441",,,,
"Joshua G. Cole","climate-change",3,"Voted Yes on multiple 2026 renewable-energy and utility-efficiency bills (HB2 energy-efficiency upgrades, HB711 solar-facility siting standards, among others) and his platform emphasizes ""protecting our environment by standing up to big polluters,"" consistent with investing in clean energy while not calling for an emissions ban or drilling moratorium.","https://www.vpap.org/legislators/285632-joshua-cole/list-votes/close-votes/?session=39","https://www.keepinglawsimple.org/states/virginia/bills/2026/HB711",,,,
"Joshua G. Cole","housing",3,"Voted Yes on a slate of 2026 landlord-tenant protection bills (HB14, HB15, HB95, HB281, HB379, HB616) including HB379's rental-application fee caps and disclosure requirements, and lists ""Housing for all Virginians"" as a campaign priority — targeted tenant protections rather than rent caps or direct public housing construction.","https://www.vpap.org/legislators/285632-joshua-cole/list-votes/close-votes/?session=39","https://www.keepinglawsimple.org/states/virginia/bills/2026/HB379","https://jgcole.org/",,,
"Joshua G. Cole","medicare/aid",3,"His 2026 platform supports removing Medicaid work requirements and capping prescription costs — incremental protections for existing programs rather than a push to expand Medicare eligibility or lower the Medicare age.","https://jgcole.org/priorities/",,,,,
"Nicole Cole","abortion",2,"Individually confirmed Yes vote on HJ1 (64-34, Jan 2026), the constitutional amendment securing reproductive-freedom rights through viability with exceptions after; no broader publicly-funded-at-all-stages statement was found.","https://www.vpap.org/legislators/374679-nicole-cole/list-votes/close-votes/?session=39",,,,,
