external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-20002,Derek Schmidt,abortion,4,"As Kansas AG, Schmidt sought to defund Planned Parenthood through Medicaid termination and ran as a self-described opponent of abortion rights. His public record shows opposition to abortion access broadly but no documented push for a total ban with criminal penalties.",https://www.ontheissues.org/Derek_Schmidt.htm,https://en.wikipedia.org/wiki/Derek_Schmidt,,Limited-government conservative who opposes abortion,Limited-government conservative who opposes abortion
-20002,Derek Schmidt,civil-rights,5,"Schmidt opposed Critical Race Theory in public education, stated he would defund state programs teaching 'divisive' racial history, and supports eliminating race-based considerations in government programs — aligning with the stance of eliminating affirmative action and all race-based government programs.",https://www.ontheissues.org/Derek_Schmidt.htm,,,Don't subsidize teaching of Critical Race Theory,Don't subsidize teaching of Critical Race Theory
-20002,Derek Schmidt,climate-change,5,"As Kansas AG, Schmidt challenged the EPA's Clean Power Plan (stayed by Supreme Court 2016), challenged Obama-era methane regulations, and in 2021 sued the Biden administration over climate executive orders calling them 'job-killing.' This record reflects rejection of climate policies in favor of economic growth.",https://en.wikipedia.org/wiki/Derek_Schmidt,https://www.ontheissues.org/Derek_Schmidt.htm,,Suing Biden for trying to implement Green New Deal,Suing Biden for trying to implement Green New Deal
-20002,Derek Schmidt,deportation,4,"Schmidt opposed DACA and publicly urged President Trump to terminate the program in 2017. He argued Kansas v. Garcia before the Supreme Court defending state enforcement of immigration law against undocumented workers. He supports deporting all people without legal status prioritized by criminal history.",https://en.wikipedia.org/wiki/Derek_Schmidt,https://www.ontheissues.org/Derek_Schmidt.htm,,Failing border security means more crime victims in Kansas,Failing border security means more crime victims in Kansas
-20002,Derek Schmidt,fossil-fuels,4,"Schmidt as Kansas AG challenged the EPA's Clean Power Plan and Obama-era methane regulations, consistently supporting expansion of fossil fuel production and opposing federal environmental restrictions on drilling. His record is consistent with expanding permits but not removing all environmental restrictions.",https://en.wikipedia.org/wiki/Derek_Schmidt,https://www.ontheissues.org/Derek_Schmidt.htm,,,
-20002,Derek Schmidt,healthcare,4,"Schmidt as AG joined Florida v. U.S. Department of Health and Human Services arguing the ACA's individual mandate encroached on state sovereignty, and opposed the ACA broadly. He supported limited government involvement in healthcare rather than full privatization, aligning with helping only the poorest while leaving others to private insurance.",https://en.wikipedia.org/wiki/Derek_Schmidt,https://www.ontheissues.org/Derek_Schmidt.htm,,"The individual mandate encroach on the sovereignty of the State of Kansas and on the rights of our citizens","The individual mandate encroach on the sovereignty of the state and on the rights of our citizens"
-20002,Derek Schmidt,immigration,4,"Schmidt favored state-level immigration enforcement, opposed DACA, and argued against easing asylum rules. As AG he argued Kansas v. Garcia (2020) defending state identity-theft statutes applied to undocumented workers. His record supports reducing legal pathways and limiting public services to those with legal status.",https://en.wikipedia.org/wiki/Derek_Schmidt,https://www.ontheissues.org/Derek_Schmidt.htm,,,
-20002,Derek Schmidt,misinformation,4,"Schmidt as AG and candidate has consistently emphasized protecting free speech online and opposing government censorship, aligning with 'protect free speech online and prevent government censorship.' No documented support for mandated platform content removal or government-regulated fact-checking.",https://www.ontheissues.org/Derek_Schmidt.htm,,,,
-20002,Derek Schmidt,religious-freedom,4,"Schmidt has publicly supported public prayer, endorsed traditional religious values in public life, and ran on a platform of protecting religious freedom including faith-based exemptions — aligning with protecting religious freedom and allowing faith-based exemptions from conflicting laws.",https://www.ontheissues.org/Derek_Schmidt.htm,,,Conservative who believes in protecting traditional values,Conservative who believes in protecting traditional values
-20002,Derek Schmidt,same-sex-marriage,5,"As Kansas AG, Schmidt actively defended the state's same-sex marriage ban in federal litigation through 2014–2015, only dropping his challenge after the Supreme Court's Obergefell ruling made continued litigation moot. Defending a constitutional same-sex marriage ban is direct documentary evidence for value 5.",https://en.wikipedia.org/wiki/Derek_Schmidt,https://www.ontheissues.org/Derek_Schmidt.htm,,,
-20002,Derek Schmidt,school-vouchers,4,"Schmidt supports school choice and opposes public funding for Critical Race Theory curricula, favoring diverting funds to allow families to choose schools that fit their values. His campaign platform backed expanding school choice options for most families while maintaining baseline public school funding.",https://www.ontheissues.org/Derek_Schmidt.htm,,,Don't subsidize teaching of Critical Race Theory,Don't subsidize teaching of Critical Race Theory
-20002,Derek Schmidt,social-security,3,"Schmidt's stated position is to 'zero out taxes on Social Security and retirement income,' which protects and enhances benefits for current recipients without advocating privatization or major structural changes. This aligns with making small adjustments to keep Social Security stable.",https://www.ontheissues.org/Derek_Schmidt.htm,,,Zero out taxes on Social Security retirement income,Zero out taxes on Social Security retirement income
-20002,Derek Schmidt,taxes,4,"Schmidt advocated using budget surpluses for debt paydown and tax cuts, sued to use COVID relief funds for state tax relief, and opposes taxes on retirement income. His record supports cutting taxes for everyone and scaling back public services, but not the most extreme flat-tax/drastic-cut position.",https://www.ontheissues.org/Derek_Schmidt.htm,,,Living within our means is a critical task for governors,Living within our means is a critical task for governors
-20002,Derek Schmidt,trans-athletes,4,"Schmidt stated he 'would have signed' the Kansas transgender athlete ban that was vetoed by Governor Kelly, supporting a policy requiring transgender athletes to compete only on teams matching their biological sex assigned at birth. He has not documented support for a complete ban on all organized sports participation.",https://www.ontheissues.org/Derek_Schmidt.htm,,,Would have signed vetoed transgender athlete ban,Would have signed vetoed transgender athlete ban
-20002,Derek Schmidt,voting-rights,4,"Schmidt opposes federal voting rights expansion, supports voter ID requirements for advance voting, participated in proceedings challenging 2020 election results, and joined Texas v. Pennsylvania challenging swing-state election results. This aligns with requiring photo ID and regularly updating voter rolls.",https://en.wikipedia.org/wiki/Derek_Schmidt,https://www.ontheissues.org/Derek_Schmidt.htm,,,
