external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-4006,Juan Ciscomani,abortion,4,"Ciscomani praised the Dobbs decision and supports Arizona's 15-week restriction but opposes a nationwide ban. He voted for the Born-Alive Abortion Survivors Protection Act (Jan 2025) and voted against reproductive freedom on 16 of 17 tracked votes, including votes against mifepristone FDA protections and servicemember abortion access.",https://reproductivefreedomforall.org/member-of-congress/juan-ciscomani/,https://en.wikipedia.org/wiki/Juan_Ciscomani,,,
-4006,Juan Ciscomani,climate-change,4,"Ciscomani holds a 7% lifetime LCV score (0% in 2025) and voted against rolling back methane pollution fees, blocking state vehicle emissions standards, defunding clean energy research, and eliminating endangered species protections. He is a member of the Conservative Climate Caucus which emphasizes free-market solutions over regulatory mandates.",https://www.lcv.org/congressional-scorecard/moc/juan-ciscomani,https://en.wikipedia.org/wiki/Juan_Ciscomani,https://en.wikipedia.org/wiki/Conservative_Climate_Caucus,,
-4006,Juan Ciscomani,fossil-fuels,4,"Ciscomani's 0% LCV score in 2025 includes votes to remove public lands protections and open areas to drilling and mining and to roll back methane pollution fees. He voted for the One Big Beautiful Bill which phases out green energy incentives and eliminates EV tax credits, favoring expanded fossil fuel production.",https://www.lcv.org/congressional-scorecard/moc/juan-ciscomani,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Juan_Ciscomani,,
-4006,Juan Ciscomani,healthcare,3,"Ciscomani publicly stated he cannot support legislation that reduces Medicaid benefits for vulnerable populations, and joined a bipartisan letter warning against Social Security Administration cuts. He ultimately voted for the One Big Beautiful Bill which imposes Medicaid work requirements, suggesting support for limited cost-control reforms while protecting core program access.",https://en.wikipedia.org/wiki/Juan_Ciscomani,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,"cannot, and will not, support any legislation that reduces Medicaid benefits for vulnerable populations the program was intended to serve"
-4006,Juan Ciscomani,medicare/aid,3,"Ciscomani publicly opposed Medicaid cuts and joined House Republicans warning against Social Security Administration cuts. He voted for the One Big Beautiful Bill which includes Medicaid work requirements but does not privatize or eliminate the programs, placing him in a reform-while-maintaining-structure position.",https://en.wikipedia.org/wiki/Juan_Ciscomani,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-4006,Juan Ciscomani,taxes,4,"Ciscomani voted for the One Big Beautiful Bill (May 2025), which permanently extends the 2017 Tax Cuts and Jobs Act, raises the SALT deduction cap to $40,000, and creates new deductions for tips and overtime pay — a broad tax-cutting agenda that reduces federal revenues.",https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Juan_Ciscomani,,,
-4006,Juan Ciscomani,immigration,4,Ciscomani supports border security legislation and voted for the One Big Beautiful Bill which increases ICE funding from $10 billion to over $100 billion by 2029 and allocates $46.5 billion for border wall construction. He has expressed openness to DACA protections but prioritizes enforcement and has not supported broad pathways to legal status.,https://en.wikipedia.org/wiki/Juan_Ciscomani,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Laken_Riley_Act,,
-4006,Juan Ciscomani,deportation,4,"Ciscomani voted for the Laken Riley Act (Jan 2025), which mandates detention without bond for non-citizens arrested for crimes including theft, and for the One Big Beautiful Bill which dramatically expands ICE funding and enforcement capacity with $46.5 billion for border wall construction.",https://en.wikipedia.org/wiki/Laken_Riley_Act,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Juan_Ciscomani,,
-4006,Juan Ciscomani,social-security,3,"Ciscomani joined House Republicans in warning against Trump administration Social Security Administration cuts, signaling opposition to benefit reductions. He voted for the One Big Beautiful Bill which focuses on tax cuts rather than altering Social Security structures, suggesting a position of maintaining current program stability without expansion.",https://en.wikipedia.org/wiki/Juan_Ciscomani,,,,
-4009,Paul Gosar,abortion,4,"Gosar identifies as pro-life and co-sponsored the Pain-Capable Unborn Child Protection Act (20-week ban) with exceptions for rape, incest, and maternal life. He co-sponsored criminal-penalty provisions targeting providers who perform sex-selective abortions (PRENDA) but explicitly exempted women from prosecution. He opposes federal abortion funding and praised the overturning of Roe v. Wade.",https://www.ontheissues.org/House/Paul_Gosar_Abortion.htm,https://en.wikipedia.org/wiki/Paul_Gosar,,Life begins at conception and that is why I am Pro-Life.,Life begins at conception and that is why I am Pro-Life.
