full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Claudia Tenney,,abortion,4,"Tenney co-sponsored the Life at Conception Act declaring legal protection from fertilization, supports Born Alive Survivors Protection Act, backed defunding Planned Parenthood, and has consistently opposed public funding for abortion. The bill she co-sponsored explicitly exempts women from prosecution, positioning her at restrict-to-life-threatening exceptions rather than a total ban with criminal penalties.",https://www.ontheissues.org/NY/Claudia_Tenney.htm,https://en.wikipedia.org/wiki/Claudia_Tenney,,"Include pre-born human beings in 14th Amendment protection.","Include pre-born human beings in 14th Amendment protection."
Claudia Tenney,,healthcare,4,"Tenney voted for the American Health Care Act (2017), which would have eliminated the individual mandate and replaced ACA preexisting condition protections with high-risk pools, significantly reducing coverage. She has consistently called for repealing the ACA and replacing it with free-market patient-centered alternatives, opposing government responsibility to ensure universal coverage.",https://en.wikipedia.org/wiki/Claudia_Tenney,https://www.ontheissues.org/NY/Claudia_Tenney_Health_Care.htm,,"Replace ObamaCare with free-market, patient centric system.","Replace the ACA with free-market, patient centric system."
Claudia Tenney,,immigration,4,"Tenney supports building a border wall, strongly backs ICE enforcement, opposes sanctuary cities, and voted against the NO BAN Act (2021) that would have prohibited religious discrimination in immigration. She has stated she will ""not vote for amnesty"" and requires undocumented immigrants to return to their country of origin before citizenship eligibility.",https://www.ontheissues.org/NY/Claudia_Tenney_Immigration.htm,https://en.wikipedia.org/wiki/Claudia_Tenney,,"Protect our sovereignty by securing the border.","Protect our sovereignty by securing the border."
Claudia Tenney,,deportation,4,"Tenney supports requiring all undocumented immigrants to return to their country of origin before eligibility for citizenship, strongly backs ICE, opposes sanctuary cities, and has voted consistently for tighter enforcement. Her position is to deport all without legal status prioritizing enforcement, though she focuses on broad removal rather than explicit statements about immediate deportation regardless of family ties.",https://www.ontheissues.org/NY/Claudia_Tenney_Immigration.htm,https://en.wikipedia.org/wiki/Claudia_Tenney,,,,
Claudia Tenney,,taxes,4,"Tenney supported the Tax Cuts and Jobs Act of 2017 reducing top rates and corporate taxes, has consistently voted against tax increases, and describes her approach as an ""uncompromising pursuit every day to lower taxes."" She supports cuts across income levels to promote economic growth rather than targeted relief.",https://www.ontheissues.org/NY/Claudia_Tenney_Tax_Reform.htm,https://en.wikipedia.org/wiki/Claudia_Tenney,,"Uncompromising pursuit every day to lower taxes on families and reduce business taxes.","Uncompromising pursuit every day to lower taxes on families and reduce business taxes."
Claudia Tenney,,climate-change,5,"Tenney stated ""The science is not determined. It's not certain"" on climate change, applauded Trump's withdrawal from the Paris Agreement, and received a lifetime LCV score of 3% (0% in 2025). She criticized the EPA as pursuing a ""radical ideological agenda"" and supports fossil fuel deregulation over climate policy.",https://en.wikipedia.org/wiki/Claudia_Tenney,https://www.lcv.org/congressional-scorecard/moc/claudia-tenney,https://www.ontheissues.org/NY/Claudia_Tenney_Environment.htm,"The science is not determined. It's not certain.","The science is not determined. It's not certain."
Claudia Tenney,,fossil-fuels,4,"Tenney applauded the Paris Climate Agreement withdrawal, supports domestic oil deregulation, opposes government-mandated wind/solar development, and criticized the EPA's approach to the coal industry. Her 3% lifetime LCV score reflects consistent pro-fossil-fuel voting. She supports expanding permits rather than maximizing extraction with no limits.",https://en.wikipedia.org/wiki/Claudia_Tenney,https://www.lcv.org/congressional-scorecard/moc/claudia-tenney,https://www.ontheissues.org/NY/Claudia_Tenney.htm,"Applauded decision to leave the Paris climate agreement.","Applauded the decision to leave the Paris climate agreement."
Claudia Tenney,,same-sex-marriage,5,"Tenney was the sole New York House member to vote against the Respect for Marriage Act (2022), which codified federal recognition of same-sex marriages. She previously voted against New York's Marriage Equality Act (2011). Her record consistently opposes legal recognition of same-sex marriage at every opportunity.",https://en.wikipedia.org/wiki/Claudia_Tenney,https://www.ontheissues.org/NY/Claudia_Tenney_Civil_Rights.htm,,,,
Claudia Tenney,,civil-rights,5,"Tenney voted against the ERA ratification deadline extension (2021), opposes reparations, and her career record is rated ""Hard-Core Conservative"" by OnTheIssues. She opposed the Women's Equality Act and has not supported expanding federal civil rights enforcement beyond current law.",https://www.ontheissues.org/NY/Claudia_Tenney.htm,https://www.ontheissues.org/NY/Claudia_Tenney_Civil_Rights.htm,,,,
Claudia Tenney,,trans-athletes,4,"Tenney co-sponsored the Protect Children's Innocence Act, making gender-affirming care for minors a federal class C felony. This positions her as opposing transgender rights broadly, including sports participation for transgender athletes. Her stance requires competing by biological sex, though no specific trans-athlete bill sponsorship was confirmed.",https://en.wikipedia.org/wiki/Claudia_Tenney,https://www.ontheissues.org/NY/Claudia_Tenney.htm,,,,
Claudia Tenney,,voting-rights,4,"Tenney voted NAY on the For the People Act (H.R.1, 2021), which would have expanded automatic voter registration, vote-by-mail, and early voting. She opposes expanded voter registration but no evidence found of her supporting a mandate for in-person-only voting or eliminating all mail-in voting.",https://www.ontheissues.org/NY/Claudia_Tenney_Government_Reform.htm,https://www.ontheissues.org/NY/Claudia_Tenney.htm,,,,
Claudia Tenney,,redistricting,5,"Tenney voted NAY on the For the People Act (2021), which included a requirement for states to establish independent redistricting commissions. Her vote and her consistent opposition to government reform measures suggest she supports the current system where state legislatures draw maps.",https://www.ontheissues.org/NY/Claudia_Tenney_Government_Reform.htm,https://www.ontheissues.org/NY/Claudia_Tenney.htm,,,,
Claudia Tenney,,campaign-finance,4,"Tenney voted NAY on the For the People Act (2021), which included strict campaign finance reforms such as disclosure requirements and limits on dark money. She has not publicly called for eliminating all campaign finance laws, placing her at reducing restrictions rather than full elimination.",https://www.ontheissues.org/NY/Claudia_Tenney_Government_Reform.htm,https://www.ontheissues.org/NY/Claudia_Tenney.htm,,,,
