external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-13010,Mike Collins,abortion,5,"Collins stated 'None' when asked under what circumstances abortion should be allowed, adding 'All creations of God are precious.' He cosponsored a personhood-at-conception bill in January 2025, reflecting a complete ban position with no exceptions.",https://www.ontheissues.org/GA/Mike_Collins_Abortion.htm,https://en.wikipedia.org/wiki/Mike_Collins_(politician),,"""None. All creations of God are precious.""","""None. All creations of God are precious."""
-13010,Mike Collins,immigration,5,"Collins authored the Laken Riley Act requiring mandatory ICE detention of undocumented immigrants charged with theft (signed into law January 2025) and during his 2022 campaign called for a 'moratorium on legal immigration' alongside border wall construction, aligning with the most restrictive stance.",https://www.ontheissues.org/GA/Mike_Collins.htm,https://en.wikipedia.org/wiki/Mike_Collins_(politician),,"""Walls work; moratorium on legal immigration.""","""Walls work; moratorium on legal immigration."""
-13010,Mike Collins,deportation,5,"Collins authored the Laken Riley Act mandating ICE detention regardless of criminal history for undocumented immigrants charged with theft. Wikipedia documents he made 'extreme rhetoric about migrants, including references to death flights,' signaling support for rapid mass deportation regardless of ties.",https://en.wikipedia.org/wiki/Mike_Collins_(politician),https://www.ontheissues.org/GA/Mike_Collins.htm,,,
-13010,Mike Collins,climate-change,5,"Collins has a 1% lifetime LCV score (0% in 2023 and 2025, 3% in 2024), having voted against clean energy, pollution reduction, and climate action measures consistently. His 2022 campaign stance was 'environmental regulations cost jobs,' aligning with rejecting climate policy to focus on economic growth.",https://www.lcv.org/congressional-scorecard/moc/mike-collins,https://www.ontheissues.org/GA/Mike_Collins.htm,,,
-13010,Mike Collins,fossil-fuels,4,"Collins stated 'Yes fracking; environmental regulations cost jobs' in his 2022 campaign and holds a 1% LCV lifetime score, having voted against clean energy initiatives. His record supports expanding fossil fuel drilling, though he has not explicitly called for removing all environmental restrictions.",https://www.ontheissues.org/GA/Mike_Collins.htm,https://www.lcv.org/congressional-scorecard/moc/mike-collins,,,
-13010,Mike Collins,taxes,5,"Collins' documented 2022 campaign stance was 'Cut spending; simplify and reduce taxes,' and he identified the national debt as 'the #1 threat.' As a trucking business owner and staunch fiscal conservative, his record reflects drastic tax cuts and shrinking government.",https://www.ontheissues.org/GA/Mike_Collins.htm,https://en.wikipedia.org/wiki/Mike_Collins_(politician),,"""Cut spending; simplify and reduce taxes.""","""Cut spending; simplify and reduce taxes."""
-13010,Mike Collins,healthcare,4,"Collins' documented healthcare stance opposes vaccine mandates and supports private insurance over government programs. His broader fiscal platform of cutting spending and limiting government intervention aligns with helping only the poorest while leaving others to employers and private insurance.",https://www.ontheissues.org/GA/Mike_Collins.htm,https://mikecollinsga.com/issues,,,
-13010,Mike Collins,civil-rights,5,"Collins strongly disagrees with Critical Race Theory and reparations, stating 'No reparations; racism is no threat,' and disagrees with protecting gender identity and sexual orientation as civil rights classes. This aligns with eliminating affirmative action and all race-based government programs.",https://www.ontheissues.org/GA/Mike_Collins_Civil_Rights.htm,https://www.ontheissues.org/GA/Mike_Collins.htm,,"""No reparations; racism is no threat.""","""No reparations; racism is no threat."""
-13010,Mike Collins,voting-rights,4,"Collins stated in 2022 'Require photo ID; get rid of no-excuse absentee voting,' documenting support for photo ID requirements and restricting mail-in voting access without reaching the level of eliminating mail-in ballots entirely except for military.",https://www.ontheissues.org/GA/Mike_Collins.htm,,,"""Require photo ID; get rid of no-excuse absentee voting.""","""Require photo ID; get rid of no-excuse absentee voting."""
-13010,Mike Collins,ukraine-support,4,"Wikipedia documents Collins voted against Ukraine military aid during the Russian invasion and supported removing U.S. troops from Syria, reflecting a position of reducing aid to Ukraine and focusing resources on domestic priorities rather than completely ending all aid.",https://en.wikipedia.org/wiki/Mike_Collins_(politician),,,
-13010,Mike Collins,religious-freedom,5,"Collins stated 'It's separation of religion not FROM religion' and committed to 'Defend Judeo-Christian values that make America great,' identifying as a born-again Christian whose platform reflects strong protection for religious organizations' autonomy in operations and hiring.",https://www.ontheissues.org/GA/Mike_Collins.htm,https://www.ontheissues.org/GA/Mike_Collins_Civil_Rights.htm,,"""It's separation of religion not from religion.""","""It's separation of religion not from religion."""
-13010,Mike Collins,same-sex-marriage,5,"Collins disagrees with protecting sexual orientation as a protected class under civil rights law and ran on a platform of defending Judeo-Christian values. His opposition to LGBTQ civil rights protections aligns with defining marriage exclusively as between one man and one woman.",https://www.ontheissues.org/GA/Mike_Collins_Civil_Rights.htm,https://www.ontheissues.org/GA/Mike_Collins.htm,,,
-13010,Mike Collins,housing,4,"Collins' campaign website proposes addressing housing costs by reducing regulatory barriers and streamlining construction permitting via his PERMIT Act, consistent with cutting regulations and letting private developers solve housing shortages rather than government subsidies or mandates.",https://mikecollinsga.com/issues,https://en.wikipedia.org/wiki/Mike_Collins_(politician),,,
