full_name,politician_id,topic_key,value,reasoning
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,abortion,2,"Pitcher lists 'reproductive freedom' explicitly as a campaign priority and her caucus unanimously opposed HB 467 (2023), which functionally banned all abortions in Utah, with Democrats calling it 'effectively a ban on all abortions in the state.' Her campaign platform calls for broad reproductive rights, opposing 'prohibitive abortion bans and burdensome policies.' — best matches stance 2 (keep abortion legal and accessible through the second trimester with rare exceptions afterward)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,tariffs,,""
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,same-sex-marriage,2,"Pitcher is endorsed by Equality Utah (Utah's largest LGBTQ+ advocacy group) and opposed a 2025 bill banning pride flags from schools, arguing it violated the Constitution. She has a 98% party-line Democratic voting record and has not broken with her caucus on any civil rights issue; she consistently votes against anti-LGBTQ legislation. — best matches stance 2 (allow same-sex marriage nationwide while protecting some organizations' right to decline participation)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,religious-freedom,2,"Utah's SB 150 (2024) — a Religious Freedom Restoration Act — passed the Senate unanimously after LGBTQ+ advocates' concerns were addressed, with language added preserving anti-discrimination protections in housing and employment. Pitcher voted for the compromise version that protected civil rights alongside religious freedom. — best matches stance 2 (protect religious freedom while ensuring it doesn't override anti-discrimination protections in employment and housing)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,trans-athletes,1,"Utah Senate Democrats uniformly opposed the 2022 HB 3002 trans sports ban override (Senate vote 21-8, all 8 nays were Democrats or moderate Republicans). Pitcher joined the Senate in January 2023 with a 98% Democratic voting record and has not broken with her caucus on any civil rights issue. Her Equality Utah endorsement reflects consistent support for trans inclusion. — best matches stance 1 (allow all transgender athletes to compete on teams matching their gender identity without any restrictions)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,ukraine-support,,""
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,medicare/aid,2,"Pitcher and Utah Senate Democrats consistently opposed Republican income tax cuts (5th in 5 years in 2025), with the Democratic minority caucus explicitly stating this money 'could instead strengthen schools, expand services, and improve healthcare.' Democrats also criticized federal Medicaid cuts in Trump's budget as having 'devastating consequences for Utah.' — best matches stance 2 (lower Medicare age to 55 and expand Medicaid significantly)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,fossil-fuels,2,"Pitcher sponsored SB 222 (2025) targeting vehicle emissions enforcement, SB 208 (2026) closing emissions inspection loopholes, and SB 142 (2024) creating electric lawn equipment tax credits. Her campaign platform calls for 'urgent action to save the Great Salt Lake, improve air quality, protect public lands, and invest in renewable energy.' She focuses on stopping new fossil fuel expansion while investing in clean energy alternatives. — best matches stance 2 (stop issuing new permits for fossil fuel drilling)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,voting-rights,2,"Pitcher's campaign explicitly states she will 'defend fair political maps created by Proposition 4' and fight for 'honest elections and the right to citizen-led change.' She voted NAY on HB 300 (March 6, 2025), a Republican election law amendment that passed 19-10, along with all Senate Democrats. Her platform is consistent with expanding early voting and mail-in access. — best matches stance 2 (expand early voting periods and make mail-in voting available to all voters without requiring an excuse)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,social-security,,""
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,climate-change,2,"Pitcher's campaign calls for 'urgent action to save the Great Salt Lake, improve air quality, protect public lands, and invest in renewable energy.' She sponsored vehicle emissions enforcement bills (SB 222 in 2025, SB 208 in 2026) and electric equipment incentives (SB 142 in 2024). She advocates for rapid renewable energy investment, consistent with a fast transition stance. — best matches stance 2 (rapidly transition to renewable energy and phase out fossil fuels by 2030)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,civil-rights,2,"Pitcher's legislative record focuses on criminal justice equity (cash bail reform, banning shackling of pregnant inmates, victim address confidentiality) and she has consistently voted with the Democratic caucus. Her campaign platform includes equal pay and workplace protections. She has not called for reparations but clearly supports strengthening civil rights enforcement and addressing systemic discrimination. — best matches stance 2 (strengthen civil rights enforcement and address systemic discrimination)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,campaign-finance,2,"Pitcher sponsored legislation allowing candidates to use campaign funds for childcare expenses — a reform specifically aimed at removing financial barriers to political participation. Her campaign platform calls for defending 'honest elections and the right to citizen-led change.' — best matches stance 2 (strictly limit corporate donations and dark money groups)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,misinformation,3,"Pitcher sponsored SB 180 (2025) requiring AI disclosure in police reports, which passed unanimously and was signed into law. This reflects a 'require transparency and accountability' approach to new technology, but the bill is narrowly scoped to law enforcement AI rather than broad platform regulation. No direct evidence of positions on broader platform misinformation regulation found. — best matches stance 3 (encourage voluntary standards for combating misinformation online)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,redistricting,2,"Pitcher's campaign website explicitly states she will 'defend fair political maps created by Proposition 4,' which established an independent redistricting commission with balanced representation. The GOP legislature undermined Prop 4's maps and she is running explicitly to restore them. — best matches stance 2 (independent redistricting commissions with equal representation from both major parties)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,school-vouchers,1,"All Utah Senate Democrats voted against HB 215 (Utah Fits All Scholarship, January 2023 — final Senate vote 20-8). The Democratic caucus called it a bill that 'fails to support students and weakens public education by redirecting public funds to private institutions.' Pitcher's campaign website explicitly states she will 'eliminate school vouchers' as a top education priority. — best matches stance 1 (fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,data-centers,2,"Pitcher co-signed a letter with five other Democratic senators calling the proposed Stratos mega data center in Box Elder County 'not right for Utah' and warning of 'an environmental catastrophe that will alter our ability to live in this state.' She explicitly opposes unregulated large-scale data center infrastructure that threatens the Great Salt Lake. — best matches stance 2 (requiring data centers to fund their own dedicated power generation and barring utilities from passing data center infrastructure costs to residential customers)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,homelessness,2,"Pitcher's campaign platform focuses on investing in affordable housing and her overall legislative approach emphasizes criminal justice reform and alternatives to incarceration. She voted with her caucus against Republican criminalization-focused bills. Her focus on 'invest in affordable housing' and opposing poverty-driven criminalization aligns with a decriminalization-and-shelter approach. — best matches stance 2 (decriminalizing public sleeping while investing in shelter capacity, outreach workers, and voluntary service connections)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,childcare,2,"Pitcher originated Utah's Infant at Work pilot program in 2020 as a House member and sponsored SB 258 (2026) to expand it permanently to all executive branch agencies. She passed legislation allowing candidates to use campaign funds for childcare expenses. Her campaign platform calls for improving 'access to and affordability of childcare.' — best matches stance 2 (significantly expanding subsidies and provider grants to make childcare affordable for low- and middle-income families)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,ai-regulation,4,"Pitcher sponsored SB 180 (2025 — signed into law), requiring law enforcement agencies to disclose AI use in police reports, certify accuracy reviews, and create AI use policies — directly targeting a high-risk AI use case in policing. She stated: 'Using AI to generate police reports presents a number of really interesting issues, I think, where some guardrails are appropriate.' — best matches stance 4 (require safety testing and ban high-risk AI uses in areas like hiring, healthcare, and policing)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,immigration,2,"Pitcher's campaign platform calls for 'keep families together, ensure due process, and focus on public safety, not federal immigration enforcement. No ICE detention facility in Utah.' She co-signed a Democratic caucus statement opposing an ICE detention facility. She and the Democratic caucus voted unanimously against HB 226 (2025) which expanded deportation proceedings, with Democrats arguing it 'robs people of due process.' — best matches stance 2 (keep legal immigration open and let most residents use public services regardless of legal status)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,deportation,2,"Pitcher opposes an ICE detention facility in Utah and focuses on family unity and due process. Her campaign explicitly states opposition to prioritizing federal immigration enforcement. The Utah Senate Democratic Caucus (of which Pitcher is a member) stated 'An ICE detention facility has no place in our state' and 'Policies that terrorize families and communities are contrary to the Utah Way.' — best matches stance 2 (only deport people convicted of serious violent crimes)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,healthcare,2,"Pitcher's campaign platform calls for 'reduce the costs of healthcare' and improving access as part of her affordability agenda, consistent with ensuring affordable coverage through a mix of public programs and regulated private insurance. Utah Senate Democrats explicitly opposed Republican income tax cuts as starving healthcare and Medicaid. — best matches stance 2 (make sure everyone has affordable coverage through a mix of public programs and regulated private insurance)."
Stephanie Pitcher,4f896b69-d922-4838-b54d-51a00a452e08,taxes,1,"Pitcher and Utah Senate Democrats consistently opposed all Republican income tax cuts, with the Democratic minority caucus stating in 2025: 'This is the fifth income tax cut in recent years, costing the state more than $165 million annually; money that could instead strengthen schools, expand services, and improve healthcare.' Senate Minority Leader Escamilla said: 'We are not in support of any tax cut especially with our current estimated budget situation.' — best matches stance 1 (significantly raise taxes on wealthy people and large companies to fund more public services)."
