external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-5300001,Bob Ferguson,abortion,1,"Ferguson signed Executive Order 25-01 on his first day in office to protect reproductive health care access, sued the Trump administration to expand access to mifepristone as AG, and made reproductive freedom central to his campaign. Washington state has no gestational limits on abortion and publicly funds the procedure; Ferguson's actions align with fully accessible and publicly funded abortion at all stages.",https://governor.wa.gov/executive-orders,https://www.bobferguson.com/issues,https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),,
-5300001,Bob Ferguson,healthcare,2,"As AG Ferguson successfully defended the ACA from Trump administration legal challenges, securing coverage for 825,000 Washingtonians including those with pre-existing conditions, and won a $137 million settlement against Providence Health for charity care violations. His platform calls for ensuring everyone has affordable coverage through a mix of public programs and regulated private insurance.",https://www.bobferguson.com/issues,https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),,"His Supreme Court victory preserved health care for 825,000 Washingtonians, including those with preexisting conditions.",His court victory preserved health care for hundreds of thousands of residents including those with preexisting conditions.
-5300001,Bob Ferguson,immigration,2,"Ferguson filed suit within 72 hours of Trump's 2017 Muslim travel ban and successfully blocked it; fought to preserve DACA; signed EO 25-04 on his first day protecting immigrant families from separation; signed EO 25-09 in September 2025 protecting immigrant communities' rights. He called ICE actions 'a shameful period' and has consistently supported keeping legal immigration open with public services available regardless of status.",https://governor.wa.gov/executive-orders,https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),https://www.ontheissues.org/Bob_Ferguson.htm,"Called ICE actions 'a shameful period'",Called ICE actions "a shameful period."
-5300001,Bob Ferguson,deportation,2,"Ferguson blocked Trump's DACA rescission as AG, challenged the Muslim travel ban, signed EO 25-04 protecting immigrant families from federal separation actions, and signed EO 25-09 protecting immigrant communities. His record consistently opposes mass deportation and prioritizes protection for long-term residents and families; aligns with deporting only those convicted of serious violent crimes.",https://governor.wa.gov/executive-orders,https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),,,
-5300001,Bob Ferguson,climate-change,2,"As AG Ferguson created an Environmental Protection Division, defended Obama-era clean energy rules against Trump, and opposed Trump's clean power plan as 'neither affordable nor clean.' As governor he signed EO 25-11 in December 2025 to accelerate clean energy projects and federal tax credits. His record consistently supports rapid transition to clean energy.",https://governor.wa.gov/executive-orders,https://www.bobferguson.com/issues,https://www.ontheissues.org/Bob_Ferguson.htm,"Opposed Trump's clean energy rule as 'neither affordable nor clean'",Opposed the administration's clean energy rule as "neither affordable nor clean."
-5300001,Bob Ferguson,fossil-fuels,2,"Ferguson defended Obama-era clean energy and climate protection rules against Trump administration rollbacks as AG, consistently opposed expansion of fossil fuel extraction, and signed EO 25-11 accelerating clean energy projects and tax credits. His record supports stopping new fossil fuel permits and transitioning to renewables.",https://governor.wa.gov/executive-orders,https://www.ontheissues.org/Bob_Ferguson.htm,,,
-5300001,Bob Ferguson,taxes,2,"Ferguson signed a $9 billion tax increase package in May 2025, including a millionaires' tax on incomes above $1 million and a surtax on large banks for fairer taxation. This represents a significant increase on high earners while maintaining existing rates for middle-class families, consistent with moderately raising taxes on wealthy individuals and large corporations.",https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),https://www.ontheissues.org/Bob_Ferguson.htm,,"Supports 'Millionaires' Tax on those earning more than $1M'","Supports a 'Millionaires' Tax' on those earning more than $1M."
-5300001,Bob Ferguson,housing,2,"Ferguson signed EO 25-02 on housing regulatory efficiency and EO 25-12 creating a Department of Housing task force; proposed a 'largest-ever budget investment in housing' with a goal of 200,000 units over four years with at least half affordable; championed major Housing Trust Fund investments and infrastructure programs tied to affordability requirements. This aligns with using public funding and affordability requirements in new development.",https://governor.wa.gov/executive-orders,https://governor.wa.gov/priorities,https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),"Proposes 'largest-ever budget investment in housing'","Proposes the largest-ever budget investment in housing with a goal of 200,000 units over four years."
-5300001,Bob Ferguson,same-sex-marriage,1,"As AG Ferguson personally argued the Arlene's Flowers case before the Washington Supreme Court, establishing that same-sex couples cannot be denied services under consumer protection law; his office won the case at the state Supreme Court twice. He has consistently supported requiring all states to provide full legal recognition and protections for same-sex couples.",https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),https://www.bobferguson.com/issues,,"Won case guaranteeing rights for same-sex couples","Won case guaranteeing rights for same-sex couples."
-5300001,Bob Ferguson,civil-rights,2,"Ferguson created the Wing Luke Civil Rights Division in the AG's office to strengthen civil rights enforcement; personally argued the Arlene's Flowers case addressing systemic discrimination against same-sex couples; advocated for strengthening civil rights enforcement and addressing systemic discrimination throughout his career.",https://www.bobferguson.com/issues,https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),,,
-5300001,Bob Ferguson,religious-freedom,2,"Ferguson personally argued and won the Arlene's Flowers case, ruling that religious objection does not exempt businesses from anti-discrimination consumer protection law. His record consistently shows support for protecting religious freedom while ensuring it does not override anti-discrimination protections in employment and public accommodations.",https://en.wikipedia.org/wiki/Bob_Ferguson_(politician),https://www.bobferguson.com/issues,,,
