external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-2700002,Peggy Flanagan,abortion,2,"Flanagan's campaign website states she has been ""leading the fight to make sure abortion stays legal in Minnesota."" This reflects a strong pro-choice stance — keeping abortion legal and accessible — but her documented public statements emphasize legality through the second trimester framework rather than explicitly calling for public funding at all stages.",https://peggyflanagan.com,https://en.wikipedia.org/wiki/Peggy_Flanagan,,"leading the fight to make sure abortion stays legal in Minnesota","leading the fight to make sure abortion stays legal in this state"
-2700002,Peggy Flanagan,campaign-finance,2,"Flanagan's campaign website explicitly states she is ""not taking a dime from corporate PACs,"" a concrete campaign pledge that aligns with strictly limiting corporate donations. This reflects a stance of significantly curtailing corporate money in politics.",https://peggyflanagan.com,,,,
-2700002,Peggy Flanagan,childcare,2,"While serving in the Minnesota House (2015–2019), Flanagan authored multiple bills for employer-provided childcare and state-sponsored childcare assistance. Her campaign website notes she ""led Democrats on childcare issues"" in the state legislature and supports childcare assistance programs, indicating a position of significantly expanding subsidies and provider grants.",https://peggyflanagan.com,https://en.wikipedia.org/wiki/Peggy_Flanagan,,,,
-2700002,Peggy Flanagan,civil-rights,2,"As Lt. Governor, Flanagan created the nation's first Missing and Murdered Indigenous Relatives Office. She also sponsored tribal consultation mandates during her MN House tenure. Her record reflects a consistent commitment to strengthening civil rights enforcement and addressing systemic discrimination, particularly for Indigenous and minority communities.",https://en.wikipedia.org/wiki/Peggy_Flanagan,https://peggyflanagan.com,,,,
-2700002,Peggy Flanagan,climate-change,2,"Flanagan is identified as a progressive Democrat and her campaign platform supports rapid transition to renewable energy and clean energy investments. Her Lt. Gov record includes clean energy investments noted on her campaign site. No evidence of an emergency declaration or total ban on carbon activities, placing her at a rapid renewable transition stance.",https://peggyflanagan.com,https://en.wikipedia.org/wiki/Peggy_Flanagan,,,,
-2700002,Peggy Flanagan,deportation,2,"Flanagan condemned the ICE killing of Renée Good and ""expressed support for abolishing ICE and replacing it, viewing it as beyond reform."" She also criticized a colleague for voting for the Laken Riley Act (which expanded deportation triggers). This record reflects a position of limiting deportations to only those convicted of serious violent crimes.",https://en.wikipedia.org/wiki/Peggy_Flanagan,,,,,
-2700002,Peggy Flanagan,fossil-fuels,2,"Flanagan is a progressive Democrat with a platform supporting clean energy transition and reducing fossil fuel reliance. Her climate and clean energy investment record as Lt. Governor, combined with her progressive coalition alignment, reflects a stance of stopping new fossil fuel permits rather than maintaining current levels or expanding production.",https://peggyflanagan.com,https://en.wikipedia.org/wiki/Peggy_Flanagan,,,,
-2700002,Peggy Flanagan,healthcare,1,"Wikipedia documents that Flanagan ""supports universal healthcare through Medicare for All."" This is the strongest signal available — an explicit Medicare for All endorsement means she supports making healthcare free and available to everyone through a publicly-run system.",https://en.wikipedia.org/wiki/Peggy_Flanagan,https://peggyflanagan.com,,,
-2700002,Peggy Flanagan,housing,2,"Flanagan's campaign website explicitly supports affordable housing programs including Section 8 housing and states she ""made housing investments as Lt. Governor."" This reflects a position of using rent assistance, affordable housing funding, and public investment to address housing costs — not merely tax incentives.",https://peggyflanagan.com,https://en.wikipedia.org/wiki/Peggy_Flanagan,,,,
-2700002,Peggy Flanagan,immigration,2,"Flanagan supports abolishing and replacing ICE, which she views as ""beyond reform,"" and criticized a primary opponent for voting for the Laken Riley Act, which expanded immigration enforcement. This reflects a position of keeping legal immigration open and allowing most residents to access public services regardless of status.",https://en.wikipedia.org/wiki/Peggy_Flanagan,https://peggyflanagan.com,,,,
-2700002,Peggy Flanagan,medicare/aid,1,"Flanagan explicitly endorses Medicare for All (per Wikipedia), which by definition means expanding Medicare to cover everyone regardless of age — the definition of value=1 on this scale.",https://en.wikipedia.org/wiki/Peggy_Flanagan,https://peggyflanagan.com,,,,
-2700002,Peggy Flanagan,same-sex-marriage,1,"Flanagan is documented as an advocate for ""transgender rights"" and ""LGBTQ rights,"" and supported Governor Walz's executive order protecting gender-affirming care. As a progressive Democrat who has consistently championed LGBTQ equality, her position aligns with requiring all states to recognize same-sex marriages with full federal benefits and protections.",https://en.wikipedia.org/wiki/Peggy_Flanagan,https://peggyflanagan.com,,,,
-2700002,Peggy Flanagan,school-vouchers,1,"Flanagan's campaign website states she ""fought for high-quality education access for all backgrounds"" and emphasizes public school investments as Lt. Governor. As a progressive Democrat who led on childcare and public education funding, her record is consistent with fully funding public schools and opposing voucher diversion of taxpayer funds to private institutions.",https://peggyflanagan.com,https://en.wikipedia.org/wiki/Peggy_Flanagan,,,,
-2700002,Peggy Flanagan,taxes,1,"Flanagan co-chaired the Raise the Wage Coalition, successfully pushing to raise Minnesota's minimum wage for the first time in a decade. Her broader progressive platform supporting Medicare for All and expanded public services requires significant revenue, reflecting a stance of significantly raising taxes on wealthy individuals and large corporations to fund more public services.",https://peggyflanagan.com,https://en.wikipedia.org/wiki/Peggy_Flanagan,,,,
-2700002,Peggy Flanagan,trans-athletes,1,"Flanagan is documented as an advocate for ""transgender rights and providing gender-affirming care to transgender youth,"" supporting Governor Walz's executive order protecting gender-affirming care. This consistent LGBTQ advocacy reflects a position of allowing all transgender athletes to compete on teams matching their gender identity without restrictions.",https://en.wikipedia.org/wiki/Peggy_Flanagan,https://peggyflanagan.com,,,,
