cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,2001,"Tracey Mann",Republican,R,REUSE,-20001,true,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
1,2001,"Colin McRoberts",Democratic,D,NEW,-200103,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
1,2001,"Lauren Reinhold",Democratic,D,NEW,-200104,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
1,2001,"Steven Jacob",Libertarian,LIB,NEW,-200105,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; minor-party/independent filing); provisional pre-primary field, cull >= 2026-08-05"
1,2001,"Craig Musser",United Kansas,UK,NEW,-200106,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; minor-party/independent filing); provisional pre-primary field, cull >= 2026-08-05"
2,2002,"Derek Schmidt",Republican,R,REUSE,-20002,true,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
2,2002,"Chad Young",Republican,R,NEW,-200210,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
2,2002,"Don Coover",Democratic,D,NEW,-200211,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
2,2002,"Braeden Curwick",Democratic,D,NEW,-200212,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
3,2003,"Sharice Davids",Democratic,D,REUSE,-20003,true,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
3,2003,"Sarah Preu",Democratic,D,NEW,-200301,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
3,2003,"Eric Jenkins",Republican,R,NEW,-200302,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
3,2003,"Chase LaPorte",Republican,R,NEW,-200303,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
3,2003,"Gavin Solomon",Republican,R,NEW,-200304,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
