full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Glenn Thompson,-42015,abortion,4,"Thompson has a consistent pro-life record: he stated 'Do everything to protect innocent, unborn life,' sponsored legislation protecting infant survivors of abortion (Feb 2019), supports a 20-week ban with only a maternal-life exception, and has voted to defund Planned Parenthood. His record supports restricting abortion to cases of rape, incest, or serious threats to the mother's life (value 4) but stops short of a complete ban with no exceptions (value 5).",https://www.ontheissues.org/PA/Glenn_Thompson.htm,https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),,"""Do everything to protect innocent, unborn life.""","""Do everything to protect innocent, unborn life."""
Glenn Thompson,-42015,civil-rights,4,Thompson voted NO on anti-gay hate crimes enforcement and opposed the Equal Rights Amendment deadline extension (Mar 2021). His record reflects limiting federal civil rights enforcement to clear discrimination cases rather than mandating equity requirements or eliminating all civil rights laws. No evidence of supporting affirmative action programs.,https://www.ontheissues.org/PA/Glenn_Thompson.htm,https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),,,
Glenn Thompson,-42015,climate-change,4,Thompson opposed EPA greenhouse gas regulation and supported barring greenhouse gases from Clean Air Act rules. Wikipedia notes he acknowledges a human contribution to climate change but expressed uncertainty about its degree. His voting pattern reflects letting market forces drive energy transition rather than government mandates or rejecting climate science entirely.,https://www.ontheissues.org/PA/Glenn_Thompson.htm,https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),,,
Glenn Thompson,-42015,deportation,4,"Thompson voted YES on banning DREAMer immigrants from military service (Jun 2016), opposes pathways to citizenship for undocumented immigrants, and supports immigration bans from non-cooperating countries. However, he voted for the Farm Workforce Modernization Act (2021) granting legal status to agricultural workers, placing him at value 4 (deport all without legal status with criminal history prioritized) rather than the most aggressive value 5.",https://www.ontheissues.org/PA/Glenn_Thompson.htm,https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),,,
Glenn Thompson,-42015,fossil-fuels,4,Thompson called for drilling on the Outer Continental Shelf and ANWR as early as 2008 and has consistently supported expanding offshore oil and gas drilling. He opposes EPA greenhouse gas regulation. His position supports expanding drilling permits (value 4) but there is no evidence he has called for removing all environmental restrictions (value 5).,https://www.ontheissues.org/PA/Glenn_Thompson.htm,https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),,"""Drill on the Outer Continental Shelf; drill in ANWR.""","""Drill on the Outer Continental Shelf; drill in ANWR."""
Glenn Thompson,-42015,healthcare,4,Thompson opposes the ACA and has backed full repeal. He supported the Ryan Budget which included Medicare choice and spending cuts. He supports religious exemptions from the individual mandate. His record aligns with value 4: only help the poorest afford healthcare while leaving everyone else to employers and private insurance.,https://www.ontheissues.org/PA/Glenn_Thompson.htm,,,,
Glenn Thompson,-42015,immigration,4,"Thompson opposes a pathway to citizenship for undocumented immigrants, supported banning DREAMers from military service, and favors immigration bans from non-cooperating countries. He also voted for the Farm Workforce Modernization Act (2021), granting legal status to agricultural workers, which distinguishes him from an extreme restrictionist position. His record fits value 4: make it harder to immigrate legally and limit public services to legal residents.",https://www.ontheissues.org/PA/Glenn_Thompson.htm,https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),,,
Glenn Thompson,-42015,medicare/aid,4,"Thompson supported the Ryan Budget, which included Medicare choice (partial privatization) and spending cuts. He has backed full ACA repeal, which would reduce Medicaid coverage. His record aligns with value 4: partially privatize Medicare and reduce Medicaid coverage.",https://www.ontheissues.org/PA/Glenn_Thompson.htm,,,,
Glenn Thompson,-42015,religious-freedom,4,"Thompson called for respecting 'faith-based opposition to same-sex marriage' and supports religious exemptions from the ACA individual mandate. His record aligns with protecting religious freedom and allowing faith-based exemptions from laws that conflict with sincere religious beliefs (value 4), without evidence of supporting complete autonomy for religious organizations in all operations (value 5).",https://www.ontheissues.org/PA/Glenn_Thompson.htm,,,,
Glenn Thompson,-42015,same-sex-marriage,5,"Thompson voted against the Respect for Marriage Act in July 2022, which would have codified same-sex marriage rights — doing so three days before attending his son's same-sex wedding. On the Issues records his position as opposing same-sex marriage and preferring that faith-based opposition be respected. This aligns with value 5: defining marriage as between one man and one woman.",https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),https://www.ontheissues.org/PA/Glenn_Thompson.htm,,"""Respect faith-based opposition to same-sex marriage.""","""Respect faith-based opposition to same-sex marriage."""
