external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-29007,Eric Burlison,abortion,5,"Introduced a bill in January 2025 recognizing personhood at conception, which would effectively ban abortion at all stages with no exceptions. This aligns with the strongest anti-abortion position — a complete ban — rather than a more moderate restriction-only stance.",https://en.wikipedia.org/wiki/Eric_Burlison,,,,
-29007,Eric Burlison,fossil-fuels,5,"Burlison has a 0% lifetime LCV score, having cast 33 anti-environment votes in 2024 and 36 in 2023 with zero pro-environment votes in any tracked year. He voted to block the Methane Polluter Fee and to oppose Arctic drilling protections, reflecting a position of maximizing fossil fuel extraction.",https://www.lcv.org/scorecard/eric-burlison/,https://en.wikipedia.org/wiki/Eric_Burlison,,,
-29007,Eric Burlison,climate-change,5,"Burlison's 0% lifetime LCV score — 0 pro-environment votes and 32–36 anti-environment votes each year from 2023–2025 — reflects comprehensive rejection of climate policy. He voted against clean energy funding, the American Climate Corps, and clean air protections.",https://www.lcv.org/scorecard/eric-burlison/,,,,
-29007,Eric Burlison,healthcare,4,"Burlison supports Medicaid cuts with work requirements and sponsored the Health Care Compact in 2011 to move Missouri away from ACA, indicating he favors a limited safety-net model rather than universal coverage or full privatization.",https://en.wikipedia.org/wiki/Eric_Burlison,https://www.foxnews.com/person/b/eric-burlison,,Medicaid is no longer just aiding the sick. It is a program for people who are able to work and the budget has ballooned as a result. We need to rein it in or watch our debt skyrocket.,Medicaid is no longer just aiding the sick. It is a program for people who are able to work and the budget has ballooned as a result. We need to rein it in or watch our debt skyrocket.
-29007,Eric Burlison,medicare/aid,4,"Burlison publicly advocates for cutting Medicaid and adding work requirements, arguing the program has expanded beyond its original purpose to cover able-bodied workers. He supports significantly restricting these programs rather than expanding or phasing them out entirely.",https://www.foxnews.com/person/b/eric-burlison,https://en.wikipedia.org/wiki/Eric_Burlison,,Medicaid is no longer just aiding the sick. It is a program for people who are able to work and the budget has ballooned as a result. We need to rein it in or watch our debt skyrocket.,Medicaid is no longer just aiding the sick. It is a program for people who are able to work and the budget has ballooned as a result. We need to rein it in or watch our debt skyrocket.
-29007,Eric Burlison,taxes,5,"Burlison voted against the Fiscal Responsibility Act of 2023 because it was not conservative enough on spending cuts. He co-authored a March 2025 op-ed demanding deep Medicaid cuts to address the national debt, and expressed disappointment that the House GOP budget lacked sufficiently large spending reductions.",https://en.wikipedia.org/wiki/Eric_Burlison,https://www.foxnews.com/person/b/eric-burlison,,,
-29007,Eric Burlison,ukraine-support,4,"Burlison voted against House Resolution 149 in March 2024 condemning Russia's abduction of Ukrainian children — one of only nine Republicans to do so. He also voted for H.Con.Res. 21 directing removal of U.S. troops from Syria, indicating a non-interventionist foreign policy that favors reducing rather than increasing aid.",https://en.wikipedia.org/wiki/Eric_Burlison,,,,
-29007,Eric Burlison,misinformation,5,"Burlison was one of only two House representatives to vote against the Take It Down Act (2025), which criminalized non-consensual intimate images including AI deepfakes. His vote against even this narrow content restriction reflects opposition to any government role in content moderation.",https://en.wikipedia.org/wiki/Eric_Burlison,,,,
-29005,Emanuel Cleaver,abortion,2,"Cleaver has a strong pro-choice record: NARAL-endorsed, NRLC-rated 9%, cosponsored the Women's Health Protection Act (which removes state restrictions on abortion through viability), and voted NO on the Pain-Capable Unborn Child Protection Act (20-week ban) in 2015. His record supports keeping abortion legal through the second trimester with exceptions, but no documented stance on public funding at all stages.",https://www.ontheissues.org/House/Emanuel_Cleaver.htm,https://www.ontheissues.org/House/Emanuel_Cleaver_Abortion.htm,,Access safe,legal abortion without restrictions
-29005,Emanuel Cleaver,campaign-finance,2,"Cleaver cosponsored the DISCLOSE Act (2012) to mandate disclosure of independent campaign expenditures from dark money groups, and the Government By the People Act (2014) establishing a public small-donor matching program with 6-to-1 federal funds. His record supports strictly limiting corporate and dark money while not calling for a full ban on private political spending.",https://www.ontheissues.org/House/Emanuel_Cleaver_Government_Reform.htm,,,,
