external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-31003,Adrian Smith,abortion,4,"Smith has consistently opposed abortion beyond narrow circumstances: he voted to ban abortion after 20 weeks except to protect the mother's life, sponsored legislation protecting infant survivors of failed abortions (2019), and supports granting 14th Amendment personhood to the unborn. He has not called for a total ban with criminal penalties on patients.",https://www.ontheissues.org/House/Adrian_Smith.htm,https://www.ontheissues.org/Adrian_Smith.htm,,Prohibit transporting minors across state lines for abortion,"Prohibit transporting minors across state lines for abortion"
-31003,Adrian Smith,campaign-finance,3,"Smith voted YES on requiring lobbyist disclosure of bundled donations (2007), indicating support for transparency measures but without strong restrictions on corporate donations or dark money; no evidence of broader reform advocacy.",https://www.ontheissues.org/Adrian_Smith.htm,,,,
-31003,Adrian Smith,civil-rights,5,"Smith voted NO on reauthorizing the Violence Against Women Act (2013), NO on prohibiting job discrimination based on sexual orientation (2007), and NO on enforcing anti-gay hate crimes legislation (2009), reflecting a position against expanding civil rights enforcement and federal equity mandates.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,
-31003,Adrian Smith,climate-change,5,"Smith signed the No Climate Tax Pledge, voted YES on barring the EPA from regulating greenhouse gases (2011), and opposes tax incentives for renewable energy. His record reflects a rejection of climate regulation in favor of economic priorities.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,
-31003,Adrian Smith,fossil-fuels,4,"Smith voted YES on opening the Outer Continental Shelf to oil drilling (2011) and consistently supports expanding domestic fossil fuel production. He has not called for removing all environmental restrictions.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,
-31003,Adrian Smith,healthcare,4,"Smith called the ACA a 'job-killing' law and voted to repeal it, voted NO on expanding the Children's Health Insurance Program (2009), and opposed negotiated Medicare drug prices (2007). He supports the Ryan Budget's 'Medicare choice' model but has not called for fully eliminating government healthcare.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,Repeal the Job-Killing Health Care Law,"Repeal the Job-Killing Health Care Law"
-31003,Adrian Smith,immigration,4,"Smith advocates ending birthright citizenship ('no more anchor babies'), was rated A+ by an anti-amnesty organization (2010), and supports declaring English the official U.S. language. He supports significantly reducing immigration and limiting public services for those without legal status.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,End Birthright Citizenship; no more anchor babies,"End Birthright Citizenship; no more anchor babies"
-31003,Adrian Smith,deportation,4,"Smith's immigration record — A+ anti-amnesty rating, opposition to birthright citizenship, and English-only advocacy — indicates support for deporting undocumented residents prioritizing criminal histories first, consistent with 'all without legal status' enforcement rather than a stated mass-immediate-deportation position.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,,
-31003,Adrian Smith,medicare/aid,4,"Smith voted NO on expanding CHIP (2009), opposed negotiated Medicare drug prices, and supports the Ryan Budget approach of 'Medicare choice' (partial privatization). He has not called for fully phasing out both programs.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,,
-31003,Adrian Smith,same-sex-marriage,4,"Smith voted NO on job discrimination protections based on sexual orientation (2007) and NO on anti-gay hate crimes enforcement (2009). No documented anti-recognition vote or explicit support for a one-man-one-woman constitutional amendment was found, placing him at value 4 rather than 5.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,,
-31003,Adrian Smith,school-vouchers,4,"Smith voted YES on reauthorizing the DC Opportunity Scholarship program (2011) and opposes Common Core State Standards (2014). He supports expanding parental school choice through vouchers but no evidence of universal-voucher advocacy.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,,
-31003,Adrian Smith,social-security,5,"Smith was rated 9% by the American Retirement Association (reflecting a pro-privatization voting record), indicating strong support for transitioning Social Security toward private investment accounts. This aligns with his Club for Growth backing and fiscal conservative positions.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,,
-31003,Adrian Smith,tariffs,3,"As chair of the House Ways and Means Subcommittee on Trade, Smith supports USMCA ('Implement USMCA for improved North American trade') and promoted free trade with Peru, indicating a selective/managed-trade approach rather than either pure free trade or high across-the-board tariffs.",https://www.ontheissues.org/House/Adrian_Smith.htm,https://en.wikipedia.org/wiki/Adrian_Smith_(politician),,,Implement USMCA for improved North American trade,"Implement USMCA for improved North American trade"
-31003,Adrian Smith,taxes,5,"Smith signed the Taxpayer Protection Pledge (no new taxes under any circumstances), advocates repealing the estate tax ('Death Tax'), voted NO on closing offshore business tax loopholes (2007), and is backed by the Club for Growth. This reflects a position of drastically cutting taxes and shrinking government.",https://www.ontheissues.org/Adrian_Smith.htm,https://www.ontheissues.org/House/Adrian_Smith.htm,,,Taxpayer Protection Pledge: no new taxes,"Taxpayer Protection Pledge: no new taxes"
-31003,Adrian Smith,voting-rights,4,"Smith opposed same-day voter registration and voted against certifying the 2020 presidential election results (January 2021). These positions align with requiring photo ID and stricter voter roll maintenance, though no evidence of a mandate for in-person-only voting.",https://www.ontheissues.org/House/Adrian_Smith.htm,https://en.wikipedia.org/wiki/Adrian_Smith_(politician),,,,
