full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Daniel Webster,,abortion,5,"Webster co-sponsored the Life at Conception Act (HR 722, 2025), the Heartbeat Protection Act (HR 682, 2025), the Protecting the Dignity of Unborn Children Act (HR 686, 2025), and a bill to nullify FDA mifepristone modifications (HR 679). Wikipedia documents he opposes abortion under all circumstances with no exceptions for rape or incest.",https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=200,,,
Daniel Webster,,childcare,4,"Webster co-sponsored the Respect Parents' Childcare Choices Act (HR 2282, 2025), framed around reducing government mandates and expanding parental control. His broader record shows no support for universal subsidies or public childcare programs, consistent with reducing regulations while keeping limited subsidies for the lowest-income families.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=100,,,,
Daniel Webster,,civil-rights,5,"Webster received a 0 rating from the Human Rights Campaign and co-sponsored the First Amendment Defense Act (per Wikipedia), which broadly protects religious and conscience-based exemptions that can override civil rights protections. His voting record shows consistent opposition to anti-discrimination expansions and race-based federal programs.",https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),https://www.lcv.org/congressional-scorecard/moc/daniel-webster,,,
Daniel Webster,,climate-change,5,"Webster scored 0% from the League of Conservation Voters in 2025 (lifetime 5%). He co-sponsored H.J.RES 88 and 89 opposing EPA emissions standards, and sponsored the America First Energy Act (HR 1365, 2025). He consistently votes against climate-related investments and clean air measures, prioritizing economic activity over environmental regulation.",https://www.lcv.org/congressional-scorecard/moc/daniel-webster,https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=50,https://api.congress.gov/v3/member/W000806/sponsored-legislation?limit=20&api_key=DEMO_KEY,,
Daniel Webster,,deportation,5,"Webster co-sponsored the Alien Removal Not Resort Stays Act (HR 1485), the SAFE for America Act (HR 1241), the CARTEL Act (HR 1079), the No Bailout for Sanctuary Cities Act (HR 32), and the Preventing Violence Against Women by Illegal Aliens Act (HR 30), all in 2025. This suite of bills reflects support for aggressive removal of undocumented immigrants with no carve-outs for family ties or length of residence.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=150,https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=200,,,
Daniel Webster,,fossil-fuels,5,"Webster scored 0% from the LCV in 2025 (lifetime 5%) and co-sponsored the Cutting LNG Bunkering Red Tape Act (HR 4760), a bill to expand offshore critical minerals extraction (HR 4018), and the Energy Choice Act (HR 3699). He sponsored the America First Energy Act (HR 1365). His record reflects support for removing environmental restrictions and maximizing fossil fuel production.",https://www.lcv.org/congressional-scorecard/moc/daniel-webster,https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=50,https://api.congress.gov/v3/member/W000806/sponsored-legislation?limit=20&api_key=DEMO_KEY,,
Daniel Webster,,healthcare,4,"Webster has no co-sponsorships of healthcare expansion bills. He co-sponsored the No Abortion Coverage for Medicaid Act (HR 719, 2025) and sponsored the HEALTH Act (HR 6167, 2025) — a market-based taxation-and-healthcare measure. His overall record supports limited government involvement providing assistance only to the poorest while leaving others to private insurance.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc,https://api.congress.gov/v3/member/W000806/sponsored-legislation?limit=20&api_key=DEMO_KEY,,,
Daniel Webster,,immigration,5,"Webster co-sponsored the Birthright Citizenship Act (HR 569, 2025) to restrict birthright citizenship, the SAVE Act (HR 22) requiring proof of citizenship to vote, the CARTEL Act (HR 1079), and multiple anti-sanctuary and enforcement bills in 2025. His record reflects support for restricting legal immigration pathways and blocking public services for those without legal status.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=150,https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=200,https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),,
Daniel Webster,,medicare/aid,4,"Webster co-sponsored the Medicare Audiology Access Improvement Act (HR 2757, 2025) — a modest Medicare expansion — indicating he does not favor phasing out Medicare entirely. However, his co-sponsorship of the No Abortion Coverage for Medicaid Act (HR 719) and broader conservative record align with partial privatization and reduced Medicaid coverage.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=50,https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc,,,
Daniel Webster,,religious-freedom,5,"Wikipedia documents Webster co-sponsored the First Amendment Defense Act, which would prohibit the federal government from taking action against entities acting on religious beliefs about marriage or sexuality — effectively granting religious organizations complete autonomy in operations and hiring. His HRC score of 0 and consistent conservative record reinforce this position.",https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),,,,
Daniel Webster,,same-sex-marriage,5,"Wikipedia states Webster does not support same-sex marriage and he received a 0 rating from the Human Rights Campaign. He co-sponsored the First Amendment Defense Act, which would protect entities refusing to recognize same-sex marriages. His legislative record contains no vote or co-sponsorship in support of marriage equality.",https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),,,,
Daniel Webster,,school-vouchers,5,"Webster co-sponsored the Educational Choice for Children Act of 2025 (HR 833), a universal tax-credit scholarship program allowing education funding to follow students to any school including private and religious ones. He also co-sponsored a resolution supporting National School Choice Week (H.RES 974, 2024), consistent with a universal voucher position.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=300,https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=250,,,
Daniel Webster,,taxes,4,"Webster voted for the Tax Cuts and Jobs Act of 2017 and co-sponsored the Death Tax Repeal Act (HR 1301, 2025) and the American Innovation Act (HR 1778, 2025). Wikipedia quotes him saying the TCJA allows Americans to keep more money in their pockets. His record reflects support for broad tax cuts across income levels scaled back from current rates.",https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=200,,"it allows Americans to keep more money in their pockets","it allows Americans to keep more money in their pockets"
Daniel Webster,,trans-athletes,4,"Webster co-sponsored the Protection of Women and Girls in Sports Act of 2025 (HR 28) and the Protection of Women in Olympic and Amateur Sports Act of 2026 (HR 1028), plus a resolution on NCAA eligibility for women's sports (H.RES 47). These bills require transgender women to compete on teams matching their biological sex assigned at birth.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=200,https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=150,,,
Daniel Webster,,voting-rights,4,"Webster co-sponsored the SAVE Act (HR 22, 2025), which requires documentary proof of citizenship to register to vote — a restrictive eligibility requirement. He also signed an amicus brief supporting Texas v. Pennsylvania contesting 2020 election results (Wikipedia). His record supports strict voter eligibility requirements consistent with requiring photo ID and maintaining tight voter rolls.",https://api.congress.gov/v3/member/W000806/cosponsored-legislation?api_key=DEMO_KEY&limit=50&sort=updateDate+desc&offset=150,https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),,,
