external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-28004,Mike Ezell,abortion,4,"Ezell has publicly campaigned on pro-life policies and opposes abortion rights. Wikipedia describes his platform as supporting pro-life policies and American family values, consistent with restricting abortion to cases of rape, incest, or serious threats to the mother's life, rather than a complete ban.",https://en.wikipedia.org/wiki/Mike_Ezell,,,,
-28004,Mike Ezell,civil-rights,4,"Ezell sponsored House Resolution 106 condemning efforts to defund police, which passed the House in the 118th Congress. His platform emphasizes law enforcement protection and American family values, consistent with limiting federal civil rights enforcement to clear cases of discrimination rather than addressing systemic discrimination.",https://en.wikipedia.org/wiki/Mike_Ezell,,,,
-28004,Mike Ezell,climate-change,5,"Ezell's LCV (League of Conservation Voters) lifetime score is 1%, with a 2025 score of 3%, reflecting 1 pro-environment vote against 32 anti-environment votes in 2025 alone. This voting pattern of near-total opposition to environmental protections — including clean air, clean energy, and climate measures — aligns with rejecting climate change policies and focusing on economic growth.",http://www.lcv.org/scorecard/mike-ezell/,https://en.wikipedia.org/wiki/Mike_Ezell,,,
-28004,Mike Ezell,fossil-fuels,5,"Ezell's LCV lifetime score of 1% reflects consistent opposition to environmental regulations including votes against methane pollution fees, clean vehicle emissions standards, and other fossil fuel restrictions. His subcommittee seat on Energy and Mineral Resources further indicates support for maximizing fossil fuel extraction with minimal regulatory barriers.",http://www.lcv.org/scorecard/mike-ezell/,https://en.wikipedia.org/wiki/Mike_Ezell,,,
-28004,Mike Ezell,immigration,4,"Ezell has made stronger border security a central campaign and legislative priority, including discussing border security measures publicly. His general platform is focused on restricting immigration and limiting public services for those without legal status, consistent with making it harder to immigrate and limiting services to those with legal status.",https://en.wikipedia.org/wiki/Mike_Ezell,,,,
-28004,Mike Ezell,deportation,4,"Ezell has been a consistent advocate for stronger border enforcement and security. His positions on immigration enforcement align with deporting all people without legal status starting with those who have criminal records, though specific documentation of a position on deporting long-term residents regardless of family ties was not found.",https://en.wikipedia.org/wiki/Mike_Ezell,,,,
-28004,Mike Ezell,taxes,4,"Ezell signed the Americans for Tax Reform Taxpayer Protection Pledge, committing to oppose any and all efforts to raise taxes. This pledge reflects a position of cutting taxes and scaling back public services rather than maintaining current levels or raising taxes on higher earners.",https://en.wikipedia.org/wiki/Mike_Ezell,https://www.atr.org/taxpayer-protection-pledge/,,,
-28003,Michael Guest,abortion,5,"Guest co-sponsored the Born-Alive Abortion Survivors Protection Act and legislation declaring life begins at conception (no exceptions), joined the Congressional Pro-Life Caucus, and demanded federal action to protect crisis pregnancy centers. Co-sponsoring Life at Conception legislation — which allows no exceptions — aligns with a complete ban on abortion.",https://www.ontheissues.org/House/Michael_Guest_Abortion.htm,https://en.wikipedia.org/wiki/Michael_Guest_(politician),,"""By joining the Congressional Pro-Life Caucus, I join other Members of Congress in our mission to support life.""","""By joining the [Pro-Life] Caucus, I join other Members of Congress in our mission to support life."""
-28003,Michael Guest,tariffs,4,"Guest described himself as a free trader who supports tariffs specifically against countries ""acting unfairly"" toward the U.S., matching chair 4. He voted for USMCA but expressed concern about broad Trump tariffs hurting Mississippi farmers — indicating selective rather than universal tariff support.",https://www.ontheissues.org/House/Michael_Guest_Free_Trade.htm,,,,
-28003,Michael Guest,taxes,4,"Guest praised the Trump tax cuts as giving ""relief to job creators,"" voted NO on the $1.9 trillion American Rescue Plan citing excessive debt and spending, and consistently opposes tax increases on higher earners. His record aligns with cutting taxes and scaling back government spending.",https://www.ontheissues.org/House/Michael_Guest.htm,https://www.ontheissues.org/House/Michael_Guest_Budget_+_Economy.htm,,"""Trump tax reform gave relief to job creators.""","""[The recent] tax reform gave relief to job creators."""
