external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-13012,Rick W. Allen,abortion,4,"Allen cosponsored the Pain-Capable Unborn Child Protection Act banning abortion after 20 weeks with a maternal life exception, and stated he supports abortion only to save the life of the mother. He also cosponsored the Life at Conception Act and the No Taxpayer Funding for Abortion Act, placing him at restrict-to-life-threatening-cases.",https://www.ontheissues.org/GA/Rick_Allen_Abortion.htm,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,,,
-13012,Rick W. Allen,civil-rights,5,"Allen opposes LGBTQ civil rights protections, stated that supporting LGBT workplace protections was 'defying Christian tenets,' and opposes all race-based government programs per Christian Coalition survey responses. His record aligns with eliminating affirmative action and all identity-based federal programs.",https://www.ontheissues.org/GA/Rick_Allen_Civil_Rights.htm,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,"supporting LGBT workplace protections was 'defying Christian tenets'","supporting LGBT workplace protections was 'defying Christian tenets'"
-13012,Rick W. Allen,climate-change,5,"Allen has a lifetime LCV score of 1% and a 2025 score of 0%, casting 33 anti-environment votes in 2025 alone. He supports fossil fuel expansion and opposes climate action legislation, consistent with rejecting climate policies in favor of economic growth.",https://www.lcv.org/congressional-scorecard/moc/rick-allen,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,,,
-13012,Rick W. Allen,deportation,4,"Allen called for immediate border security and stated 'We must immediately secure the border, enforce the laws we currently have on the books, and block any solution that includes amnesty for illegals.' He voted to ban DACA recipients from military service, prioritizing deportation of all without legal status.",https://www.ontheissues.org/GA/Rick_Allen_Immigration.htm,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,"We must immediately secure the border, enforce the laws we currently have on the books, and block any solution that includes amnesty for illegals.","We must immediately secure the border, enforce the laws we currently have on the books, and block any solution that includes amnesty for illegals."
-13012,Rick W. Allen,fossil-fuels,4,"Allen consistently opposes environmental restrictions on fossil fuel production, supports increased domestic oil and offshore drilling, and has voted against clean energy funding. His LCV score of 0–1% reflects near-universal support for fossil fuel interests over environmental protections.",https://www.lcv.org/congressional-scorecard/moc/rick-allen,https://www.ontheissues.org/GA/Rick_Allen.htm,,,,
-13012,Rick W. Allen,healthcare,4,"Allen marked 'Strongly Disagree' that government is responsible for ensuring everyone has healthcare coverage, pledged to 'repeal ObamaCare and push for market-driven reforms,' and supports limiting government healthcare assistance to only the poorest individuals.",https://www.ontheissues.org/GA/Rick_Allen_Health_Care.htm,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,"repeal ObamaCare and push for market-driven reforms rather than more big government solutions","repeal ObamaCare and push for market-driven reforms rather than more big government solutions"
-13012,Rick W. Allen,immigration,4,"Allen opposes amnesty and pathways to citizenship, advocates strict enforcement of existing immigration laws, and has voted to restrict immigrant access to public programs including military service. He supports making legal immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/GA/Rick_Allen_Immigration.htm,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,,,
-13012,Rick W. Allen,medicare/aid,4,"Allen supported ACA repeal which would have eliminated Medicaid expansion, and while he criticized ACA for cutting Medicare he favors market-driven healthcare over government programs. His broader record of opposing government healthcare responsibility is consistent with partially privatizing Medicare and reducing Medicaid coverage.",https://www.ontheissues.org/GA/Rick_Allen_Health_Care.htm,https://www.ontheissues.org/GA/Rick_Allen.htm,,,,
-13012,Rick W. Allen,religious-freedom,5,"Allen cosponsored the First Amendment Defense Act protecting faith-based contractors' right to decline services on religious grounds, opposed any federal requirement for religious organizations to recognize same-sex relationships, and stated that LGBTQ workplace protections 'defied Christian tenets.' He supports complete autonomy for religious organizations in their operations.",https://www.ontheissues.org/GA/Rick_Allen_Civil_Rights.htm,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,,,
-13012,Rick W. Allen,same-sex-marriage,5,"Allen voted against the Respect for Marriage Act (2022), cosponsored a resolution opposing the Obergefell v. Hodges ruling, and pledged to 'fight any efforts to redefine marriage,' defining marriage as between a man and a woman. He read Bible verses at a Republican caucus meeting characterizing homosexuality as 'worthy of death.'",https://www.ontheissues.org/GA/Rick_Allen_Civil_Rights.htm,https://en.wikipedia.org/wiki/Rick_Allen_(politician),,"I will fight any efforts to redefine marriage.","I will fight any efforts to redefine marriage."
