full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Mary Gay Scanlon,-42005,abortion,2,"Scanlon voted for the Women's Health Protection Act in 2021 and 2022 (keeping abortion legal and accessible) and voted against every anti-abortion bill in the 118th Congress, earning a perfect 100% score from Reproductive Freedom for All. Her record aligns with keeping abortion legal and accessible, not with public funding at all stages, matching stance 2.",https://reproductivefreedomforall.org/politicians/mary-gay-scanlon/,https://www.ontheissues.org/PA/Mary_Gay_Scanlon.htm,,,
Mary Gay Scanlon,-42005,healthcare,2,"Scanlon stated she wants to 'repair the Affordable Care Act and move toward universal health coverage,' supporting a mix of public program expansion and regulated private insurance rather than a single-payer system. She has consistently backed ACA expansion and opposed efforts to repeal it, aligning with stance 2.",https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Health_Care.htm,https://en.wikipedia.org/wiki/Mary_Gay_Scanlon,,"I very strongly want to repair the Affordable Care Act, and then see what we can do to extend it, to move toward universal health coverage.","I very strongly want to repair the Affordable Care Act, and then see what we can do to extend it, to move toward universal health coverage."
Mary Gay Scanlon,-42005,climate-change,2,"Scanlon has a 99% lifetime LCV score and a perfect 100% in 2023-2025, voted for the Inflation Reduction Act (major climate investment), and supports rejoining the Paris Climate Accord and strengthening the EPA. Her record reflects rapidly transitioning to clean energy rather than an emergency ban on all carbon activities, matching stance 2.",https://www.lcv.org/congressional-scorecard/moc/mary-gay-scanlon,https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Environment.htm,https://en.wikipedia.org/wiki/Mary_Gay_Scanlon,,
Mary Gay Scanlon,-42005,fossil-fuels,2,"Scanlon's 99% lifetime LCV score and consistent pro-environment voting record (100% in 2023-2025) indicate she opposes new fossil fuel expansion. She voted for the Clean Economy Jobs and Innovation Act and the Inflation Reduction Act, which shifted investment to renewables. Her record aligns with stopping new permits for fossil fuel drilling (stance 2) rather than an immediate ban on all existing extraction.",https://www.lcv.org/congressional-scorecard/moc/mary-gay-scanlon,https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Energy_+_Oil.htm,,,
Mary Gay Scanlon,-42005,immigration,2,"Scanlon supports creating a pathway to citizenship for undocumented residents, co-sponsored the NO BAN Act (prohibiting religious discrimination in immigration), supported increased visa caps, and has called for 'common sense immigration reform' to simplify rules while maintaining security. Her record aligns with keeping legal immigration open and letting most residents use public services regardless of status, matching stance 2.",https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Immigration.htm,https://en.wikipedia.org/wiki/Mary_Gay_Scanlon,,,
Mary Gay Scanlon,-42005,deportation,2,"Scanlon has advocated for pathways to citizenship for resident immigrants, supported closing private immigration detention facilities, and backed humane immigration processes addressing the refugee crisis. She has not called for mass deportation of long-term residents, and her record aligns with only deporting immigrants who commit serious violent crimes (stance 2).",https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Immigration.htm,https://www.ontheissues.org/PA/Mary_Gay_Scanlon.htm,,,
Mary Gay Scanlon,-42005,voting-rights,1,"Scanlon co-sponsored legislation establishing automatic voter registration, same-day registration, and online registration. She voted for the For the People Act, which includes election day as a federal holiday, expanded early voting, and no-fault absentee balloting. She also reauthorized the Voting Rights Act and sponsored the Disability Voting Rights Act, aligning with stance 1 (automatically register all eligible citizens and allow online voting).",https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Government_Reform.htm,https://en.wikipedia.org/wiki/Mary_Gay_Scanlon,,,
Mary Gay Scanlon,-42005,redistricting,2,"Scanlon co-sponsored bills requiring states to establish independent, nonpartisan redistricting commissions to conduct congressional redistricting and remove partisan gerrymandering from the process. This aligns with stance 2 (independent redistricting commissions with equal representation from both major parties) rather than citizens-only commissions with no officials.",https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Government_Reform.htm,https://www.ontheissues.org/PA/Mary_Gay_Scanlon.htm,,,
Mary Gay Scanlon,-42005,campaign-finance,2,"Scanlon voted for the For the People Act, which expands disclosure rules for political donations and establishes an alternative public campaign funding system with federal matching of small contributions. This aligns with stance 2 (strictly limiting corporate donations and dark money groups) rather than a complete ban on private money.",https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Government_Reform.htm,https://www.ontheissues.org/PA/Mary_Gay_Scanlon.htm,,,
Mary Gay Scanlon,-42005,social-security,2,"Scanlon received an endorsement from the National Committee to Preserve Social Security and Medicare for protecting the programs, and as a Congressional Progressive Caucus member has consistently opposed benefit cuts and privatization. Her record aligns with modestly increasing benefits while raising taxes on higher earners to strengthen the program (stance 2).",https://www.ontheissues.org/PA/Mary_Gay_Scanlon_Social_Security.htm,https://en.wikipedia.org/wiki/Mary_Gay_Scanlon,,,
