full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Michael Lawler,,abortion,3,"Lawler has stated he opposes abortion except in cases of rape, incest, or maternal health, and opposes a federal ban on abortion. This places him at value=3 (allow abortion in first trimester and in cases of rape, incest, or maternal health risks).",https://www.ontheissues.org/NY/Michael_Lawler.htm,https://en.wikipedia.org/wiki/Mike_Lawler,,,"Abortion disallowed except rape, incest, & maternal health","Abortion disallowed except rape, incest, & maternal health"
Michael Lawler,,civil-rights,4,"Lawler has said bigotry is concerning but opposes reparations, and opposes mandatory hiring requirements for women and minorities. He opposes race-based government programs, aligning with limiting federal civil rights enforcement to clear cases of discrimination.",https://www.ontheissues.org/NY/Michael_Lawler.htm,https://en.wikipedia.org/wiki/Mike_Lawler,,"Bigotry & extremism's rise is concerning; but no reparations","Bigotry & extremism's rise is concerning; but no reparations"
Michael Lawler,,climate-change,4,"Lawler is a member of the Climate Solutions Caucus, which frames climate action in market-oriented terms. His 2025 LCV score is only 12% (lifetime 17%), reflecting consistent votes against clean energy, methane regulations, and environmental protections — indicating he relies on market forces rather than mandates.",https://en.wikipedia.org/wiki/Mike_Lawler,https://www.lcv.org/scorecard/michael-lawler/,https://en.wikipedia.org/wiki/Climate_Solutions_Caucus,,
Michael Lawler,,deportation,3,"Lawler co-sponsored the DIGNIDAD Act (2026) offering legal status to up to 12 million undocumented immigrants paired with stricter border enforcement, and voted in April 2026 for Haitian TPS against Trump's position. His approach focuses on recent border crossers via enforcement while offering long-term residents a legal pathway.",https://en.wikipedia.org/wiki/Mike_Lawler,https://en.wikipedia.org/wiki/DIGNIDAD_Act,,,
Michael Lawler,,fossil-fuels,4,"Lawler stated 'Yes fracking; environmental regulations cost jobs' in 2022, and his 12% LCV score reflects repeated votes against environmental restrictions. His position supports expanding fossil fuel production while opposing regulations he views as economically harmful.",https://www.ontheissues.org/NY/Michael_Lawler.htm,https://www.lcv.org/scorecard/michael-lawler/,,"Yes fracking; environmental regulations cost jobs","Yes fracking; environmental regulations cost jobs"
Michael Lawler,,healthcare,4,"Lawler stated 'No COVID mandate; no government takeover of healthcare' in 2022 and voted for the One Big Beautiful Bill (July 2025), which cut Medicaid by over $1.2 trillion and added work requirements — significantly reducing government health coverage for low-income Americans.",https://www.ontheissues.org/NY/Michael_Lawler.htm,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,"No COVID mandate; no government takeover of healthcare","No COVID mandate; no government takeover of healthcare"
Michael Lawler,,immigration,3,"Lawler has called for closing 'the back door of illegal immigration' while also co-sponsoring the DIGNIDAD Act to create legal pathways for long-term undocumented residents, and voting for Haitian TPS. This balancing act reflects a maintain-current-levels approach with selective reform rather than expansion or restriction.",https://www.ontheissues.org/NY/Michael_Lawler.htm,https://en.wikipedia.org/wiki/Mike_Lawler,,,
Michael Lawler,,medicare/aid,4,"Lawler voted for the One Big Beautiful Bill (July 3, 2025), which cuts Medicaid by over $1.2 trillion, adds work requirements for Medicaid recipients, and reverses aspects of Medicare's price negotiation program — aligning with partially privatizing Medicare and reducing Medicaid coverage.",https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Mike_Lawler,,,
Michael Lawler,,religious-freedom,4,"Lawler has said 'Religious liberty is at risk; respect religious freedom' (2022) and has consistently supported protecting religious practice. This aligns with allowing faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/NY/Michael_Lawler.htm,,,"Religious liberty is at risk; respect religious freedom","Religious liberty is at risk; respect religious freedom"
Michael Lawler,,same-sex-marriage,2,"Lawler supports same-sex marriage and stated he would have voted for the Respect for Marriage Act (2022), which requires federal recognition of same-sex marriages while preserving some protections for religious organizations declining to participate. This aligns with value=2: allow SSM nationwide while protecting some organizations' right to decline.",https://en.wikipedia.org/wiki/Mike_Lawler,https://en.wikipedia.org/wiki/Respect_for_Marriage_Act,,,
