external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-13007,Richard McCormick,abortion,5,"McCormick cosponsored the Life at Conception Act in January 2025, which recognizes personhood at conception with no exceptions. His 2022 iVoterGuide response explicitly stated ""No exceptions"" when asked under what circumstances abortion should be allowed, and he strongly agreed that abortion providers should receive no federal funding.",https://en.wikipedia.org/wiki/Rich_McCormick,https://www.ontheissues.org/GA/Rich_McCormick_Abortion.htm,,"No exceptions.",
-13007,Richard McCormick,healthcare,4,"McCormick selected the position that ""Medicaid and Medicare should remain available, but no other taxpayer-funded programs are necessary,"" opposing any expansion of government health programs beyond existing ones. He opposes vaccine mandates by any entity and has not endorsed universal or public-option coverage.",https://www.ontheissues.org/GA/Rich_McCormick_Health_Care.htm,,,,,
-13007,Richard McCormick,fossil-fuels,5,"McCormick strongly supports fracking and selected the position that ""stricter environmental laws and regulations cost too many jobs and hurt the economy."" His LCV score is 0% lifetime, with 33 anti-environment votes and 0 pro-environment votes in 2025, indicating support for maximizing fossil fuel extraction with minimal restrictions.",https://www.ontheissues.org/GA/Rich_McCormick_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/rich-mccormick,,,,
-13007,Richard McCormick,climate-change,5,"McCormick has a lifetime LCV score of 0% (33 anti-environment votes in 2025 alone, 0 pro-environment). He supports fracking and frames environmental regulations as job-killers, indicating he rejects climate change policies and prioritizes economic growth.",https://www.lcv.org/congressional-scorecard/moc/rich-mccormick,https://www.ontheissues.org/GA/Rich_McCormick_Energy_+_Oil.htm,,,,
-13007,Richard McCormick,immigration,5,"McCormick strongly agrees the southern border must be physically secured and that federal funding should be withheld from sanctuary cities. He stated his top priority is ""locking down the southern border and enforcing the rule of law"" and calls for deporting all criminal illegal immigrants.",https://www.ontheissues.org/GA/Rich_McCormick_Immigration.htm,https://www.ontheissues.org/GA/Rich_McCormick_Civil_Rights.htm,,"Right now, our top priority should be locking down the southern border and enforcing the rule of law.","Right now, our top priority should be locking down the southern border and enforcing the rule of law."
-13007,Richard McCormick,deportation,5,"McCormick calls for finishing the border wall, doubling down on interior enforcement, and deporting ""all criminal illegal immigrants immediately."" His positions do not carve out protections for long-term residents, aligning with immediate broad deportation.",https://www.ontheissues.org/GA/Rich_McCormick_Civil_Rights.htm,https://www.ontheissues.org/GA/Rich_McCormick_Immigration.htm,,,,
-13007,Richard McCormick,taxes,4,"McCormick strongly agrees that government should cut spending to reduce the national debt, strongly disagrees with income redistribution, and supports tax cuts for American families and regulatory relief for small businesses. He favors broad tax cuts but has not called for a flat tax or full government elimination.",https://www.ontheissues.org/GA/Rich_McCormick_Corporations.htm,,,,
-13007,Richard McCormick,civil-rights,5,"McCormick strongly disagrees with Critical Race Theory, strongly opposes reparations, and strongly disagrees that sexual orientation or gender identity should be protected classes under non-discrimination law, indicating he opposes affirmative action and race-based government programs.",https://www.ontheissues.org/GA/Rich_McCormick_Civil_Rights.htm,,,,
-13007,Richard McCormick,religious-freedom,5,"McCormick strongly agrees that religious liberty deserves the highest legal protection in the United States and strongly disagrees that individuals or businesses should be required to provide services that violate their moral or religious beliefs, supporting complete autonomy for religious organizations.",https://www.ontheissues.org/GA/Rich_McCormick_Principles_+_Values.htm,,,"People of faith must be protected under the law.","People of faith must be protected under the law."
-13007,Richard McCormick,voting-rights,4,"McCormick stated he wants to ""ban drop boxes and ballot harvesting"" and supports strict photo ID requirements. His positions favor vote-security restrictions consistent with value 4, but he has not explicitly called to eliminate all mail-in voting.",https://www.ontheissues.org/GA/Rich_McCormick_Government_Reform.htm,,,"Ban drop boxes and ballot harvesting.","Ban drop boxes and ballot harvesting."
-13007,Richard McCormick,medicare/aid,4,"McCormick stated the government must make ""hard decisions"" about Social Security, Medicaid, and Medicare and that ""hundreds of billions of dollars"" could be saved, signaling support for benefit reductions. His healthcare survey position that Medicaid and Medicare should remain — but nothing new added — is consistent with partial privatization and coverage reductions.",https://en.wikipedia.org/wiki/Rich_McCormick,https://www.ontheissues.org/GA/Rich_McCormick_Health_Care.htm,,"We got to bring the Democrats in to talk about Social Security, Medicaid, Medicare. There's hundreds of billions of dollars to be saved.","We got to bring the Democrats in to talk about Social Security, Medicaid, Medicare. There's hundreds of billions of dollars to be saved."
-13007,Richard McCormick,social-security,4,"McCormick identified Social Security as one of the programs where ""hundreds of billions of dollars"" can be saved. He favors structural reforms and spending cuts to the program but has not endorsed full privatization to individual investment accounts.",https://en.wikipedia.org/wiki/Rich_McCormick,,,,
