external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-29008,Jason Smith,abortion,4,"Smith sponsored a bill to protect infant survivors of abortion (Feb 2019), backed a 20-week abortion ban with an exception only for maternal life (May 2015), and sought to include pre-born humans in 14th Amendment protections (Feb 2015). These positions restrict abortion to cases involving serious threats to the mother's life, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,https://en.wikipedia.org/wiki/Jason_T._Smith,,,
-29008,Jason Smith,civil-rights,5,"Smith is a member of the Republican Study Committee and has consistently opposed race-based government programs and affirmative action. His record reflects the elimination of race-based federal programs, matching stance 5.",https://www.ontheissues.org/House/Jason_Smith.htm,,,,
-29008,Jason Smith,climate-change,5,"Smith supports drilling for oil and gas on federal lands and in the Eastern Gulf of Mexico, opposes EPA expansion of regulated waters, and has no documented support for climate action or clean energy investment. This record aligns with rejecting climate policies in favor of economic growth, matching stance 5.",https://www.ontheissues.org/House/Jason_Smith.htm,,,,
-29008,Jason Smith,deportation,4,"Smith voted YES to ban DREAMer immigrants from military service (Jun 2016) and opposes any pathway to citizenship for undocumented immigrants. He supports deporting all people without legal status, prioritizing those with criminal records, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,,,,
-29008,Jason Smith,fossil-fuels,4,"Smith has called for states to be allowed to lease energy rights on federal lands and supports drilling for oil and gas in offshore areas including the OCS and Eastern Gulf of Mexico. This record supports expanding fossil fuel drilling permits, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,,,"Let states lease energy rights on federal lands","Let states lease energy rights on federal lands"
-29008,Jason Smith,healthcare,4,"Smith called for defunding ObamaCare and opposes government-run healthcare programs, stating 'Defund ObamaCare; no government-run programs' and 'Fully repealing ObamaCare is important, but not sufficient.' This aligns with providing limited help only to those who cannot afford care, leaving others to private markets, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,https://en.wikipedia.org/wiki/Jason_T._Smith,,"Defund ObamaCare; no government-run programs","Defund the health law; no government-run programs"
-29008,Jason Smith,immigration,4,"Smith opposes any pathway to citizenship for undocumented immigrants, voted to ban DREAMers from military service (Jun 2016), and backed reducing access for those without legal status. He also supported increasing high-skill and family-based visa caps (Apr 2019), stopping short of cutting all legal immigration, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,,,,
-29008,Jason Smith,medicare/aid,4,"Smith's record of opposing government healthcare programs and advocating for privatization of social programs (0% ARA rating indicating pro-privatization stance on Social Security, Jan 2013) is consistent with partially privatizing Medicare and reducing Medicaid coverage, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,,,,
-29008,Jason Smith,religious-freedom,4,"Smith has stated 'Respect faith-based opposition to same-sex marriage' (Apr 2016) and argued against requiring faith-based organizations to provide services that conflict with their beliefs. This aligns with protecting religious freedom and allowing faith-based exemptions from laws that conflict with sincere religious beliefs, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,https://en.wikipedia.org/wiki/Jason_T._Smith,,"Respect faith-based opposition to same-sex marriage","Respect faith-based opposition to same-sex marriage"
-29008,Jason Smith,same-sex-marriage,5,"After the Obergefell ruling, Smith stated: 'As the son of a preacher, I have never wavered in my commitment to the biblical definition of marriage.' He opposes same-sex marriage on religious grounds and supports defining marriage as between one man and one woman, matching stance 5.",https://en.wikipedia.org/wiki/Jason_T._Smith,https://www.ontheissues.org/House/Jason_Smith.htm,,"As the son of a preacher, I have never wavered in my commitment to the biblical definition of marriage.","I have never wavered in my commitment to the biblical definition of marriage."
-29008,Jason Smith,school-vouchers,4,"Smith stated 'Vouchers break link of low-income and low-quality schools' (Oct 2015) and supports the A-PLUS program allowing states to escape No Child Left Behind requirements. He supports expanding voucher eligibility for most families, especially low-income students, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,,,"Vouchers break link of low-income and low-quality schools","Vouchers break link of low-income and low-quality schools"
-29008,Jason Smith,social-security,5,"Smith was rated 0% by the American Retirement Association (Jan 2013), indicating a pro-privatization stance on Social Security. He has consistently supported private market solutions over government programs, aligning with transitioning Social Security to private individual investment accounts, matching stance 5.",https://www.ontheissues.org/House/Jason_Smith.htm,,,,
-29008,Jason Smith,taxes,4,"Smith supported the Tax Cuts and Jobs Act of 2017 as a Ways and Means Committee member and has since championed further cuts as Committee Chair, calling for 'tax relief and economic benefits to the American people' via the 'big, beautiful bill.' He opposes the estate tax and advocates cutting red tape, matching stance 4 (cut taxes for everyone and scale back public services).",https://www.ontheissues.org/House/Jason_Smith.htm,https://en.wikipedia.org/wiki/Jason_T._Smith,https://www.foxnews.com/person/s/jason-smith,"Simplify tax code & cut red tape","Simplify tax code & cut red tape"
-29008,Jason Smith,voting-rights,4,"Smith stated 'No holiday on election day; no same-day registration' (Mar 2019) and requires photo ID when using food stamps, indicating support for strict identification requirements in government programs. He opposes easier voter registration measures, consistent with requiring photo ID for voting and regularly updating voter rolls, matching stance 4.",https://www.ontheissues.org/House/Jason_Smith.htm,,,"No holiday on election day; no same-day registration","No holiday on election day; no same-day registration"
