full_name,politician_id,topic_key,value,reasoning
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,abortion,1,"As a pediatric emergency medicine physician, Plumb proposed amendments to HB467 (2023) expanding abortion exceptions for women at risk of mental impairment, and has consistently advocated for abortion access, framing it as a critical healthcare issue. She cited a rural patient who died from an ectopic pregnancy while awaiting care as evidence that restrictions endanger lives. — best matches stance 1 (ensure abortion is legal, accessible, and publicly funded at all stages of pregnancy)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,tariffs,,No evidence found of Jen Plumb making verifiable statements or taking votes on tariff or federal trade policy. As a Utah state senator she has no direct legislative role in federal trade; no grounded snippets available.
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,same-sex-marriage,1,"In 2022, Plumb explicitly stated 'Codifying gay marriage in Utah is something we obviously need to be doing,' connecting it to broader LGBTQ+ protections including for transgender youth. Her campaign platform states transgender children and adults deserve 'dignity and equity under the law.' — best matches stance 1 (require all states to recognize same-sex marriages and provide full federal benefits and protections)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,religious-freedom,2,"No direct religious-freedom votes or specific bills found. Plumb frames her advocacy around ensuring 'dignity and equity under the law' for all, including LGBTQ+ individuals, and has not supported expanding religious exemptions that override anti-discrimination protections. Her overall record is consistent with limiting religious carve-outs from civil rights laws. — best matches stance 2 (protect religious freedom while ensuring it doesn't override anti-discrimination protections)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,trans-athletes,1,"Plumb voted Nay on HJR301 (June 2024 special session) blocking federal Title IX protections for transgender students, stating 'My frustration is that it already feels like we want this war against this very small, marginalized community' and calling the measure 'salt in the wound.' She has a transgender child and has fought alongside Equality Utah against anti-trans laws. — best matches stance 1 (allow all transgender athletes to compete on teams matching their gender identity without any restrictions)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,ukraine-support,,No verifiable evidence found of Jen Plumb making statements or voting on Ukraine aid as a state legislator. No grounded snippets available.
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,medicare/aid,2,"As an ER pediatrician and member of the Senate Health and Human Services Committee, Plumb has championed expanded healthcare access and warned against allowing ACA subsidies to expire, stating hospitals will face greater burden 'if thousands drop their insurance because it's too expensive.' She opposed HB178 stripping CHIP coverage from immigrant children. — best matches stance 2 (lower Medicare age to 55 and expand Medicaid significantly)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,fossil-fuels,2,"Plumb's campaign platform states it is imperative to act on climate change by 'sanctioning polluters, protecting air, water, and watersheds through legislation.' She has not called for an immediate ban on new drilling but advocates for a transition away from fossil fuels and serves on the Legislative Energy Working Group. — best matches stance 2 (stop issuing new permits for fossil fuel drilling)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,voting-rights,2,"Plumb voted Nay on SJR401 (Aug 2024 special session) which placed a constitutional amendment on the ballot to restrict citizen ballot initiative power, calling the ruling involved 'the form and function of government.' She also voted Nay on SB4002 (ballot proposition amendments) in the same session. Utah uses mail-in voting, which she supports. — best matches stance 2 (expand early voting and make mail-in voting available to all voters)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,social-security,,No verifiable evidence found of Jen Plumb making specific statements or votes on Social Security policy as a state legislator. No grounded snippets available.
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,climate-change,3,"Plumb advocates for acting on climate change, protecting air, water, and watersheds, and improving forest management to limit fires. She opposes allowing 'big business to pollute our state.' Her legislative record shows support for clean energy but no sponsored bill calling for immediate phase-out of fossil fuels; she cast a bipartisan energy security vote (HB3004) in 2024. — best matches stance 3 (invest in clean energy while gradually reducing reliance on fossil fuels)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,civil-rights,2,"Plumb advocates eliminating the gender pay gap, ratifying the ERA, and protecting LGBTQ+ individuals from anti-harassment and discrimination. She has championed policies for marginalized communities including criminal justice reform and anti-discrimination protections, framing government's role as actively addressing systemic inequality. — best matches stance 2 (strengthen civil rights enforcement and address systemic discrimination)."
