full_name,politician_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,source_url_4,source_url_5,source_url_6,source_url_7,source_url_8,source_url_9,quote_text,quote_deidentified
Danielle Cohen Higgins,0d13108c-a1ad-4747-b8b4-5db47c0e6941,economic-development,3,"Cohen Higgins treats an incentive as a bargain the company has to keep. She is the prime sponsor of R-345-26, adopted 21 April 2026, which directs the county to enforce the Declaration of Restrictions on land it had conveyed to Amazon.com Services for economic development purposes. The condition being enforced is the job requirement written into that declaration: a minimum of 325 full-time or full-time-equivalent permanent jobs on the property, at an average annual salary of no less than the greater of $32,000 and the county's current Living Wage under Section 2-8.9 of the county code, maintained over time. The same resolution orders a status report within 30 days and directs the County Attorney to take any and all necessary legal action. She is also co-prime sponsor of R-365-25, adopted April 2025, which extended Miami International Airport concession agreements by twelve years in exchange for minimum investment amounts and completion deadlines, and provided for the locations to be clawed back to the county if a concessionaire fails to invest on time. On this record she accepts incentives as a way to bring employers in, attaches wage and investment conditions to them, and moves to take the benefit back when those conditions are not met.",https://www.miamidade.gov/govaction/matter.asp?matter=260557,https://www.miamidade.gov/govaction/matter.asp?matter=250800,,,,,,,,,
Anthony Rodriguez,d1404db5-02c6-4880-a8f5-3fe2c7d4d2d0,growth-and-development,4,"Rodriguez set out to make expanding the county's Urban Development Boundary easier, and carried it through three steps over eighteen months. Policy LU-8H of the Comprehensive Development Master Plan is the gate an application to expand the boundary must pass. In January 2024 he prime-sponsored R-44-24, directing the Mayor to file an out-of-cycle application, on an expedited basis, to modify LU-8H's requirements for the concurrent zoning applications that expansion applicants must file. He prime-sponsored R-1036-24 in November 2024, which transmitted the amendment to the state, and then ordinance 25-59 in June 2025, which adopted it: the minimum density and floor area ratio no longer have to be achieved in the first phase of development, and the required jobs-to-housing ratio within five miles falls from 1.5 to 1 to whatever the local statistical area's ratio is, with a floor of 1 to 1. The Board adopted it as filed, without the changes its own staff had recommended; no tally is recorded for that vote. He did not seek to repeal LU-8H, and its criteria and the new floor remain. On this record he works to speed development and reduce the requirements it must satisfy, while leaving the basic gate standing.",https://www.miamidade.gov/govaction/matter.asp?matter=231881,https://www.miamidade.gov/govaction/matter.asp?matter=241886,https://www.miamidade.gov/govaction/matter.asp?matter=241888,,,,,,,,
Danielle Cohen Higgins,0d13108c-a1ad-4747-b8b4-5db47c0e6941,growth-and-development,2,"Cohen Higgins backs growth that meets the county's own capacity tests, and voted to keep those tests strict. Policy LU-8H of the Comprehensive Development Master Plan is the gate for expanding the Urban Development Boundary. It requires a mix of housing types at a minimum of 10 dwelling units per acre, that the minimum density and floor area ratio be accomplished in the first phase of development under a recordable instrument, and that a jobs-to-housing ratio of at least 1.5 to 1 be available within five miles of the site. In June 2025 the Board adopted ordinance 25-59, which loosened all three: it dropped the first-phase requirement and lowered the jobs-to-housing ratio to the local statistical area's ratio, with a floor of 1 to 1. She voted No on the motion to reject staff's recommendation and approve the 1-to-1 ratio, which failed 6 votes to 4; the Board reconsidered and adopted it anyway, as filed and without the changes its own staff had recommended, with no tally recorded. She also prime-sponsored R-191-26, opposing House Bill 399, which would have had the state study the Urban Development Boundary and could have preempted local board vote requirements on plan amendments; R-1183-25, urging the Legislature to narrow Senate Bill 180 limits on local planning authority, partly so the county could raise educational facility impact fees; and R-1173-25 and R-337-26, neighbourhood planning toward a character-based zoning district. She has not proposed capping development or putting large projects to a public vote.",https://www.miamidade.gov/govaction/matter.asp?matter=241888,https://www.miamidade.gov/govaction/matter.asp?matter=260228,https://www.miamidade.gov/govaction/matter.asp?matter=252372,https://www.miamidade.gov/govaction/matter.asp?matter=252187,https://www.miamidade.gov/govaction/matter.asp?matter=260291,,,,,,
Micky Steinberg,237fe767-ea76-45d3-8ded-95e623dbce8f,growth-and-development,2,"Policy LU-8H of the Comprehensive Development Master Plan is the gate an application to expand the county's Urban Development Boundary must pass. Among its criteria are that the minimum density and floor area ratio be achieved in the first phase of development, and that a jobs-to-housing ratio of at least 1.5 to 1 be available within five miles of the site. In June 2025 the Board adopted ordinance 25-59, which dropped the first-phase requirement and lowered that ratio to the local statistical area's, with a floor of 1 to 1. Steinberg voted No on the motion to reject staff's recommendation and approve the 1-to-1 ratio, which failed 6 votes to 4. She is also a co-sponsor of R-191-26, adopted March 2026, opposing House Bill 399, which would have required the state to study the Urban Development Boundary and could have preempted local board vote requirements on applications to amend the comprehensive plan; and of R-678-26, adopted July 2026, directing the Mayor to file a plan amendment addressing the use of text amendments that may facilitate urban land uses on property outside the boundary. Those three point the same way: keep the boundary intact and keep the capacity tests that expansion must satisfy. She has not proposed capping development or putting large projects to a public vote.",https://www.miamidade.gov/govaction/matter.asp?matter=241888,https://www.miamidade.gov/govaction/matter.asp?matter=260228,https://www.miamidade.gov/govaction/matter.asp?matter=260967,,,,,,,,
René Garcia,385f0162-a7ac-445a-9522-abe0491b65dd,growth-and-development,2,"Policy LU-8H of the Comprehensive Development Master Plan is the gate an application to expand the county's Urban Development Boundary must pass. Among its criteria are that the minimum density and floor area ratio be achieved in the first phase of development, and that a jobs-to-housing ratio of at least 1.5 to 1 be available within five miles of the site. In June 2025 the Board adopted ordinance 25-59, which dropped the first-phase requirement and lowered that ratio to the local statistical area's, with a floor of 1 to 1. Garcia voted No on the motion to reject staff's recommendation and approve the 1-to-1 ratio, which failed 6 votes to 4. He then moved to reconsider it; that motion passed 10-0 and the Board adopted the amendment, with no tally recorded. He is also a co-sponsor of R-191-26, adopted March 2026, opposing House Bill 399, which would have required the state to study the Urban Development Boundary and could have preempted local board vote requirements on applications to amend the county's comprehensive plan; and of R-678-26, adopted July 2026, directing the Mayor to file a plan amendment addressing the use of text amendments that may facilitate urban land uses on property outside the boundary. Those three point the same way: keep the boundary intact and keep the capacity tests that expansion must satisfy. He has not proposed capping development or putting large projects to a public vote.",https://www.miamidade.gov/govaction/matter.asp?matter=241888,https://www.miamidade.gov/govaction/matter.asp?matter=260228,https://www.miamidade.gov/govaction/matter.asp?matter=260967,,,,,,,,
Anthony Rodriguez,d1404db5-02c6-4880-a8f5-3fe2c7d4d2d0,housing,4,"Rodriguez is the prime sponsor of R-549-26, adopted in 2026, and it states the county's method in its own recitals: the Board conveys and leases county-owned property to private developers under sections 125.35, 125.379 and 125.38 of the Florida Statutes, and does so to promote the timely development of affordable housing units in answer to the county's housing affordability crisis. His concern is that the method deliver. The resolution limits the Board to two extensions per developer per property, of no more than one year each, and allows a third only for a declared emergency or comparable circumstance, on written justification and a two-thirds vote. It bars any developer that previously took county land for affordable housing and failed to build on time from receiving more, unless it can show the expertise and financial capacity to perform. When the extensions run out it directs the Mayor to act, including reverting the property to the county or terminating the lease. The obligations bind developers who accept public land; none of them is a rule on the wider housing market, no rent is capped, and the county does not build the housing itself.",https://www.miamidade.gov/govaction/matter.asp?matter=261112,,,,,,,,,,
Keon Hardemon,5f074ffb-314c-4395-a2df-cdd37a7eb34f,housing,4,"Hardemon is the prime sponsor of eleven adopted housing items the administration did not ask for, and they run on one model: county land and county financing go to developers who build the housing. R-688-26 grants a ground lease of county-owned land; R-526-26 declares property surplus for CIPRES RE LLC; R-1098-25 advances the Yaeger Plaza affordable housing development; R-560-26 extends Palmetto Homes on thirty lots; R-311-25 conveys property for affordable living; R-1086-25 amends the MANA/MAPTON agreement; and R-680-25 issues Southeast Overtown/Park West redevelopment bonds. He also carried R-534-26 and R-744-25 on redeveloping the Claude Pepper Tower public housing site, which the county pursues through development agreements with private firms rather than by building itself. Nothing in this record imposes a rent cap or a countywide affordability requirement on private housing, and nothing has the county build and operate housing of its own.",https://www.miamidade.gov/govaction/matter.asp?matter=261263,https://www.miamidade.gov/govaction/matter.asp?matter=260911,https://www.miamidade.gov/govaction/matter.asp?matter=252097,https://www.miamidade.gov/govaction/matter.asp?matter=261067,https://www.miamidade.gov/govaction/matter.asp?matter=250348,https://www.miamidade.gov/govaction/matter.asp?matter=260231,https://www.miamidade.gov/govaction/matter.asp?matter=250872,https://www.miamidade.gov/govaction/matter.asp?matter=260870,https://www.miamidade.gov/govaction/matter.asp?matter=251480,,
Kionne L. McGhee,189fb6bd-55ed-4a4d-992a-ba86f8df1ead,housing,4,"McGhee prime-sponsored seven adopted housing items on his own initiative, and they are almost all the same act: putting county land into the hands of builders of affordable housing in District 9. R-569-25 conveys three infill lots; R-568-25 deeds three lots to Affordable Housing and Community Development, Inc.; R-1120-25 declares county-owned properties in the district surplus; and R-245-26 grants a ground lease to Perrine Apartments, Ltd. R-783-25 authorises an extension for a developer already holding county land. The county supplies the land and the subsidy; private and non-profit developers build and own the housing. He has sponsored no rent regulation and no countywide affordability mandate, and nothing that has the county build housing itself.",https://www.miamidade.gov/govaction/matter.asp?matter=260652,https://www.miamidade.gov/govaction/matter.asp?matter=250776,https://www.miamidade.gov/govaction/matter.asp?matter=252178,https://www.miamidade.gov/govaction/matter.asp?matter=260424,https://www.miamidade.gov/govaction/matter.asp?matter=251230,,,,,,
Marleine Bastien,23950def-95e8-4282-b3b5-5d0a86e29b36,housing,4,"Bastien is the prime sponsor of Miami-Dade's affordable-housing production items, and they all work the same way: county money and county land go to private and non-profit developers on income-restricted terms. She sponsored R-99-26 (February 2026), awarding up to $8,500,000 in documentary stamp surtax funds to develop the Unity Plaza affordable homeownership project; R-917-25 (October 2025), declaring five county properties surplus and conveying them for a nominal amount to two companies and a non-profit to build housing for households at or below 120 percent of area median income; and R-679-25 (July 2025), conveying county properties at $10.00 on the same terms, with a rental regulatory agreement to be enforced. She also prime-sponsored R-450-25 (May 2025), which waived a county moratorium so a parcel could pass to a non-profit for affordable housing. The county's Housing Finance Authority bond items she sponsors (R-664-26, R-665-26, R-497-25, R-498-25) finance private projects on the same pattern. Across this record she pays for and enables affordable housing rather than having the county build it, and she has sponsored no rent cap and no countywide affordability mandate.",https://www.miamidade.gov/govaction/matter.asp?matter=260143,https://www.miamidade.gov/govaction/matter.asp?matter=251638,https://www.miamidade.gov/govaction/matter.asp?matter=251000,https://www.miamidade.gov/govaction/matter.asp?matter=251003,https://www.miamidade.gov/govaction/matter.asp?matter=261171,https://www.miamidade.gov/govaction/matter.asp?matter=261172,https://www.miamidade.gov/govaction/matter.asp?matter=250903,https://www.miamidade.gov/govaction/matter.asp?matter=250906,,,
Raquel A. Regalado,ab1cf05e-cb5e-461a-8723-7ee87adac518,housing,4,"Regalado works inside the county's land-and-subsidy model and has moved to standardise its terms. She is the prime sponsor of R-446-25, adopted in 2025, which directs the county to require a standardised master development agreement in every competitive solicitation for developing county property with affordable and workforce housing, sets guidelines for those solicitations and calls a developer roundtable. She also prime-sponsored R-972-25, authorising a request for proposals to design, build, finance and operate affordable and workforce housing under a 99-year lease on the county-owned Stirrup Plaza Family public housing site, and R-340-26, a 99-year ground lease with an affiliate of RUDG for the Rental Assistance Demonstration conversion and redevelopment of the Gallery at SoMi Parc. The instrument is public land and public money on standard terms, not a rule imposed on the private market: none of these sets a rent cap or requires affordable units in private developments, and none has the county build housing itself.",https://www.miamidade.gov/govaction/matter.asp?matter=250425,https://www.miamidade.gov/govaction/matter.asp?matter=251736,https://www.miamidade.gov/govaction/matter.asp?matter=260331,,,,,,,,
Anthony Rodriguez,d1404db5-02c6-4880-a8f5-3fe2c7d4d2d0,jail-capacity,2,"Miami-Dade runs its own jail system, so how the county handles overcrowding is a Board decision. Rodriguez is the prime sponsor of two measures the Board adopted in June 2026, and both route people toward treatment rather than toward more jail beds. R-558-26 authorizes the county to amend its state lease for the Mental Health Center at 2200 NW 7th Avenue and to amend the county's Designated Receiving System Plan, together with agreements with Thriving Mind South Florida, the Florida Department of Children and Families, the Office of the Miami-Dade County Sheriff and the county's association of chiefs of police - the arrangement under which an officer takes a person in crisis to a receiving facility instead of to jail. R-556-26, which he sponsored alone, directs the Mayor, through the Miami-Dade Corrections and Rehabilitation Department, to take all necessary steps to make competency restoration treatment available to certain incarcerated individuals and to report back. Neither measure adds jail capacity and neither upgrades a jail facility, and no measure of his proposes either. He has also not proposed moving corrections funding into community programs in order to shrink the jail system.",https://www.miamidade.gov/govaction/matter.asp?matter=261104,https://www.miamidade.gov/govaction/matter.asp?matter=261019,,,,,,,,,
Raquel A. Regalado,ab1cf05e-cb5e-461a-8723-7ee87adac518,residential-zoning,3,"Regalado concentrates new housing density at transit stations and existing urban centres, and leaves the rest of the county's residential areas as they are. She is the prime sponsor of ordinance 25-90, which created the Coral Gables/University Station subzone of the county's Rapid Transit Zone and brought property within a quarter mile of that Metrorail station under county zoning jurisdiction and its standards. She also prime-sponsored ordinance 26-47, which allows the county to accept and approve Live Local Act covenants administratively for developments inside transit-oriented areas, and R-551-26, which directs a comprehensive plan amendment creating a density bonus for property within 500 feet of the trail and greenway corridor beneath the Metrorail, in exchange for public benefits to that corridor. At the same time she is the prime sponsor of R-678-26, directing a plan amendment to address text amendments that could facilitate urban land uses outside the Urban Development Boundary. Every one of these is bounded to a named station area, corridor or urban centre: she has proposed no countywide upzoning, no removal of single-family zoning, and no reduction of parking requirements.",https://www.miamidade.gov/govaction/matter.asp?matter=252269,https://www.miamidade.gov/govaction/matter.asp?matter=260764,https://www.miamidade.gov/govaction/matter.asp?matter=260967,https://www.miamidade.gov/govaction/matter.asp?matter=261065,,,,,,,
