cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,0801,"Diana DeGette",Democratic,D,REUSE-NO-ROW,-8001,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
1,0801,"Melat Kiros",Democratic,D,NEW,-80101,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
1,0801,"Christy Peterson",Republican,R,NEW,-80102,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
2,0802,"Joe Neguse",Democratic,D,REUSE,-8002,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
2,0802,"Kelley Dennison",Republican,R,NEW,-80201,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
3,0803,"Jeff Hurd",Republican,R,REUSE,-8003,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
3,0803,"Dwayne Romero",Democratic,D,NEW,-80301,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
4,0804,"Lauren Boebert",Republican,R,REUSE,-8004,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
4,0804,"Eileen Laubacher",Democratic,D,NEW,-80401,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
5,0805,"Jeff Crank",Republican,R,REUSE,-8005,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
5,0805,"Jessica Killin",Democratic,D,NEW,-80501,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
6,0806,"Jason Crow",Democratic,D,REUSE,-8006,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
6,0806,"Jason Clark",Republican,R,NEW,-80601,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
7,0807,"Brittany Pettersen",Democratic,D,REUSE,-8007,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
7,0807,"Tim Bennett",Republican,R,NEW,-80701,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
8,0808,"Gabe Evans",Republican,R,REUSE,-8008,true,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
8,0808,"Manny Rutinel",Democratic,D,NEW,-80801,false,"160-field-table-p163.csv (CO rows), sourced from Wikipedia 2026 US House elections in Colorado; decided general field (primaries held 2026-06-30)"
