full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Akilah Weber Pierson,fossil-fuels,2,"Weber Pierson voted YES on SB 1137 (2021-22), which established health protection zones of 3,200 feet around sensitive receptors (schools, homes, daycares) and restricted new oil and gas operations within those zones. Her vote to restrict new fossil fuel drilling operations near communities matches value 2: 'stop issuing new permits for fossil fuel drilling.'",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202120220SB1137,,
Caroline Menjivar,homelessness,2,"Menjivar voted YES on SB 43 (2023), which expanded California's LPS conservatorship criteria to allow involuntary mental health and substance use disorder treatment for unhoused individuals with severe conditions, as an alternative to criminalization. She serves on the Senate Health and Human Services budget subcommittee and has consistently prioritized behavioral health outreach and shelter services over enforcement. Her record is consistent with value 2: decriminalizing public sleeping while investing in shelter capacity, outreach workers, and voluntary service connections.",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202320240SB43,,
Catherine Stefani,immigration,2,"Stefani voted YES on AB 79 (2025, chaptered), which expanded public social services eligibility for higher education purposes regardless of immigration status. As a former San Francisco Board of Supervisors member (SF is a sanctuary city) and now an Assembly member, her record is consistent with keeping legal immigration open and allowing residents to use public services regardless of legal status, which aligns with value 2.",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202520260AB79,,
Eloise Gómez Reyes,campaign-finance,2,"Gómez Reyes voted YES on SB 1439 (2022, chaptered), which restricts campaign contributions from persons seeking favorable decisions from government agencies (pay-to-play restrictions). Her YES vote on this bill to strictly limit certain political donations from interested parties aligns with value 2: 'strictly limit corporate donations and dark money groups.'",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202120220SB1439,,
Gavin Newsom,medicare/aid,2,"Newsom expanded Medi-Cal to all low-income adults regardless of immigration status, including signing a $307.9 billion budget making California the first state to guarantee healthcare to all low-income undocumented immigrants. His Medi-Cal expansion policy of significantly expanding Medicaid eligibility aligns with value 2: 'lower Medicare age to 55 and expand Medicaid significantly.'",https://en.wikipedia.org/wiki/Gavin_Newsom,,
Gavin Newsom,redistricting,4,"Newsom vetoed AB 1248 (2023), which would have required independent redistricting commissions for local governments, and then championed California Proposition 50 (2025), allowing the state legislature to redraw congressional district boundaries in response to Texas's gerrymander. His actions — vetoing independent redistricting and supporting legislative control over congressional maps — align with value 4: 'state legislatures with court oversight to prevent extreme partisan bias.'",https://en.wikipedia.org/wiki/Gavin_Newsom,https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202320240AB1248,
Gavin Newsom,religious-freedom,2,"Newsom signed SB 107 (2022), making California a sanctuary state for transgender youth and limiting state cooperation with other states' laws restricting gender-affirming care — legislation that prioritizes anti-discrimination protections over religious objections. His LGBTQ+ legislative record of signing bills that ensure civil rights protections are not overridden by religious exemptions aligns with value 2: 'protect religious freedom while ensuring it does not override anti-discrimination protections.'",https://en.wikipedia.org/wiki/Gavin_Newsom,,
Gavin Newsom,same-sex-marriage,1,"Newsom gained national attention in 2004 when he directed the San Francisco city-county clerk to issue marriage licenses to same-sex couples, and he actively opposed Proposition 8 (2008). His decades-long advocacy for full marriage equality including federal recognition aligns with value 1: 'require all states to recognize same-sex marriages and provide full federal benefits and protections.'",https://en.wikipedia.org/wiki/Gavin_Newsom,,
Gregg Hart,homelessness,3,"Hart voted YES on SB 1395 (2024, chaptered) and presented the bill on the Assembly Floor — legislation expanding Low Barrier Navigation Center shelters by making them permissible uses by right in local zoning. His support for expanding shelter capacity alongside service diversion aligns with value 3: 'allowing enforcement only when adequate shelter beds are available, with citations diverting people to services rather than the criminal justice system.'",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202320240SB1395,,
Juan Carrillo,childcare,3,"Carrillo voted YES on SB 1112 (2024, chaptered), which expanded the categories of services that childcare alternative payment programs can fund, supporting families through targeted subsidies. His support for expanding childcare subsidy eligibility while maintaining existing income-targeted access aligns with value 3: 'offering targeted tax credits and subsidies for families below a set income threshold while supporting providers through training and facility grants.'",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202320240SB1112,,
Lisa Calderon,campaign-finance,2,"Calderon voted YES on SB 1439 (2022, chaptered), which restricts campaign contributions from persons with pending agency decisions — a pay-to-play prohibition. Her YES vote on this bill to strictly limit political contributions from parties seeking favorable government outcomes aligns with value 2: 'strictly limit corporate donations and dark money groups.'",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202120220SB1439,,
Natasha Johnson,school-vouchers,4,"Johnson's official issues page states she is 'a strong advocate for educational options in our community, including support for charter schools that have provided innovative and high-performing alternatives to traditional public schools' and commits to ensuring 'all parents, regardless of zip code, have access to schools that meet their children's unique needs.' Her explicit support for expanding educational choice and school alternatives to traditional public schools aligns with value 4: 'expanding voucher eligibility to most families so parents can choose the school that best fits their child, while maintaining baseline public school funding.'",https://natashajohnsonforassembly.com/issues,,
