full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
Justin L. Pence,trans-athletes,4,"Pence's own campaign platform flatly opposes transgender athletes competing on girls' sports teams. His statement addresses team assignment — requiring athletes to compete according to biological sex — rather than excluding transgender athletes from organized sports entirely, so he is scored at the biological-sex-teams chair rather than the complete-ban chair.",https://pencefordelegate.com,https://en.wikipedia.org/wiki/Justin_Pence,,"No Boys in Girls sports. Period.","No Boys in Girls sports. Period.","This quote directly states opposition to transgender athletes competing on girls' teams, matching the compete-by-biological-sex stance. Verbatim, no edits."
Justin L. Pence,redistricting,2,"Pence individually voted No on HJ4 (the mid-decade congressional redistricting constitutional amendment, 62-33-1, Jan 15 2026); news coverage of a March 2, 2026 town hall reports that he — alongside fellow House Republicans Chris Runion and Tony Wilt — was ""critical of the amendment, encouraging voters to vote no,"" arguing it produced unfair, gerrymandered districts that undercut the bipartisan redistricting commission voters approved in 2020.",https://virginiabusiness.com/virginia-officials-oppose-april-21-congressional-redistricting/,https://r.jina.ai/https://www.vpap.org/legislators/83461-justin-l-pence/list-votes/close-votes/?session=39,,,,
Will P. Davis,school-vouchers,5,"Davis's campaign platform explicitly backs universal-style school choice, pledging that education funding should follow the student to whichever school the family picks.",https://www.davisfordelegate.com/issues,,,"He will be an advocate for school choice and fight to ensure funding follows the child.","He will be an advocate for school choice and fight to ensure funding follows the child.","This campaign statement explicitly backs school choice where public funding follows the student to any school, matching the strongest pro-voucher stance on this scale. Verbatim, no edits."
Will P. Davis,abortion,4,"Davis individually voted No on HJ1 (the state constitutional amendment securing abortion access through viability, 64-34, Jan 15 2026) and his own campaign platform pledges to ""defend the unborn.'' He does not state an explicit no-exceptions position, so he is placed at the restrict-to-rape/incest/life-of-mother chair rather than the most extreme one.",https://www.davisfordelegate.com/issues,https://r.jina.ai/https://www.vpap.org/legislators/385091-will-davis/list-votes/close-votes/?session=39,,"He will defend the unborn and fight for their right to life, liberty and the pursuit of happiness.","He will defend the unborn and fight for their right to life, liberty and the pursuit of happiness.","This is his own general pro-life pledge; combined with his recorded No vote on the state constitutional amendment protecting abortion access, it places him in the restrictive camp. He does not say ""no exceptions,'' so he is not scored at the most extreme chair. Verbatim, no edits."
Will P. Davis,voting-rights,4,"Davis's campaign platform calls for mandatory photo ID to vote and criticizes no-excuse/universal mail voting, matching the stricter voter-ID chair rather than the most restrictive one (he does not call for eliminating mail voting outright).",https://www.davisfordelegate.com/issues,,,"He will fight to restore integrity in Virginia's elections by requiring photo ID prior to voting.","He will fight to restore integrity in Virginia's elections by requiring photo ID prior to voting.","This platform statement supports mandatory photo ID for voting, matching the stricter voter-ID stance. He does not call for eliminating mail-in voting outright, so it is not scored at the most restrictive chair. Verbatim, no edits."
Will P. Davis,taxes,4,"Davis's campaign platform calls broadly for cutting taxes and government spending, matching the general tax-cut-and-shrink-government chair.",https://www.davisfordelegate.com/issues,,,"He will fight to reduce government spending and taxes, and peel back the government's involvement in our lives.","He will fight to reduce government spending and taxes, and peel back the government's involvement in our lives.","This platform statement calls for lower taxes and less government spending, matching the broad tax-cut stance. Verbatim, no edits."
Will P. Davis,religious-freedom,4,"Davis's campaign platform supports broad religious-worship freedom without specifically addressing institutional hiring/operations autonomy, matching the faith-based-exemptions chair rather than the most expansive one.",https://www.davisfordelegate.com/issues,,,"this means enabling Virginians of faith to worship as they see fit.","this means enabling Virginians of faith to worship as they see fit.","Trimmed excerpt (removed the leading ""To [First Name],'' from the original sentence) of a platform statement backing religious-worship freedom; does not address institutional autonomy/hiring exemptions specifically, so scored below the most expansive chair."
Lily V. Franklin,abortion,2,"Franklin individually voted Yes on HJ1 (the state constitutional amendment securing abortion access through viability, 64-34, Jan 15 2026) and her campaign emphasizes reproductive-care access; she does not call for public funding at all stages of pregnancy, so she is scored at the access-through-second-trimester chair rather than the most expansive one.",https://lilyfordelegate.com/priorities,https://r.jina.ai/https://www.vpap.org/legislators/449164-lily-franklin/list-votes/close-votes/?session=39,,"No woman should wait a year to see a doctor or struggle to access basic reproductive care.","No woman should wait a year to see a doctor or struggle to access basic reproductive care.","This statement, plus her confirmed Yes vote on the state constitutional amendment protecting abortion access, place her in the pro-access camp; she does not call for public funding at all stages, so it is scored at the second rather than most expansive chair. Verbatim, no edits."
Lily V. Franklin,school-vouchers,1,"A biographical summary of her 2025 campaign describes explicit opposition to school voucher programs as harmful to public education, consistent with her own platform emphasis on fully funding public schools (citing Virginia's low national ranking for school funding).",https://en.wikipedia.org/wiki/Lily_Franklin,https://lilyfordelegate.com/,,,,
Lily V. Franklin,housing,2,"Franklin's platform pledges to stop hedge funds from driving up home prices and pursue new housing solutions; a biographical summary of her campaign additionally describes support for rent caps, matching the direct-intervention chair (rent caps, publicly funded housing) rather than a hands-off approach.",https://lilyfordelegate.com/,https://en.wikipedia.org/wiki/Lily_Franklin,,"stop hedge funds from driving up prices, push for innovative local and statewide solutions.","stop hedge funds from driving up prices, push for innovative local and statewide solutions.","Trimmed excerpt (removed the leading ""[First name] will fight to'' from the original sentence). Combined with reporting that her platform includes rent caps, this shows support for direct government intervention on housing costs rather than a hands-off approach."
