politician_full_name,topic_key,value,reasoning,sources
Aaron L. Saunders,abortion,3,"Did not co-sponsor the Abortion Access Act (red X on Act on Mass). No evidence of restrictive anti-abortion sponsorships either. Default status-quo position for a MA House Democrat who declined the progressive bill.","https://actonmass.org/legislators/aaron-saunders/"
Aaron L. Saunders,healthcare,3,"Did not co-sponsor Medicare for All (H.1239) per Act on Mass. No single-payer advocacy found. Status-quo position — baseline for MA House Democrats who declined that bill.","https://actonmass.org/legislators/aaron-saunders/"
Aaron L. Saunders,voting-rights,3,"Did not co-sponsor Voting Rights Restoration Act (red X on AOM). Sponsored H.4148 allowing noncitizen voting in Shutesbury, suggesting some expansion interest but declined the main voting rights bill.","https://actonmass.org/legislators/aaron-saunders/ | https://malegislature.gov/Legislators/Profile/ALS1/Bills"
Aaron Michlewitz,healthcare,3,"Michlewitz did not co-sponsor Medicare for All or any healthcare legislation tracked by AOM. As a Democrat he supports regulated healthcare access but has not championed public option or single-payer. His focus is fiscal — controlling healthcare costs within the existing system.","https://actonmass.org/legislators/aaron-michlewitz"
Aaron Michlewitz,voting-rights,3,"Michlewitz did not co-sponsor the Voting Rights Restoration bill. His position appears to support current voting systems.","https://actonmass.org/legislators/aaron-michlewitz"
Christopher J. Worrell,healthcare,3,"Did not co-sponsor Medicare for All; no healthcare expansion bills on Act on Mass tracker — consistent with helping those who cannot afford coverage while keeping private options.","https://actonmass.org/legislators/christopher-worrell"
Christopher J. Worrell,voting-rights,3,"Did not co-sponsor the Voting Rights Restoration Act (H.724); no evidence of automatic registration or expanded mail-in voting co-sponsorships.","https://actonmass.org/legislators/christopher-worrell"
Cynthia F. Friedman,abortion,3,"Did not co-sponsor the Abortion Access Act on Act on Mass, indicating she does not support abortion access at all stages or through the second trimester without restriction. She did sponsor S.761 ensuring access to full spectrum pregnancy care, suggesting support for abortion in the first trimester and health-risk contexts consistent with a value-3 stance.","https://actonmass.org/legislators/cindy-friedman | https://malegislature.gov/Legislators/Profile/CFF0/Bills"
Cynthia F. Friedman,healthcare,3,"Did not co-sponsor Medicare for All on Act on Mass. Chairs the Joint Committee on Health Care Financing and has sponsored multiple bills on healthcare market oversight (S.868), insurance transparency (S.762), and protecting medically fragile children (S.866), indicating a regulate-and-improve approach rather than a single-payer system.","https://actonmass.org/legislators/cindy-friedman | https://malegislature.gov/Legislators/Profile/CFF0/Bills"
Cynthia F. Friedman,voting-rights,3,"Did not co-sponsor Voting Rights Restoration on Act on Mass (which would restore voting rights to formerly incarcerated individuals and expand access). No evidence of support for automatic registration or universal mail-in voting expansion.","https://actonmass.org/legislators/cindy-friedman"
Danielle W. Gregoire,abortion,3,"Did not co-sponsor the Abortion Access Act. No evidence of anti-abortion stance either. Represents a Marlborough/Framingham district with more moderate Democratic base; absence on the progressive abortion expansion bill suggests a maintain-current-access position.","https://actonmass.org/legislators/danielle-gregoire"
Danielle W. Gregoire,healthcare,3,"Did not co-sponsor Medicare for All (H.1239). No evidence of opposition to healthcare programs. Absence on the primary single-payer bill places her at regulating costs within the current mixed system.","https://actonmass.org/legislators/danielle-gregoire"
Danielle W. Gregoire,voting-rights,3,"Did not co-sponsor the Voting Rights Restoration Act (H.724). No evidence of support for expanding early voting or automatic registration. Scores at maintaining current system.","https://actonmass.org/legislators/danielle-gregoire"
David Robertson,abortion,3,"Did not co-sponsor the Abortion Access Act per Act on Mass tracker. As a Democrat who has not embraced the progressive bill, position aligns with first-trimester protections under existing MA law but without endorsing expanded access.","https://actonmass.org/legislators/david-robertson/"
David Robertson,healthcare,3,"Did not co-sponsor Medicare for All (H.1239) per Act on Mass tracker, indicating he does not support a single-payer system. No evidence of private-market advocacy; defaults to current regulated system.","https://actonmass.org/legislators/david-robertson/"
David Robertson,voting-rights,3,"Did not co-sponsor Voting Rights Restoration per Act on Mass. No election-related legislation found in sponsored bills.","https://actonmass.org/legislators/david-robertson/"
Dawne Shand,healthcare,3,"Did not co-sponsor Medicare for All per Act on Mass. As a Democrat who co-sponsors LGBTQ+ and labor bills but not M4A, she supports current regulated system without single-payer.","https://actonmass.org/legislators/dawne-shand/"
Dawne Shand,voting-rights,3,"Did not co-sponsor Voting Rights Restoration per Act on Mass. No election-related legislation found in sponsored bills. Moderate Democrat default.","https://actonmass.org/legislators/dawne-shand/"
Joan B. Lovely,abortion,3,"Did not co-sponsor the Abortion Access Act. As a long-serving moderate Democrat and Assistant Majority Leader who chairs Senate Rules, she has not championed expanded abortion access legislation; MA's 2020 ROE Act passed without her as lead sponsor.","https://actonmass.org/legislators/joan-lovely"
Joan B. Lovely,healthcare,3,"Did not co-sponsor Medicare for All. Has sponsored health insurance transparency and patient reimbursement equity bills (S.780-S.784), indicating support for reforming the current system rather than replacing it.","https://actonmass.org/legislators/joan-lovely | https://malegislature.gov/Legislators/Profile/JBL0"
Joan B. Lovely,voting-rights,3,"Did not co-sponsor the Voting Rights Restoration Act. No evidence of automatic registration or expanded early voting sponsorships.","https://actonmass.org/legislators/joan-lovely"
John C. Velis,abortion,3,"Did not co-sponsor the Abortion Access Act on Act on Mass. As a moderate Democrat and Army Reserve officer from a conservative-leaning Westfield area district, his absence from this bill suggests support for abortion in most contexts but not the most expansive access at all stages.","https://actonmass.org/legislators/john-velis"
John C. Velis,healthcare,3,"Did not co-sponsor Medicare for All on Act on Mass. As a moderate Democrat representing a competitive district, he likely supports regulated healthcare markets and assistance for those who cannot afford coverage rather than a single-payer system.","https://actonmass.org/legislators/john-velis"
John C. Velis,voting-rights,3,"Did not co-sponsor Voting Rights Restoration on Act on Mass. No evidence of support for automatic voter registration or expanded mail-in voting.","https://actonmass.org/legislators/john-velis"
John J. Cronin,abortion,3,"Did not co-sponsor the Abortion Access Act on Act on Mass. As a moderate Democrat representing a Worcester-area district, his absence from this bill suggests support for abortion in most contexts but not the most expansive access at all stages.","https://actonmass.org/legislators/john-cronin"
John J. Cronin,healthcare,3,"Did not co-sponsor Medicare for All on Act on Mass. As a moderate Democrat, he likely supports regulated healthcare markets and assistance for those who cannot afford coverage rather than single-payer.","https://actonmass.org/legislators/john-cronin"
John J. Cronin,voting-rights,3,"Did not co-sponsor Voting Rights Restoration on Act on Mass. Consistent with standardized voter access without automatic registration or expanded mail-in voting.","https://actonmass.org/legislators/john-cronin"
Mark C. Montigny,abortion,3,"Did not co-sponsor the Abortion Access Act on Act on Mass despite being a long-serving Democrat. His consumer protection and labor focus rather than reproductive rights legislation places him at supporting abortion access in most standard cases without the most expansive at-all-stages framework.","https://actonmass.org/legislators/mark-montigny"
Mark C. Montigny,healthcare,3,"Did not co-sponsor Medicare for All on Act on Mass. Despite being a long-serving progressive on consumer issues, his absence from single-payer legislation suggests a regulate-and-improve approach to the current system.","https://actonmass.org/legislators/mark-montigny"
