external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-19004,Randy Feenstra,abortion,4,Voted YES on Iowa SF471 (2017) making abortion illegal at 20 weeks with exceptions only for serious physical risk to the mother's life; has stated life begins at conception and supports the Heartbeat Bill in Congress. Record fits restricting abortion to serious threats to the mother's life rather than a complete ban.,https://www.ontheissues.org/House/Randy_Feenstra_Abortion.htm,https://ballotpedia.org/Randy_Feenstra,,Life begins at conception.,Life begins at conception.
-19004,Randy Feenstra,climate-change,5,"LCV lifetime score of 4%; scored 0% in 2025 (0 pro-environment votes, 32 anti-environment votes). Consistent pattern of voting against climate and environmental protection legislation, aligning with rejecting climate policies in favor of economic growth.",https://www.lcv.org/congressional-scorecard/moc/randy-feenstra,https://ballotpedia.org/Randy_Feenstra,,,
-19004,Randy Feenstra,fossil-fuels,4,"LCV scorecard records Feenstra voting to roll back the methane polluter fee and block states' cleaner truck pollution standards in 2025, consistent with a position of expanding fossil fuel production and opposing environmental regulations on extraction.",https://www.lcv.org/congressional-scorecard/moc/randy-feenstra,,,,
-19004,Randy Feenstra,tariffs,3,In 2020 survey Feenstra supported removing tariffs and barriers to benefit farmers; in 2025 praised Trump's 25% tariffs on Canada and Mexico as good for American farmers. His stated rationale centers on protecting agricultural industries selectively rather than universal protectionism or free trade.,https://www.ontheissues.org/House/Randy_Feenstra_Free_Trade.htm,https://en.wikipedia.org/wiki/Randy_Feenstra,,,
-19004,Randy Feenstra,taxes,4,Described as 'anti-taxation' with a conservative anti-tax rating; supports keeping Trump-era tax cuts and reducing Iowa taxes. As a Ways and Means Committee member he has supported broad tax reduction rather than drastic elimination of government.,https://www.ontheissues.org/House/Randy_Feenstra.htm,https://ballotpedia.org/Randy_Feenstra,,,
-19004,Randy Feenstra,healthcare,4,Opposes ACA expansion; in 2018 commented on helping those who cannot find insurance while supporting market-based coverage for most Americans. Voting record reflects leaving private insurance for most while providing limited help to those who cannot afford care.,https://www.ontheissues.org/House/Randy_Feenstra_Health_Care.htm,https://ballotpedia.org/Randy_Feenstra,,,
-19004,Randy Feenstra,immigration,4,"Supports building the southern border wall, backed sanctuary city bans, and voted against the NO BAN Act (Feb 2021) which would have added religious discrimination protections to immigration bans. His stated position is to oppose what he calls open borders policies.",https://www.ontheissues.org/House/Randy_Feenstra_Immigration.htm,https://ballotpedia.org/Randy_Feenstra,,Randy will support building the wall while opposing Nancy Pelosi's and Alexandria Ocasio-Cortez's reckless open borders policies that are endangering Iowa communities.,This candidate will support building the wall while opposing reckless open borders policies that are endangering our communities.
-19004,Randy Feenstra,deportation,4,"Supports aggressive immigration enforcement including sanctuary city bans and the southern border wall; votes and statements consistently favor deporting those without legal status with criminal histories prioritized, consistent with a broad deportation posture rather than total immediate removal.",https://www.ontheissues.org/House/Randy_Feenstra_Immigration.htm,https://ballotpedia.org/Randy_Feenstra,,,
-19004,Randy Feenstra,voting-rights,4,"Voted NO on H.R.1 (For the People Act) which would have expanded automatic voter registration, same-day registration, mail-in voting, and early voting access. His vote reflects a preference for requiring photo ID and maintaining stricter voter rolls rather than expanding access.",https://www.ontheissues.org/House/Randy_Feenstra_Government_Reform.htm,https://ballotpedia.org/Randy_Feenstra,,,
-19004,Randy Feenstra,redistricting,5,"Voted NO on H.R.1 which required states to establish independent redistricting commissions. His vote reflects opposition to independent redistricting reform, aligning with allowing the controlling party to draw maps.",https://www.ontheissues.org/House/Randy_Feenstra_Government_Reform.htm,https://ballotpedia.org/Randy_Feenstra,,,
-19004,Randy Feenstra,civil-rights,5,Voted NO on the George Floyd Justice in Policing Act (H.R.1280); voted NO on removing the ERA deadline ratification; opposes expanding federal civil rights enforcement. Record aligns with limiting race-based and equity programs.,https://www.ontheissues.org/House/Randy_Feenstra_Crime.htm,https://www.ontheissues.org/House/Randy_Feenstra_Civil_Rights.htm,https://ballotpedia.org/Randy_Feenstra,,
-19002,Ashley Hinson,abortion,4,"Hinson identified as pro-life per the Project Vote Smart survey (Sep 2020) and voted YES on making abortion illegal after 20 weeks. She supports legal abortion only in limited circumstances (rape, incest, life of the mother), aligning with stance 4 restricting abortion to those cases.",https://www.ontheissues.org/House/Ashley_Hinson.htm,,,,
-19002,Ashley Hinson,climate-change,5,"Hinson's LCV lifetime score is 8% (0% in 2025, 6% in 2024), indicating she votes against environmental protections at nearly every opportunity. She was rated anti-renewable energy per the 2020 PVS survey, consistent with rejecting climate change policy in favor of economic priorities.",https://www.lcv.org/congressional-scorecard/moc/ashley-hinson,https://www.ontheissues.org/House/Ashley_Hinson.htm,,,
-19002,Ashley Hinson,deportation,4,"Hinson supports continuing border wall construction, backs immigration bans from non-cooperating countries, and strongly opposes any pathway to citizenship for undocumented immigrants. This reflects a position of deporting all people without legal status, prioritized by criminal history.",https://www.ontheissues.org/House/Ashley_Hinson.htm,,,,
-19002,Ashley Hinson,fossil-fuels,5,"Hinson scored 0% on the LCV scorecard in 2025 (8% lifetime), voting against environmental protections at nearly every opportunity. She was rated anti-renewable energy per PVS (Sep 2020), consistent with removing restrictions and maximizing fossil fuel extraction.",https://www.lcv.org/congressional-scorecard/moc/ashley-hinson,https://www.ontheissues.org/House/Ashley_Hinson.htm,,,
-19002,Ashley Hinson,healthcare,4,"Hinson opposes expanding the ACA and voted against the American Rescue Plan (2021), which included expanded ACA subsidies. She opposes federal mandates and supports a limited government role in healthcare, helping only the poorest while leaving others to employers and private insurance.",https://www.ontheissues.org/House/Ashley_Hinson.htm,https://en.wikipedia.org/wiki/Ashley_Hinson,,,
-19002,Ashley Hinson,immigration,4,"Hinson supports border wall construction, immigration bans from non-cooperating countries, and strongly opposes a pathway to citizenship for undocumented immigrants. This aligns with making it harder to immigrate legally and limiting public services to those with legal status.",https://www.ontheissues.org/House/Ashley_Hinson.htm,,,,
-19002,Ashley Hinson,same-sex-marriage,2,"On July 19, 2022, Hinson voted for the Respect for Marriage Act, one of 47 Republicans to do so. The Act codifies same-sex marriage nationwide while preserving some religious liberty protections — matching stance 2 (allow SSM nationwide while protecting some organizations' right to decline participation).",https://en.wikipedia.org/wiki/Ashley_Hinson,,,,
-19002,Ashley Hinson,social-security,4,"In 2020, Hinson stated she was open to raising the retirement age for Social Security, signaling willingness to reduce future benefits for fiscal sustainability. This aligns with stance 4 (gradually raise the retirement age and reduce benefits for higher earners to save Social Security).",https://en.wikipedia.org/wiki/Ashley_Hinson,,,,
-19002,Ashley Hinson,taxes,4,"Hinson is strongly anti-taxation per PVS (Sep 2020) and supported Trump's One Big Beautiful Bill Act in 2025, holding celebratory events for its tax-cut provisions. She voted against the $1.9 trillion ARPA relief bill (2021). This record aligns with cutting taxes for everyone and scaling back public services.",https://www.ontheissues.org/House/Ashley_Hinson.htm,https://en.wikipedia.org/wiki/Ashley_Hinson,,,
-19002,Ashley Hinson,voting-rights,4,Hinson opposes expanding voter registration and voter access per her 2021 voting record. She also opposed the January 6 investigation commission. This aligns with stance 4 (require photo ID for voting and regularly update voter rolls to remove inactive registrations).,https://www.ontheissues.org/House/Ashley_Hinson.htm,,,,
-19001,Mariannette Miller-Meeks,abortion,4,"Wikipedia documents she opposes legalized abortion except in cases of rape, incest, or danger to the mother, and she is a member of the Pro-Life Caucus. This matches the stance that restricts abortion to cases involving rape, incest, or serious threats to the mother's life.",https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,https://www.ontheissues.org/House/Mariannette_Miller-Meeks.htm,,,
-19001,Mariannette Miller-Meeks,tariffs,3,"OnTheIssues records an anti-tariffs position from her 2020 campaign, but as a moderate Republican she has not advocated eliminating all tariffs; her record is consistent with selective use of tariffs to protect key industries rather than blanket elimination or blanket imposition.",https://www.ontheissues.org/House/Mariannette_Miller-Meeks.htm,,,,
-19001,Mariannette Miller-Meeks,taxes,4,"OnTheIssues records she favors pro-corporate tax cuts (Sep 2020) and opposed the $1.9 trillion ARPA COVID relief bill, favoring market-led recovery over government spending. This aligns with cutting taxes across income levels and scaling back public services.",https://www.ontheissues.org/House/Mariannette_Miller-Meeks.htm,,,,
-19001,Mariannette Miller-Meeks,healthcare,4,"She opposed the Affordable Care Act during her 2014 campaign (Wikipedia) and as a physician-Republican has consistently favored private market healthcare solutions, supporting only limited assistance for those who cannot afford care while leaving others to employers and private insurance.",https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,https://www.ontheissues.org/House/Mariannette_Miller-Meeks.htm,,,
-19001,Mariannette Miller-Meeks,climate-change,4,"Her LCV lifetime score is 9% (2024: 6%; 2023: 8%), indicating she votes against pro-environment climate measures in nearly all cases. She has criticized EPA regulations on waterways and coal plants as creating uncertainty. This aligns with letting market forces drive any energy transition rather than government climate mandates.",https://www.lcv.org/congressional-scorecard/moc/mariannette-miller-meeks,https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,,,
-19001,Mariannette Miller-Meeks,fossil-fuels,4,LCV lifetime score of 9% combined with her criticism of EPA regulations on coal plants and waterways signals consistent support for fossil fuel production. As a member of the House Energy and Commerce Committee she has supported expanded energy production over new environmental restrictions.,https://www.lcv.org/congressional-scorecard/moc/mariannette-miller-meeks,https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,,,
-19001,Mariannette Miller-Meeks,voting-rights,4,OnTheIssues documents she opposes expanding voter registration and voter access (Mar 2021) and opposed D.C. statehood. This is consistent with requiring photo ID for voting and maintaining stricter voter roll standards rather than expanding access.,https://www.ontheissues.org/House/Mariannette_Miller-Meeks.htm,,,,
-19001,Mariannette Miller-Meeks,immigration,4,She is documented as pro-border wall and supporting immigration bans from non-cooperating countries (OnTheIssues). This aligns with making legal immigration harder and limiting public services to those with legal status.,https://www.ontheissues.org/House/Mariannette_Miller-Meeks.htm,https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,,,
-19001,Mariannette Miller-Meeks,deportation,4,"Pro-border wall stance and support for immigration bans from non-cooperating countries indicate she supports deporting those without legal status, with criminal history prioritized first, consistent with broad enforcement short of immediate mass removal regardless of family ties.",https://www.ontheissues.org/House/Mariannette_Miller-Meeks.htm,https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,,,
-19001,Mariannette Miller-Meeks,same-sex-marriage,4,"Wikipedia records she opposed same-sex marriage during her 2014 campaign. Per the evidence bar, no documented anti-recognition roll-call vote or explicit pro-constitutional-amendment position is found, so value=4 (recognizing civil unions but reserving marriage for opposite-sex couples) is the best match for a documented opposition without a ban position.",https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,,,,
-19003,Zachary Nunn,abortion,4,"Nunn opposes abortion but supports exceptions for rape, incest, and threats to the mother's life, and explicitly opposes federal abortion bans — believing policy should be set by states. He voted for a 6-week heartbeat ban as a state senator (2018) and a 20-week ban (2017), and opposes government funding for Planned Parenthood.",https://www.ontheissues.org/House/Zach_Nunn.htm,https://en.wikipedia.org/wiki/Zach_Nunn,,,
-19003,Zachary Nunn,civil-rights,5,"Nunn stated 'gender identity isn't a protected class' and opposes reparations, disputing that racism constitutes a societal threat. These positions align with eliminating race-based and identity-based government programs rather than enforcing or expanding civil rights protections.",https://www.ontheissues.org/House/Zach_Nunn.htm,,,,
-19003,Zachary Nunn,climate-change,4,"Nunn's LCV lifetime score is 6% (2025 score: 3%), with only 1 pro-environment vote against 31 anti-environment votes in 2025. He has consistently voted against clean energy investments, clean air and water protections, and climate action measures, while advocating for domestic energy extraction. This aligns with letting market forces drive any energy transition.",https://www.lcv.org/congressional-scorecard/moc/zach-nunn,https://www.ontheissues.org/House/Zach_Nunn.htm,,,
-19003,Zachary Nunn,fossil-fuels,4,"Nunn advocates for domestic energy extraction while following best-practices standards, reflecting support for expanding fossil fuel permits rather than restricting them. His near-zero LCV score (6% lifetime) confirms consistent anti-restriction voting on fossil fuel and energy issues.",https://www.ontheissues.org/House/Zach_Nunn.htm,https://www.lcv.org/congressional-scorecard/moc/zach-nunn,,,
-19003,Zachary Nunn,healthcare,4,"Nunn opposes mandatory vaccinations and has not supported public-option or universal coverage proposals. His legislative activity focuses on targeted programs (maternal healthcare access via HEALTH for MOM Act cosponsorship) rather than systemic expansion, suggesting he favors limiting government healthcare assistance to the neediest while leaving others to private insurance.",https://en.wikipedia.org/wiki/Zach_Nunn,https://www.ontheissues.org/House/Zach_Nunn.htm,,,
-19003,Zachary Nunn,immigration,4,Nunn supports stricter legal immigration policies and has focused on border security as a prerequisite for other legislation. His positions align with reducing legal immigration and limiting public services to those with legal status.,https://www.ontheissues.org/House/Zach_Nunn.htm,,,,
-19003,Zachary Nunn,social-security,3,"Nunn introduced the Social Security Overpayment Relief Act (2025), which limits SSA's ability to claw back overpayments to a 10-year window, protecting current beneficiaries. This is a targeted protective reform consistent with making small adjustments to keep the program stable rather than expanding or privatizing it.",https://en.wikipedia.org/wiki/Zach_Nunn,,,,
-19003,Zachary Nunn,taxes,4,"Nunn supports income tax cuts as a mechanism for community economic growth, consistent with reducing tax rates across income levels. He has not proposed closing loopholes or raising taxes on any income group.",https://www.ontheissues.org/House/Zach_Nunn.htm,,,,
-19003,Zachary Nunn,voting-rights,4,"Nunn supports requiring voter identification and explicitly opposes federal takeover of the election system, positions consistent with requiring photo ID for voting and maintaining state-controlled voter roll management.",https://www.ontheissues.org/House/Zach_Nunn.htm,,,I oppose a Federal take-over of the election system,I oppose a Federal take-over of the election system
-19003,Zachary Nunn,religious-freedom,4,"Nunn stated he is free to bring religious convictions into public arena and sponsored state legislation reflecting faith-based values. These positions align with protecting religious freedom and allowing faith-based exemptions from conflicting laws, though not the most extreme position of complete organizational autonomy.",https://www.ontheissues.org/House/Zach_Nunn.htm,,,Free to bring religious convictions into public arena,Free to bring religious convictions into public arena
