full_name,topic_key,source_url,snippet,snippet_index
Michael K. McKell,abortion,https://le.utah.gov/~2023/bills/hbillenr/HB0297.htm,"The bill is titled ""Victim Services Amendments"" for the 2023 General Session. House Sponsor: Kera Birkeland. Senate Sponsor: Michael K. McKell. The bill specifies that an abortion based upon rape, rape of a child, or incest requires that the unborn child has not reached 18 weeks gestational age. Before performing such an abortion, the physician must verify that the incident has been reported to law enforcement and maintain accurate records. The bill establishes three circumstances permitting abortion: (1) life/health endangerment to the pregnant woman, (2) severe fetal abnormalities with two maternal-fetal medicine physicians' concurrence, (3) pregnancies from rape, rape of a child, or incest (limited to pre-18 week gestational age).",0
Michael K. McKell,abortion,https://freedomindex.us/ut/vote/1267461/,"The Utah Senate passed HB 467 on March 2, 2023, with a vote of 22 to 6. The measure ""Prevents an abortion clinic from being licensed after May 2, 2023, and from operating on or after January 1, 2024."" Yes votes (22): J. Stuart Adams, Jacob L. Anderegg, Curtis S. Bramble, Gregg D. Buxton, Kirk A. Cullimore, Lincoln Fillmore, Keith Grover, Wayne A. Harper, David P. Hinkins, Don L. Ipson, John D. Johnson, Michael S. Kennedy, Daniel McCay, Michael K. McKell, Ann Millner, Derrin R. Owens, Scott D. Sandall, Jerry W. Stevenson, Evan J. Vickers, Todd D. Weiler, Chris H. Wilson, Ronald M. Winterton. No votes (6): Nate Blouin, Luz Escamilla, Karen Kwan, Stephanie Pitcher, Jennifer Plumb, Kathleen A. Riebe.",0
Michael K. McKell,trans-athletes,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2022GS&voteid=1835&house=S,"Vote Result: Yeas 21 Nays 8 Abs 0 on March 25, 2022, on the veto override of HB 11 (Student Eligibility in Interscholastic Activities — transgender sports ban). Senators who voted Yes (21): Adams J. S., Anderegg J., Bramble C., Buxton D. G., Cullimore K. A., Fillmore L., Grover K., Harper W., Hinkins D., Ipson D., Johnson J., Kennedy M., McCay D., McKell M., Millner A., Owens D.R., Sandall S., Stevenson J., Vickers E., Wilson C., and Winterton R. Senators who voted No (8): Davis G., Escamilla L., Iwamoto J., Kitchen D., Mayne K., Riebe K., Thatcher D., and Weiler T.",0
Michael K. McKell,trans-athletes,https://www.deseret.com/utah/2022/3/25/22996277/you-belong-salt-lake-city-leaders-tell-utah-transgender-youth-veto-override-lgbt-politics-sports-ban/,"The Senate voted 21-8 to give final approval to the override, one vote over the margin needed for the supermajority. At least four Republican lawmakers from both bodies needed to switch their initial votes in opposition to HB11 to support the override. When the vote came, enough did. Sens. Lincoln Fillmore, Mike Kennedy, Mike McKell, Ann Millner along with Senate Majority Leader Evan Vickers flipped to a ""yea"" vote to secure the override.",0
Michael K. McKell,religious-freedom,https://utahnewsdispatch.com/2024/02/13/religious-freedom-lgbtq-discrimination-compromise-utah/,"The Utah Senate voted unanimously Tuesday to approve a new version of SB150 after its sponsor, Sen. Todd Weiler, R-Woods Cross, negotiated with LGBTQ+ advocates and others to make clear it shouldn't jeopardize laws the Utah Legislature has passed over the years to protect LGBTQ+ and other civil rights. The latest version of the bill contains ""carefully negotiated"" language meant to ""complement rather than disrupt"" Utah's existing legal protections for LGBTQ+ Utahns. SB150 would ban Utah government entities from being able to ""substantially burden"" a person's constitutional right to freedom of religion unless doing so is ""essential to furthering a compelling governmental interest."" The bill is modeled after Arizona's similar legislation.",0
Michael K. McKell,school-vouchers,https://www.standard.net/news/education/2023/jan/24/utah-senate-committee-advances-school-voucher-bill-ed-groups-unite-in-opposition/,"The Utah Senate education committee voted 7-2 to advance House Bill 215. Senator Mike McKell (R-Spanish Fork) voted in favor of the bill. Shauna Warnick, a Nebo School District Board member, expressed disappointment: ""He is normally a great supporter of public education and I'm disappointed with his choice, but I very much respect my senator."" The ""Utah Fits All Scholarship Program"" would provide $8,000 vouchers for students to attend private schools or pay for homeschool expenses, with teacher salary raises dependent on the implementation and funding of this program.",0
Michael K. McKell,school-vouchers,https://le.utah.gov/~2023/bills/static/HB0215.html,"HB 215 is titled ""Funding for Teacher Salaries and Optional Education Opportunities."" House Sponsor: Rep. Candice B. Pierucci. Floor Sponsor: Sen. Kirk A. Cullimore. The Senate passed the bill on third reading with a vote of 20-8-1 (20 yes, 8 no, 1 absent/abstain) on January 26, 2023. The bill was signed by the Governor on January 28, 2023, and became effective May 3, 2023 as the Utah Fits All Scholarship program providing education savings accounts to all Utah families.",0
Michael K. McKell,voting-rights,https://www.deseret.com/politics/2025/02/24/utah-lawmakers-in-the-house-and-senate-want-to-change-vote-by-mail/,"Senate sponsor Mike McKell, R-Spanish Fork, emphasized that maintaining accessible mail voting remained important, particularly for rural Utahns, while also incorporating security improvements. ""Let me be clear, one of the priorities for the Senate is to preserve vote by mail. We want it to be convenient. But we will address those concerns in the bill. We will enhance security."" McKell cited logistical challenges as the Senate's primary objection to the original bill's requirements for staffed drop boxes: ""We heard back from counties that it would have added significant costs but not improved the security.""",0
Michael K. McKell,voting-rights,https://utahnewsdispatch.com/2025/02/25/utah-house-passes-scaled-back-bill-to-require-voter-id-still-allow-voting-by-mail/,"HB 300 was scaled back through negotiations by Sen. Mike McKell to require Utah voters to write the last four digits of their ID on their ballot's return envelope beginning in 2026 and slowly phase out Utah's current automatic vote-by-mail system, setting a deadline of January 1, 2029. McKell said of the new version of the bill: ""We want voting as easy as possible without cheating, but we also wanted to make sure that we enhanced security.""",0
Michael K. McKell,redistricting,https://le.utah.gov/committee/committee.jsp?com=SPELRD&year=2021,"The 2021 Legislative Redistricting Committee included Senate Members: Sen. Scott D. Sandall (R) Chair; Sen. Kirk A. Cullimore (R); Sen. Gene Davis; Sen. Lincoln Fillmore (R); Sen. Don L. Ipson (R); Sen. Karen Mayne; Sen. Michael K. McKell (R). The committee was charged with drawing new maps following the 2020 census. The Republican-majority committee voted along party lines to adopt legislatively drawn maps over the independent commission's recommendations, rejecting all maps proposed by the advisory Independent Redistricting Commission established by voter-approved Proposition 4 in 2018.",0
Michael K. McKell,redistricting,https://www.deseret.com/utah/2021/11/8/22770759/utah-redistricting-lawmakers-select-own-maps-over-independent-ones-voter-districts-gerrymandering/,"Utah's Legislative Redistricting Committee voted to adopt its own voter districts, voting along party lines with Republicans outnumbering Democrats, to approve congressional maps and forward them to the full Utah Legislature. The new map drawn by the state Legislature largely ignored a set of plans proposed by the state's advisory Independent Redistricting Commission. Utah's redistricting battle exemplified a clash between the legislature's claimed authority and the voter-approved Prop 4 independent commission. The Senate voted 21-7 to approve the map, which gave the congressional map final approval it needed to clear the Republican-controlled Utah Legislature.",0
Michael K. McKell,immigration,https://www.ksl.com/article/51437167/bill-meant-to-curb-immigration-enforcement-efforts-in-utah-stalls-in-committee,"Critics of the measure said it would undermine efforts to foster cooperation between local and state law enforcement and their federal counterparts. While it may contain some exceptions allowing for some cooperative efforts among law enforcement officials, ""this is a bill that says, 'Don't work together,'"" said Sen. Michael McKell, R-Spanish Fork. ""I don't know why we would message that we don't want our law enforcement officials working together. We live in a divided nation, and it's not OK, and we need our law enforcement community, both federal and state, working together."" McKell argued that the bill would send the wrong message by discouraging coordination.",0
Michael K. McKell,deportation,https://www.deseret.com/politics/2025/03/01/utah-senate-lawmakers-vote-on-immigration-law-enforcement-bills/,"On Wednesday, Musselman and Sen. Mike McKell, R-Spanish Fork, voted against Pierucci's bill. Three days later, after Pierucci narrowed the size and scope of her bill, they jumped on board. McKell initially objected to earlier versions of HB 226 over concerns about provisions affecting legal immigrants, but supported the revised version of the deportation bill once those concerns were addressed.",0
Michael K. McKell,deportation,https://www.kpcw.org/state-regional/2025-02-27/utah-senate-panel-rejects-immigration-bill-but-gop-leaders-insist-theyre-still-on-board-with-trumps-mass-deportations,"Senate Majority Assistant Whip Mike McKell, R-Spanish Fork, said: ""We do want violent criminals to leave the state."" Despite initially voting to table HB 226, McKell and other GOP leaders insisted they were still on board with Trump's mass deportations and would support a narrowed version of the legislation that focused on criminal immigrants.",0
Michael K. McKell,taxes,https://www.standard.net/news/government/2024/feb/29/utah-legislature-approves-167-million-income-tax-cut-largely-benefitting-high-earners/,"The Utah Legislature approved a $167 million income tax cut largely benefitting high earners. SB 69 lowers the income tax from 4.65% to 4.55%. The bill sailed easily through the GOP-controlled Utah Legislature, passing the Senate 23-6 on January 31, 2024, and the House 63-11 on February 28, 2024. Since 2021, Utah's tax rate has dropped from 4.95% to 4.85% in 2022, 4.65% in 2023, 4.55% in 2024, and 4.5% in 2025.",0
