full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Nydia M. Velázquez,,healthcare,1,"Velázquez has consistently advocated for universal healthcare as a right. She is rated 100% by the American Public Health Association, supports expanded Medicare coverage, opposes privatization, and has championed making healthcare a public guarantee rather than a market commodity.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,https://www.progressivepunch.org/scores.htm?house=house&party=D&state=NY&district=7,,"Make health care a right, not a privilege","Make health care a right, not a privilege"
Nydia M. Velázquez,,abortion,1,"Velázquez is rated 100% by NARAL and 0% by NRLC, supports abortion access 'without restrictions,' and has consistently voted to protect reproductive rights including opposing federal funding restrictions on abortion services.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"""Access safe, legal abortion without restrictions""","""Access safe, legal abortion without restrictions"""
Nydia M. Velázquez,,tariffs,3,"Velázquez has voted against CAFTA, US-Australia, US-Singapore, and Chile free trade deals, opposed Fast Track trade authority and Permanent Normal Trade Relations with China. She opposes free trade agreements without worker and environmental protections, aligning with selective tariff use to protect American workers rather than full protectionism or free trade.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Oppose USMCA until more environmental & job protections","Oppose USMCA until more environmental & job protections"
Nydia M. Velázquez,,taxes,1,"Velázquez is rated 100% by Citizens for Tax Justice, opposes Bush-era tax cuts, supports raising the estate tax to 1990s levels, favors closing offshore loopholes, and advocates reducing the concentration of wealth and wage inequality. Her record reflects the most progressive end of the tax spectrum.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Reduce the concentration of wealth & wage inequality","Reduce the concentration of wealth & wage inequality"
Nydia M. Velázquez,,same-sex-marriage,1,"Velázquez is rated 88% by the Human Rights Campaign, opposes constitutional amendments restricting marriage, voted against DC gay adoption bans, and supports domestic partnership benefits for federal employees. Her record reflects full federal recognition of same-sex marriages.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,,,
Nydia M. Velázquez,,religious-freedom,1,"Velázquez is rated 8% by the Christian Coalition, opposes school prayer, opposes religious organization tax breaks, and supports court review of religious references in public institutions. Her record reflects strict separation of religion from public institutions with no religious exemptions from civil rights law.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"""Religious freedom means no religious registry""","Religious freedom means no religious registry"
Nydia M. Velázquez,,ukraine-support,2,"Velázquez voted with President Biden's stated position 100% of the time during the 117th Congress, and Biden consistently championed Ukraine military and economic aid. Her 100% SANE (pro-peace) rating and membership in the Out-of-Iraq Caucus suggest she supports current aid levels but not escalation — aligning with continuing existing military/economic support.",https://en.wikipedia.org/wiki/Nydia_Vel%C3%A1zquez,https://www.progressivepunch.org/scores.htm?house=house&party=D&state=NY&district=7,,,
Nydia M. Velázquez,,medicare/aid,2,"Velázquez is rated 100% by the Alliance for Retired Americans, voted to override vetoes expanding Medicare and SCHIP, supports negotiated drug prices, and opposes means-testing or privatization. Her record is consistent with lowering Medicare eligibility and significant Medicaid expansion.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Reject privatization; don't raise the retirement age","Reject privatization; don't raise the retirement age"
Nydia M. Velázquez,,fossil-fuels,2,"Velázquez supports a moratorium on offshore oil drilling, opposes ANWR development, and supports the Green New Deal (which calls for phasing out new fossil fuel permits). She is rated 95% by the League of Conservation Voters. Her record aligns with stopping new fossil fuel permits without an immediate ban on all existing extraction.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"""Preserve Alaska's ANWR instead of drilling it""","Preserve Alaska's ANWR instead of drilling it"
Nydia M. Velázquez,,voting-rights,1,"Velázquez supports automatic voter registration, same-day voter registration, election day as a holiday, and opposes voter ID requirements. She sponsored H.R. 1 (voter registration expansion bill) in February 2021. Her record aligns with automatic registration and maximum voter access.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Allow same-day voter registration on election day","Allow same-day voter registration on election day"
Nydia M. Velázquez,,deportation,1,"Velázquez is rated 0% by FAIR (indicating strong pro-immigration stance), supports providing lawyers for children facing deportation, backs DREAMER protections, and opposes border walls. Her record reflects opposing deportations broadly and protecting undocumented residents.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Provide lawyers and evidence for children being deported","Provide lawyers and evidence for children being deported"
Nydia M. Velázquez,,social-security,1,"Velázquez is rated 100% by the Alliance for Retired Americans, explicitly opposes privatization of Social Security, opposes raising the retirement age, and opposes chained CPI adjustments. Her positions align with expanding Social Security and removing the income cap on payroll taxes.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Reject privatization; don't raise the retirement age","Reject privatization; don't raise the retirement age"
Nydia M. Velázquez,,climate-change,2,"Velázquez endorses the Green New Deal ('10-year national mobilization'), supports 50% clean and carbon-free electricity by 2030, and is rated 95% by the League of Conservation Voters. Her positions reflect rapid transition to renewable energy and phasing out fossil fuels, aligning with value 2 rather than a full emissions ban at value 1.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Green New Deal: 10-year national mobilization","Green New Deal: 10-year national mobilization"
Nydia M. Velázquez,,civil-rights,2,"Velázquez is rated 97% by the NAACP and 93% by the ACLU, supports affirmative action, the Equal Rights Amendment, wage discrimination enforcement, and police accountability reform. Her record reflects strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,,,
Nydia M. Velázquez,,housing,2,"Velázquez supports revitalizing public housing, backs Section 8 housing vouchers, and has consistently advocated for affordable housing investment. As a co-sponsor of multiple housing expansion measures, her record aligns with using public funds to build affordable units and maintain rental assistance programs.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,,,
Nydia M. Velázquez,,campaign-finance,1,"Velázquez supports public financing of federal campaigns through voter vouchers, backed independent expenditure disclosure requirements, and opposes soft money contributions. Her explicit support for publicly funded campaigns aligns with value 1 (ban all private money; publicly fund campaigns).",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Public financing of federal campaigns by voter vouchers","Public financing of federal campaigns by voter vouchers"
Nydia M. Velázquez,,immigration,1,"Velázquez is rated 0% by FAIR, supports increasing both high-skill and family-based visa caps, backs pathways to citizenship, opposes restricting public services for undocumented immigrants, and sponsored a bill to disallow religion-based immigration bans. Her record is the most pro-immigration on the scale.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Increase both high-skill and family-based visa caps","Increase both high-skill and family-based visa caps"
Nydia M. Velázquez,,redistricting,1,"Velázquez sponsored H.R. 1 (For the People Act) in February 2021, which included establishing independent citizens' redistricting commissions with no elected officials drawing maps. This sponsorship aligns with value 1 on the redistricting scale.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,,,
Nydia M. Velázquez,,school-vouchers,1,"Velázquez is rated 100% by the NEA (National Education Association) and has explicitly stated opposition to private and religious school voucher programs. She voted against DC opportunity scholarships (a school voucher program). Her record reflects fully opposing diversion of public funds to private institutions.",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,"Oppose private and religious school voucher programs","Oppose private and religious school voucher programs"
Nydia M. Velázquez,,childcare,3,"Velázquez supports paid parental leave for federal employees and advocates tax incentives for childcare. The specific evidence points to targeted tax-based approaches rather than universal subsidy expansion, aligning with value 3 (targeted tax credits and subsidies for families below an income threshold with provider support grants).",https://www.ontheissues.org/NY/Nydia_Velazquez.htm,,,,,
