class,name,district,term_end,searches,search_result,lead_type,lead_url,lead_quote,new_roster_sources,prior_roster_span,id
NO_EVIDENCE,Arturo Montez,abc unified,2024-11-30,"WebSearch: ""Arturo Montez"" OR ""Art Montez"" ABC Unified board Cerritos || Bing (browser): ""Arturo Montez"" trustee Cerritos OR Artesia","""Arturo Montez"" OR ""Art Montez"" ABC Unif... -> Art Montez = Centralia SD trustee (Ballotpedia) - name-only || ""Arturo Montez"" trustee Cerritos OR... -> no hit","OTHER BOARD, Orange County (name-only)",https://ballotpedia.org/Art_Montez,"Art Montez, Centralia School District trustee (per CA_0156)","LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",1995-2026,e1b7f87e-cde7-408b-860a-f2e034a5dfe0
NO_EVIDENCE,Mike Seck,abc unified,2022-11-30,"WebSearch: ""Mike Seck"" ABC Unified board of education || WebSearch: ""Mike Seck"" trustee Cerritos","""Mike Seck"" ABC Unified board of educati... -> no hit (ABC pages only) || ""Mike Seck"" trustee Cerritos -> no hit",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",1995-2026,401d37f3-24d8-4b95-8be5-46dab72bc477
NO_EVIDENCE,Olimpia Miranda,abc unified,2024-11-30,"WebSearch: ""Olimpia Miranda"" Cerritos OR Artesia OR ""Hawaiian Gardens"" school board || WebSearch: ""Olimpia Miranda"" ABC Unified board","""Olimpia Miranda"" Cerritos OR Artesia OR... -> no hit || ""Olimpia Miranda"" ABC Unified board -> no hit",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",1995-2026,d142c4c9-ad9c-4003-ac48-27e035ff8f62
NO_EVIDENCE,Paula Lantz,abc unified,2024-11-30,"WebSearch: ""Paula Lantz"" trustee Cerritos OR Lakewood OR Artesia || Bing (browser): DDG ""Paula Lantz"" Pomona council || Bing (browser): ""Paula Lantz"" ""ABC Unified"" board || Bing (browser): ""Paula Lantz"" trustee Cerritos/Artesia/Lakewood school","""Paula Lantz"" trustee Cerritos OR Lakewo... -> LEAD: SCAG 2016 minutes: Paula Lantz, Pomona (SGVCOG) - other office, name-only || DDG ""Paula Lantz"" Pomona council -> Pomona Hope board; Pomona City Council D4 (Daily Bulletin 2016, GovSalaries 2013) - other office, name-only || ""Paula Lantz"" ""ABC Unified"" board -> no hit || ""Paula Lantz"" trustee Cerritos/Arte... -> no hit",OTHER OFFICE (name-only),https://govsalaries.com/paula-h-lantz-67919498,Pomona records show Paula Lantz H held job of Councilmember from 2011 to 2014.,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",1995-2026,bdfbb3bc-d63c-4188-9ba2-528fa9bcf6ec
NO_EVIDENCE,Ramona Anand,abc unified,2022-11-30,"WebSearch: ""Ramona Anand"" ABC Unified Cerritos trustee || WebSearch: ""Ramona Anand""","""Ramona Anand"" ABC Unified Cerritos trus... -> no hit || ""Ramona Anand"" -> only an Ohio engineer (Lorain CCC)",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",1995-2026,c3b1093f-891b-4fd2-bc47-521af38f693d
NO_EVIDENCE,Sommer Foster,abc unified,2025-04-25,"WebSearch: ""Sommer Foster"" trustee Cerritos || Bing (browser): ""Sommer Foster"" trustee Cerritos/Artesia/HG","""Sommer Foster"" trustee Cerritos -> Canton Twp (MI) trustee - other office, name-only || DDG -> CAPTCHA (stopped DDG); Bing ""Somm... -> no hit","OTHER OFFICE, far away (name-only)",,Canton Township (Michigan) trustee per search results; not fetched,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",1995-2026,220bbe64-4cd0-4949-b7a4-7453e316b1f0
NO_EVIDENCE,Ed Chung,arcadia unified,2023-12-31,"WebSearch: ""Ed Chung"" ""Arcadia Unified"" board of education || Bing (browser): ""Ed Chung"" trustee Arcadia","""Ed Chung"" ""Arcadia Unified"" board of ed... -> no hit || ""Ed Chung"" trustee Arcadia -> people-search only",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",2002 and 2019 district page snapshots + RR/CC 2020-2026,29d411a9-c672-4549-8c2e-a9b276cf8537
NO_EVIDENCE,Elizabeth Mensah,arcadia unified,2025-12-31,"WebSearch: ""Elizabeth Mensah"" Arcadia Unified board || Bing (browser): ""Elizabeth Mensah"" Arcadia school board","""Elizabeth Mensah"" Arcadia Unified board -> no hit || ""Elizabeth Mensah"" Arcadia school b... -> no hit",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",2002 and 2019 district page snapshots + RR/CC 2020-2026,be1c71f8-d5d9-416e-a713-35ccda7a5743
NO_EVIDENCE,Tim Tran,arcadia unified,2023-12-31,"WebSearch: ""Tim Tran"" ""Arcadia Unified"" board member || Bing (browser): ""Tim Tran"" trustee Arcadia school","""Tim Tran"" ""Arcadia Unified"" board membe... -> no hit || ""Tim Tran"" trustee Arcadia school -> no hit",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",2002 and 2019 district page snapshots + RR/CC 2020-2026,bf906462-f937-4d8c-b452-6555e95b4bac
NO_EVIDENCE,Ariel Mestas,baldwin park unified,2022-11-30,"WebSearch: ""Ariel Mestas"" Baldwin Park Unified board || Bing (browser): ""Ariel Mestas"" trustee ""Baldwin Park""","""Ariel Mestas"" Baldwin Park Unified boar... -> no hit || ""Ariel Mestas"" trustee ""Baldwin Par... -> no hit",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",2001-2026,9d2713c4-1d4f-4c40-ae35-b331e9771fa1
NO_EVIDENCE,Herman Dace,baldwin park unified,2024-11-30,"WebSearch: ""Herman Dace"" Baldwin Park Unified school board || Bing (browser): ""Herman Dace"" ""Baldwin Park""","""Herman Dace"" Baldwin Park Unified schoo... -> no hit || ""Herman Dace"" ""Baldwin Park"" -> Facebook profile only",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",2001-2026,74bfd93c-d707-4432-8e99-ad62a20a1235
NO_EVIDENCE,Leticia Garcia,baldwin park unified,2024-11-30,"WebSearch: ""Leticia Garcia"" ""Baldwin Park Unified"" board member trustee || Bing (browser): ""Leticia Garcia"" trustee ""Baldwin Park"" school board","""Leticia Garcia"" ""Baldwin Park Unified"" ... -> only Sacramento City USD Leticia Garcia (Ballotpedia) - name-only other district || ""Leticia Garcia"" trustee ""Baldwin P... -> Sacramento City USD only",OTHER BOARD (name-only),https://ballotpedia.org/Leticia_Garcia_(California_school_board_member),Leticia Garcia was a member of the Sacramento City Unified School District school board,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",2001-2026,090f3cb2-20e9-42a9-872e-80081f3b5bfe
NO_EVIDENCE,Mario Ventura Rodriguez,baldwin park unified,2024-11-30,"WebSearch: ""Mario Ventura Rodriguez"" OR ""Mario V. Rodriguez"" Baldwin Park Unified board || Bing (browser): ""Mario Rodriguez"" trustee ""Baldwin Park Unified""","""Mario Ventura Rodriguez"" OR ""Mario V. R... -> no hit || ""Mario Rodriguez"" trustee ""Baldwin ... -> no hit",,,,"LACOE directory board lists: 2012-13 printed directory (Wayback 2012-10-04); 2013 printed directory (Wayback 2013-01-16); online directory 2016; online directory live 2026-09-23 (name absent from all); RR/CC results 2013-2026 re-pulled, 73 elections (name not a candidate for this board)",2001-2026,93989522-c68e-4187-bf11-99afb673473f
