position_name,primary_party,total_candidates,linked_to_politician,stub_candidates
Bean Blossom Township Trustee,Republican,1,1,0
Benton Township Board,Democratic,1,0,1
Benton Township Trustee,Democratic,1,1,0
Bloomington Township Board,Democratic,3,3,0
Bloomington Township Trustee,Democratic,1,1,0
Clear Creek Township Board,Democratic,3,0,3
Clear Creek Township Board,Republican,4,0,4
Clear Creek Township Trustee,Democratic,1,0,1
Clear Creek Township Trustee,Republican,3,2,1
Ellettsville Town Council Ward 4,Republican,1,0,1
Ellettsville Town Council Ward 5,Republican,1,0,1
Indian Creek Township Board,Republican,3,3,0
Indian Creek Township Trustee,Democratic,1,0,1
Indian Creek Township Trustee,Republican,1,1,0
"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,1,1,0
"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,1,1,0
Monroe County Assessor,Democratic,2,1,1
Monroe County Clerk,Democratic,3,0,3
Monroe County Clerk,Republican,1,0,1
Monroe County Commissioner District 1,Democratic,2,2,0
Monroe County Council District 1,Democratic,1,1,0
Monroe County Council District 2,Democratic,1,1,0
Monroe County Council District 3,Republican,1,0,1
Monroe County Council District 4,Democratic,1,1,0
Monroe County Prosecuting Attorney,Democratic,2,1,1
Monroe County Recorder,Democratic,1,1,0
Monroe County Sheriff,Democratic,1,1,0
Perry Township Board,Democratic,5,3,2
Perry Township Trustee,Democratic,2,0,2
Polk Township Trustee,Republican,1,1,0
Richland Township Board,Republican,4,2,2
Richland Township Trustee,Republican,1,1,0
Salt Creek Township Board,Democratic,3,2,1
Salt Creek Township Trustee,Democratic,1,1,0
"State Representative, District 060",Democratic,1,0,1
"State Representative, District 060",Republican,3,2,1
"State Representative, District 061",Democratic,2,2,0
"State Representative, District 062",Democratic,1,1,0
"State Representative, District 062",Republican,1,1,0
"United States Representative, Ninth District",Democratic,4,4,0
"United States Representative, Ninth District",Republican,1,1,0
Van Buren Township Board,Democratic,1,0,1
Van Buren Township Board,Republican,2,2,0
Van Buren Township Trustee,Republican,1,1,0
Washington Township Board,Republican,3,3,0
Washington Township Trustee,Republican,1,1,0
