full_name,politician_id,topic_key,value,reasoning
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,abortion,4,"Voted YEA on SB174 (2020), Utah's trigger abortion ban that prohibits elective abortions except in cases of rape, incest, or serious threat to the mother's life. This is consistent with voting to give the bill a favorable committee recommendation and aligns with the bill's framework. — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,trans-athletes,4,"Voted YES on the veto override of HB11 (March 2022), banning transgender girls from competing in school sports matching their gender identity. Vickers initially voted no but changed his vote to yes, explaining 'I want to acknowledge this is a process for us to get into a special session to make amendments to the bill so with that I change my vote from a no to a yes.' — best matches stance 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,religious-freedom,4,"Sponsored SB320 (2025), which allows physicians to refuse non-life-threatening medical services based on moral, religious, or ethical beliefs — covering abortion, transgender care, vaccines, and contraception. Vickers said the intent was to 'give some physicians cover in certain spaces where they have either moral, religious, or ethical beliefs that may be in violation of whatever the procedure is that they're being asked to do.' — best matches stance 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,school-vouchers,4,"As Senate majority leader, led and passed HB215 (2023, 20-8 Senate vote) establishing the Utah Fits All Scholarship — an $8,000 voucher for families to use at private schools with no income cap. His 2023 session priorities included coupling teacher pay with school choice expansion. — best matches stance 4 (expanding voucher eligibility to most families so parents can choose the school that best fits their child, while maintaining baseline public school funding)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,fossil-fuels,4,"Vickers explicitly states he supports legislation to give Utah more control over federally managed public lands to 'lead to more gas, oil and coal production which can help our local economy' and supports 'responsible energy development that balances preservation with progress.' He sponsored SB311 (2025) expanding sales tax exemptions for alternative energy storage but his overall policy direction emphasizes expanding fossil fuel production. — best matches stance 4 (expand fossil fuel drilling permits)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,redistricting,4,"Vickers was the driving force behind SB200 (2020), which weakened the voter-approved Proposition 4 by making the independent redistricting commission advisory only, preserving the Legislature's authority to adopt its own maps. He stated 'It sets up that independent process' while the bill ensured the Legislature retains final control. In 2025-2026, he guided SB1011/SB1012 in a special session to redraw congressional maps after court order. — best matches stance 4 (state legislatures with court oversight to prevent extreme partisan bias)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,immigration,4,"On his official campaign site, Vickers states he supports 'policies that uphold the law, protect our communities, and remove the criminal element of illegal immigration.' He uses E-Verify in his own business and supports its broader adoption. On the 2025 Senate leadership team that supported Trump's mass deportations while navigating HB226 (deportation triggers for misdemeanor convictions). — best matches stance 4 (make it harder to immigrate legally and limit public services to people with legal status)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,taxes,4,"Vickers has been a consistent champion of income tax cuts, voting for the 2022 income tax rate reduction from 4.95% to 4.85% and the 2024 cut to 4.55%. Scored 100% on the Utah Taxpayers Association scorecard in 2022. His campaign platform states 'Utah's long-term success depends on a strong, growing economy, and not higher taxes.' Supported constitutional amendment requiring 60% voter approval to raise taxes. — best matches stance 4 (cut taxes for everyone and scale back public services to match)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,healthcare,3,"As a pharmacist and former Health and Human Services Committee chair, Vickers supports improved drug access (SB69 protecting 340B program discounts for rural clinics) and value-based care with rural healthcare access. He voted for modified Medicaid expansion SB96 only under voter mandate from Proposition 3, stating 'if it hadn't have been brought forward through that proposition, I would not be voting for it.' Received 2025 Legislative Leadership Award from the Association for Utah Community Health. His approach expands targeted access for low-income and rural populations while maintaining private insurance competition. — best matches stance 3 (help people who can't afford care and expand programs for seniors and low-income residents, while keeping private insurance for everyone else)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,medicare/aid,4,"Vickers stated explicitly about Medicaid expansion: 'I never voted for any kind of an expansion bill' and admitted he only supported the modified SB96 alternative because voters passed Proposition 3, saying 'if it hadn't have been brought forward through that proposition, I would not be voting for it.' His consistent preference has been to limit or restrict Medicaid expansion rather than expand it. — best matches stance 4 (partially privatize Medicare and reduce Medicaid coverage)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,climate-change,4,"Vickers supports expanding fossil fuel production on public lands and advocates for state control over federally managed lands specifically to enable more 'gas, oil and coal production.' His energy priorities center on fossil fuel development and rural economic growth. He has not advocated for clean energy investment or carbon reduction policies. Sponsored SB311 (2025) extending sales tax exemptions for energy storage (modest market incentive), but his overall stance prioritizes market forces over climate mandates. — best matches stance 4 (let market forces drive any transition to cleaner energy sources)."
Evan J. Vickers,34fcabbb-bbc3-44fc-bd7e-32c05d7abd42,ai-regulation,3,"Sponsored SB150 (2025) restricting AI use in healthcare — requiring that an 'innovation' definition explicitly excludes AI that advises or treats patients without practitioner interaction, and requiring human medical review for adverse preauthorization decisions. This reflects a targeted, sector-specific harm-prevention approach rather than either a fully permissive or comprehensive regulatory framework. — best matches stance 3 (require AI developers to disclose risks and be held responsible when their systems cause harm)."
