external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-510104,Jason Knapp,abortion,2,"Knapp pledges to vote for the Women's Health Protection Act to restore Roe-era federal protections through the second trimester, and to protect access to contraception and IVF. He criticizes his opponent for co-sponsoring the Life at Conception Act across multiple Congresses. His framing — ""Decisions about pregnancy are between a woman and her doctor. Not Congress."" — supports legal, accessible abortion at least through the second trimester.",https://www.jasonknappforcongress.com/reproductive-freedom,,,Decisions about pregnancy are between a woman and her doctor. Not Congress.,Decisions about pregnancy are between a woman and her doctor. Not a politician.
-510104,Jason Knapp,healthcare,2,"Knapp frames healthcare reform around universal affordability through a mix of public programs and regulated private insurance: protect and expand the ACA, make premium subsidies permanent, expand Medicare drug price negotiations, cap insulin at $35, and safeguard rural hospitals. He does not call for a fully public single-payer system; his stated goal is that everyone has ""affordable coverage."" His quote — ""America spends more on healthcare than any country on earth and gets worse results — and the gap is not waste, it is profit"" — frames the problem as systemic over-profiting, not government absence.",https://www.jasonknappforcongress.com/healthcare,,,"America spends more on healthcare than any country on earth and gets worse results — and the gap is not waste, it is profit.","This country spends more on healthcare than any country on earth and gets worse results — and the gap is not waste, it is profit."
-510104,Jason Knapp,medicare/aid,2,"Knapp opposes raising the Social Security retirement age and supports fixing solvency by eliminating the payroll tax cap on income above $400,000 — a modest expansion approach. He defends Medicaid against work requirements and block grants and frames Medicare, Medicaid, Social Security, and SNAP as ""lifelines, not bargaining chips."" He commits to expanding Medicare's drug price negotiating power, consistent with strengthening rather than universalizing the program.",https://www.jasonknappforcongress.com/social-security-safety-net,https://www.jasonknappforcongress.com/healthcare,,"Medicare, Medicaid, Social Security, SNAP — these are lifelines, not bargaining chips.","Medicare, Medicaid, Social Security, SNAP — these are lifelines, not bargaining chips."
-510104,Jason Knapp,social-security,2,"Knapp explicitly opposes the Republican Study Committee plan to raise the Social Security retirement age to 69 and cut benefits by up to 13 percent. He supports fixing Social Security's solvency by requiring wages above $400,000 to pay the same payroll tax rate as working people — a modest benefit-protective approach that raises taxes on higher earners rather than cutting benefits or privatizing.",https://www.jasonknappforcongress.com/social-security-safety-net,,,,
-510104,Jason Knapp,housing,3,"Knapp supports expanding the Low-Income Housing Tax Credit, restoring public housing through modernization and repair, strengthening USDA rural housing programs, and assisting first-time homebuyers. He also calls for eliminating shell-company tax loopholes and private equity manipulation of single-family housing supply. His approach centers on targeted subsidies, incentives, and regulatory fixes rather than rent caps or universal public housing guarantees.",https://www.jasonknappforcongress.com/housing-affordability,,,"Housing is foundational. When it fails, every other part of a family's economic life starts to fail with it.","Housing is foundational. When it fails, every other part of a family's economic life starts to fail with it."
-510104,Jason Knapp,school-vouchers,1,"Knapp explicitly pledges to ""Repeal the federal voucher program before a single public dollar flows through it."" He supports fully defending Title I, IDEA, and rural school funding (REAP), and refuses corporate PAC money from for-profit education companies. This is the clearest possible rejection of vouchers in favor of full public school funding.",https://www.jasonknappforcongress.com/education-trades,,,Repeal the federal voucher program before a single public dollar flows through it.,Repeal the federal voucher program before a single public dollar flows through it.
-510104,Jason Knapp,campaign-finance,2,"Knapp pledges to take no corporate PAC money, end dark money in politics, close the revolving door between government and lobbying, and ban members of Congress from trading individual stocks. He commits to a personal blind trust. These commitments align with strictly limiting corporate donations and dark money — not a complete public-funding-only system, but well beyond mere disclosure.",https://www.jasonknappforcongress.com/accountability-corruption,,,"End dark money and shut the revolving door, so policy stops getting written for the few.","End dark money and shut the revolving door, so policy stops getting written for the few."
-510104,Jason Knapp,tariffs,3,"Knapp's farm/rural page criticizes the trade war with the statement ""A trade war just cost American soybean growers their largest customer overseas,"" and pledges to ""rebuild trade relationships without writing bailout checks."" His energy page calls for rebuilding American supply chains. Together these indicate a selective, relationship-based trade posture — neither fully free trade nor broad protectionist tariffs — consistent with using trade policy to protect key industries and jobs while criticizing blanket trade wars.",https://www.jasonknappforcongress.com/farms-fishing-rural-communities,https://www.jasonknappforcongress.com/energy-lowering-the-cost-of-power,,,
-510104,Jason Knapp,fossil-fuels,3,"Knapp's energy platform explicitly defends existing energy laws, protects the Coastal Virginia Offshore Wind project, commits to grid modernization and expanded storage, and frames power cost around reliability and domestic job creation. He mentions no ban on new drilling permits and no expansion of fossil fuel extraction — indicating a maintain-current-levels-with-existing-regulations position.",https://www.jasonknappforcongress.com/energy-lowering-the-cost-of-power,,,,
-510104,Jason Knapp,homelessness,2,Knapp's housing platform specifically commits to ending veteran homelessness by expanding HUD-VASH (the HUD-VA Supportive Housing voucher program) and its funding. His broader approach pairs outreach investment with housing provision rather than enforcement. No language in his platform calls for camping bans or criminalization; his orientation is toward shelter and services investment.,https://www.jasonknappforcongress.com/housing-affordability,,,,
